outer_split_id,stability_role,factor_count
split_001,holdout,15
split_001,stable_core,10
split_002,conditional_signal,8
split_002,holdout,10
split_002,stable_core,7
split_003,conditional_signal,14
split_003,holdout,4
split_003,monitor,1
split_003,stable_core,6
