outer_split_id,factor,window_count,eligible_window_count,selected_window_count,selection_frequency,frozen_direction,direction_agreement_ratio,direction_adjusted_positive_window_ratio,median_train_ic,median_validation_ic,median_development_degradation,worst_development_degradation,upstream_fdr_pass,upstream_fdr_q_value,coverage_min,coverage_median,stability_role,role_reason
split_001,alpha158_CNTP30,3,3,3,1.0,-1,1.0,1.0,-0.05827582361075249,-0.14365038391585389,0.0853745603051014,0.03360269211195609,True,0.0309405940594059,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=0.03360269211195609;upstream_fdr_pass=True
split_001,alpha158_CNTP5,3,3,0,0.0,-1,1.0,1.0,-0.011469444743720865,-0.06190857583566456,,,False,0.11001100110011,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=nan;upstream_fdr_pass=False
split_001,alpha158_CNTP60,3,3,0,0.0,-1,1.0,0.6666666666666666,-0.06309473709220087,-0.08735543716324111,,,False,0.0773514851485148,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=nan;upstream_fdr_pass=False
split_001,alpha158_CORD10,3,3,3,1.0,-1,1.0,1.0,-0.027707249351401092,-0.09717847688460861,0.07410868272719304,0.02377672464343753,True,0.0309405940594059,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=0.02377672464343753;upstream_fdr_pass=True
split_001,alpha158_CORD20,3,3,3,1.0,-1,1.0,1.0,-0.044075442978618574,-0.09276293016675038,0.04868748718813181,0.01856647965857628,True,0.0309405940594059,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=0.01856647965857628;upstream_fdr_pass=True
split_001,alpha158_CORD30,3,3,3,1.0,-1,1.0,1.0,-0.05410402669238719,-0.08788364452287627,0.03055921560868862,-0.014227161969962189,True,0.0309405940594059,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=-0.014227161969962189;upstream_fdr_pass=True
split_001,alpha158_CORD5,3,3,0,0.0,-1,1.0,1.0,-0.014815884693836172,-0.057981604568548596,,,False,0.0618811881188118,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=nan;upstream_fdr_pass=False
split_001,alpha158_CORD60,3,3,3,1.0,-1,1.0,1.0,-0.04297512222193288,-0.03560456279204142,-0.0073705594298914615,-0.021811184817069465,True,0.0309405940594059,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=-0.021811184817069465;upstream_fdr_pass=True
split_001,alpha158_CORR10,3,3,3,1.0,-1,1.0,1.0,-0.0333060617378808,-0.12870569968655712,0.09633663483615679,0.01771963704873354,True,0.0495049504950495,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=0.01771963704873354;upstream_fdr_pass=True
split_002,alpha158_BETA10,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.03585147703480882,-0.036003884066806414,0.035092330772967945,-0.00039324394985772865,True,0.0206270627062706,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=-0.00039324394985772865;upstream_fdr_pass=True
