outer_split_id,inner_split_id,factor,train_count,validation_count,train_total,validation_total,train_mean_ic,validation_mean_ic,train_coverage,validation_coverage,selection_eligible,fdr_bh_pass,fdr_bh_q_value,selected,frozen_direction,selection_reason,eligible,internally_recomputed_fdr
split_001,split_001_inner_002,alpha158_CNTD30,526.0,40.0,526.0,40.0,-0.04880942727745287,-0.10529731069460202,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_002,alpha158_CNTD5,526.0,40.0,526.0,40.0,-0.007046707017449132,-0.032186891813670473,1.0,1.0,True,False,0.2003771805752004,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CNTD60,526.0,40.0,526.0,40.0,-0.0503258976935466,-0.13681613938669168,1.0,1.0,True,False,0.11001100110011,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CNTN10,526.0,40.0,526.0,40.0,0.008129585804575323,0.04085551406001985,1.0,1.0,True,False,0.4059405940594059,False,1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CNTN20,526.0,40.0,526.0,40.0,0.02174830490112291,0.05253740179721535,1.0,1.0,True,False,0.2475247524752475,False,1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CNTN30,526.0,40.0,526.0,40.0,0.03726259103718882,0.059639348171207265,1.0,1.0,True,False,0.1608910891089109,False,1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CNTN60,526.0,40.0,526.0,40.0,0.03443744488808258,0.08032256405120228,1.0,1.0,True,False,0.3403465346534653,False,1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CNTP10,526.0,40.0,526.0,40.0,-0.017422283784247407,-0.09421693505029154,1.0,1.0,True,False,0.0773514851485148,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CNTP20,526.0,40.0,526.0,40.0,-0.03703222779248299,-0.12465802431168982,1.0,1.0,True,False,0.0773514851485148,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CNTP30,526.0,40.0,526.0,40.0,-0.05827582361075249,-0.14365038391585389,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_002,alpha158_CNTP5,526.0,40.0,526.0,40.0,-0.010648038403826141,-0.05218654570274186,1.0,1.0,True,False,0.11001100110011,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CNTP60,526.0,40.0,526.0,40.0,-0.06309473709220087,-0.18186670597341312,1.0,1.0,True,False,0.0773514851485148,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CORD10,526.0,40.0,526.0,40.0,-0.023069794157415568,-0.09717847688460861,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_002,alpha158_CORD20,526.0,40.0,526.0,40.0,-0.04108387251026234,-0.1282950050968889,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_002,alpha158_CORD30,526.0,40.0,526.0,40.0,-0.05091511442869934,-0.1666927086023616,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_002,alpha158_CORD5,526.0,40.0,526.0,40.0,-0.013226433211687611,-0.057981604568548596,1.0,1.0,True,False,0.0618811881188118,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_002,alpha158_CORD60,526.0,40.0,526.0,40.0,-0.037997812029021055,-0.15821028877167262,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_002,alpha158_CORR10,526.0,40.0,526.0,40.0,-0.03236906485040033,-0.12870569968655712,1.0,1.0,True,True,0.0495049504950495,True,-1,selected,True,False
split_001,split_001_inner_003,alpha158_BETA10,668.0,40.0,668.0,40.0,-0.034848237826746564,-0.08488629638379896,1.0,1.0,True,False,0.0618811881188118,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_BETA20,668.0,40.0,668.0,40.0,-0.05859094828615447,-0.11769041263465603,1.0,1.0,True,True,0.0495049504950495,True,-1,selected,True,False
split_001,split_001_inner_003,alpha158_BETA30,668.0,40.0,668.0,40.0,-0.07859778651616375,-0.10995187770187079,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_003,alpha158_BETA5,668.0,40.0,668.0,40.0,-0.02111524000770798,-0.058112290659221466,1.0,1.0,True,False,0.0773514851485148,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_BETA60,668.0,40.0,668.0,40.0,-0.07331293340373865,0.16884199844394682,1.0,1.0,True,True,0.0309405940594059,False,-1,direction_mismatch,True,False
split_001,split_001_inner_003,alpha158_CNTD10,668.0,40.0,668.0,40.0,-0.019146332312339163,-0.057351009701118984,1.0,1.0,True,False,0.2475247524752475,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTD20,668.0,40.0,668.0,40.0,-0.031360624782362845,-0.08851149444702999,1.0,1.0,True,False,0.1302761855132881,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTD30,668.0,40.0,668.0,40.0,-0.04557247617793811,-0.07302961389986681,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_003,alpha158_CNTD5,668.0,40.0,668.0,40.0,-0.012426379596035134,-0.054750170550585134,1.0,1.0,True,False,0.2003771805752004,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTD60,668.0,40.0,668.0,40.0,-0.042853155237314214,0.04790638828712581,1.0,1.0,True,False,0.11001100110011,False,-1,direction_mismatch;fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTN10,668.0,40.0,668.0,40.0,0.013814256824164444,0.045432028719694637,1.0,1.0,True,False,0.4059405940594059,False,1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTN20,668.0,40.0,668.0,40.0,0.023011037841931543,0.07379211603895541,1.0,1.0,True,False,0.2475247524752475,False,1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTN30,668.0,40.0,668.0,40.0,0.03401991578257389,0.054239554521888646,1.0,1.0,True,False,0.1608910891089109,False,1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTN60,668.0,40.0,668.0,40.0,0.027763907429266124,-0.06986168973231645,1.0,1.0,True,False,0.3403465346534653,False,1,direction_mismatch;fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTP10,668.0,40.0,668.0,40.0,-0.024656254624437053,-0.06673709901501666,1.0,1.0,True,False,0.0773514851485148,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTP20,668.0,40.0,668.0,40.0,-0.03933741891120585,-0.09994403427902143,1.0,1.0,True,False,0.0773514851485148,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTP30,668.0,40.0,668.0,40.0,-0.0552470045713786,-0.08884969668333469,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_003,alpha158_CNTP5,668.0,40.0,668.0,40.0,-0.016554736010512414,-0.06190857583566456,1.0,1.0,True,False,0.11001100110011,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CNTP60,668.0,40.0,668.0,40.0,-0.05529343189352645,0.01827672382902474,1.0,1.0,True,False,0.0773514851485148,False,-1,direction_mismatch;fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CORD10,668.0,40.0,668.0,40.0,-0.027707249351401092,-0.12870448769996742,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_003,alpha158_CORD20,668.0,40.0,668.0,40.0,-0.044075442978618574,-0.09276293016675038,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
