input_name,artifact_id,path,sha256,join_keys,input_rows,consumed_rows,missing_rows
inner_development_daily_ic,selection_input_projection_v2:4bec5868f5868f004da8c13357690776fcca0d59dee72235c0e63b4e65b4b3d1,E:/qlib_prj/qlib_baseline/outputs/selection_input_projection_v2/runtime/inner_development_daily_ic.parquet,5c6f838408a218e3b894ae90d9223551c7a4655b525a609110355eca9ad2de4c,"outer_split_id,inner_split_id,fold,datetime,factor",4031394,150650,0
outer_split_fdr,factor_multiple_testing_v2:11dfcbda796b5bd78b2b9fe26c3efd480aedf9e5b05c322793c22502974a25a8,E:/qlib_prj/qlib_baseline/outputs/factor_multiple_testing_v2/canary/fdr_results.csv,c5666f1d2c4eff629a38a20c3fbdf5c0c0c5824eaa3623b3596e4612158d710e,"outer_split_id,factor",75,225,0
