outer_split_id,fold,date_count,start_date,end_date,key_count,factor_count,allowlist_sha256,feature_order_sha256,allowed_dates_sha256
split_001,train,688,2021-02-01,2023-12-04,1375890,45,b33e0cb90f8d90be2486d432f39a00bdbbbe3c94d4ee18b1b60ea350dd7fe74b,ade36d845508b7e14d4beb85864a0da273198e200266bde1496603a9e11a5d2d,1c374814f32cd3f87c404ad09942788eaee0c5ac8fc2a69e54f8f9c19f9f5205
split_001,validation,77,2024-02-01,2024-06-03,153972,45,b33e0cb90f8d90be2486d432f39a00bdbbbe3c94d4ee18b1b60ea350dd7fe74b,ade36d845508b7e14d4beb85864a0da273198e200266bde1496603a9e11a5d2d,1c374814f32cd3f87c404ad09942788eaee0c5ac8fc2a69e54f8f9c19f9f5205
split_002,train,808,2021-02-01,2024-06-05,1615836,46,6a3bcf128d2a791f9e2e741d1983597c4814810e533a9ca5107b2076a4d01434,a37bb536433bfbee87f4b29a74090395db6c4891f2b319a035157ca2e0b83513,15f0a51f7fa9ea1b886b896f75bf7afd58ed8ccdffa7d21a2922c5fdc7a2f285
split_002,validation,77,2024-08-05,2024-11-28,153982,46,6a3bcf128d2a791f9e2e741d1983597c4814810e533a9ca5107b2076a4d01434,a37bb536433bfbee87f4b29a74090395db6c4891f2b319a035157ca2e0b83513,15f0a51f7fa9ea1b886b896f75bf7afd58ed8ccdffa7d21a2922c5fdc7a2f285
split_003,train,926,2021-02-01,2024-11-28,1851771,52,85470aa9f42ddd4970f849b32208d3f0d0ee13587f5ab45aa55c88f509db1f5c,544ee7b8f7464d5fb43c3638dfdca7ac25f2cc654b951b4c9b817499bfdd3f71,adf82cb775ccc74912946f39889346e3701f80ea3c706ddf248221100d9d6d6a
split_003,validation,83,2025-02-05,2025-06-06,165932,52,85470aa9f42ddd4970f849b32208d3f0d0ee13587f5ab45aa55c88f509db1f5c,544ee7b8f7464d5fb43c3638dfdca7ac25f2cc654b951b4c9b817499bfdd3f71,adf82cb775ccc74912946f39889346e3701f80ea3c706ddf248221100d9d6d6a
