check_name,status,observed_value,required_value,severity,reason
manifest_bound_entry_gate_valid,pass,"{'stage_id': 'research_model_protocol_v1_1', 'protocol_closure_version': '1.1', 'entry_type': 'artifact_manifest_only'}","{'stage_id': 'research_model_protocol_v1_1', 'protocol_closure_version': '1.1', 'entry_type': 'artifact_manifest_only'}",critical,
authoritative_selection_closure_consumed,pass,"['date_split_semantics_v1', 'research_selection_lineage_closure_v1', 'full_research_feature_matrix_v4', 'full_research_labels_v2', 'point_in_time_universe_v2']",research_selection_lineage_closure_v1 present,critical,
date_split_semantics_authority_consumed,pass,"['date_split_semantics_v1', 'research_selection_lineage_closure_v1', 'full_research_feature_matrix_v4', 'full_research_labels_v2', 'point_in_time_universe_v2']",date_split_semantics_v1 present,critical,
legacy_purged_split_not_direct_parent,pass,"['date_split_semantics_v1', 'research_selection_lineage_closure_v1', 'full_research_feature_matrix_v4', 'full_research_labels_v2', 'point_in_time_universe_v2']",legacy stage absent,critical,
date_assignment_payload_hash_equal,pass,69dbc339fd55ac05b789a4cf9ba49e49fd082f1846b366885b9612acff89de63,69dbc339fd55ac05b789a4cf9ba49e49fd082f1846b366885b9612acff89de63,critical,
canary_protocol_binding_valid,pass,0f305eeaecfca2f37bc0afb2e71f3edafe4f37b670b7cb393b2c63878a787b4a,0f305eeaecfca2f37bc0afb2e71f3edafe4f37b670b7cb393b2c63878a787b4a,critical,
matrix_v4_hash_valid,pass,[],[],critical,
labels_v2_hash_valid,pass,[],[],critical,
split_allowlists_exact,pass,"[{'outer_split_id': 'split_001', 'factor_count': 45, 'allowlist_sha256': 'b33e0cb90f8d90be2486d432f39a00bdbbbe3c94d4ee18b1b60ea350dd7fe74b', 'feature_order_sha256': 'ade36d845508b7e14d4beb85864a0da273198e200266bde1496603a9e11a5d2d'}, {'outer_split_id': 'split_002', 'factor_count': 46, 'allowlist_sha256': '6a3bcf128d2a791f9e2e741d1983597c4814810e533a9ca5107b2076a4d01434', 'feature_order_sha256': 'a37bb536433bfbee87f4b29a74090395db6c4891f2b319a035157ca2e0b83513'}, {'outer_split_id': 'split_003', 'factor_count': 52, 'allowlist_sha256': '85470aa9f42ddd4970f849b32208d3f0d0ee13587f5ab45aa55c88f509db1f5c', 'feature_order_sha256': '544ee7b8f7464d5fb43c3638dfdca7ac25f2cc654b951b4c9b817499bfdd3f71'}]","[{'outer_split_id': 'split_001', 'factor_count': 45, 'allowlist_sha256': 'b33e0cb90f8d90be2486d432f39a00bdbbbe3c94d4ee18b1b60ea350dd7fe74b', 'feature_order_sha256': 'ade36d845508b7e14d4beb85864a0da273198e200266bde1496603a9e11a5d2d'}, {'outer_split_id': 'split_002', 'factor_count': 46, 'allowlist_sha256': '6a3bcf128d2a791f9e2e741d1983597c4814810e533a9ca5107b2076a4d01434', 'feature_order_sha256': 'a37bb536433bfbee87f4b29a74090395db6c4891f2b319a035157ca2e0b83513'}, {'outer_split_id': 'split_003', 'factor_count': 52, 'allowlist_sha256': '85470aa9f42ddd4970f849b32208d3f0d0ee13587f5ab45aa55c88f509db1f5c', 'feature_order_sha256': '544ee7b8f7464d5fb43c3638dfdca7ac25f2cc654b951b4c9b817499bfdd3f71'}]",critical,
sample_eligibility_exact,pass,"{'receipt_date_count': 2659, 'all_dates_pass': np.True_}","{'receipt_date_count': 2659, 'all_dates_pass': True}",critical,
