check_name,status,observed_value,required_value,severity,reason
authoritative_selection_closure_consumed,pass,True,True,critical,
date_split_semantics_authority_consumed,pass,True,True,critical,
legacy_purged_split_not_direct_parent,pass,True,True,critical,
date_assignment_payload_hash_equal,pass,True,True,critical,
matrix_v4_hash_valid,pass,True,True,critical,
labels_v2_hash_valid,pass,True,True,critical,
split_dates_exact,pass,True,True,critical,
split_allowlists_exact,pass,True,True,critical,
feature_order_exact,pass,True,True,critical,
target_transform_frozen,pass,True,True,critical,
metric_registry_frozen,pass,True,True,critical,
prediction_schema_leakage_free,pass,True,True,critical,
test_read_count_before_freeze_zero,pass,True,True,critical,
scope_aware_model_gate_valid,pass,True,True,critical,
solver_auto_forbidden,pass,True,True,critical,
fixed_checkpoint_selection_policy,pass,True,True,critical,
validation_mutation_hash_policy,pass,True,True,critical,
