factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amount_std_20,liquidity,watch,0.9303168149999435,-0.07206748849378357,-0.6625413290666127,-0.1496889139310869,,-1.0935598843721428,1316242
amount_mean_20,liquidity,watch,0.9303168149999435,-0.06946725530882426,-0.6359009015690772,-0.14878252211628243,,-1.0210892548808237,1316242
amplitude_20,risk,negative,0.9303168149999435,-0.05865121477865215,-0.3758145519987684,-0.11020182740822888,0.11020182740822888,-0.6527372758774003,1316242
std_20,risk,negative,0.9285187216574123,-0.05257759301837506,-0.37383909868834286,-0.10206642303412049,0.10206642303412049,-0.6662633569191206,1313698
ret_20,momentum,watch,0.935487040157418,-0.0484784465023071,-0.38912334260463904,-0.06105385685052058,,-0.43521792403602627,1323557
corr_ret_volume_20,price_volume,watch,0.9285187216574123,-0.02557814831995094,-0.34703806357076017,-0.045155049272835444,,-0.5179895929514218,1313698
ret_10,momentum,watch,0.9494102480011761,-0.03934926251948118,-0.3450865848739836,-0.038644340726476226,,-0.3004715267680101,1343256
ret_5,momentum,watch,0.9567369129338325,-0.02981496184236753,-0.27837979560047044,-0.023892790194068723,,-0.19097947414600344,1353622
rev_5,reversal,positive,0.9567369129338325,0.02981496184236753,0.27837979560047044,0.023892790194068723,0.023892790194068723,0.19097947414600344,1353622
volume_ratio_5_20,liquidity,watch,0.9303168149999435,-0.018386468539229674,-0.23182609797969042,-0.022859483149865484,,-0.2672637515690584,1316242
