outer_split_id,method,validation_label_sha256,mutated_validation_label_sha256,validation_metric_sha256,mutated_validation_metric_sha256,validation_search_sha256,mutated_validation_search_sha256,selected_candidate_change_required,status
split_001,ridge,bccaccbfa3a23eded258333890e49a96275c4512d1f368baa98b5c3e56f5a56b,3ccf85866c4511f2e045a934ef0e8440d0cdfc80f00e992a5a5177465f1ee8f1,a10f152454a8f6ad7cd80b300bbbeb7d02f394ee1e81aec4eb15175b7110ee25,ea74038276632d145d6e5fefa613310eb98fcf9c57dd923381410114187c9dc4,06935a958c0f7650c5825cbc8b0cca7654bee8b3357a1855db3ee026d96b1b8e,2d8d3edfadde3c404fffd210fb8de8d21b9e7ff64f37e6c12f0c90f24caf639f,False,pass
split_002,ridge,fd1a1eb685d80b9bde977ecd071ed686fb491c8a7e4c905b0b3a2ede8e929581,4b3c21b657f87f8cc65802ce5695868f826d97f444314f3a1ec1ecedf5416d3f,b417280c9815a82185c77965ec3c9171ecdd531c79428c72eb631274623efacc,0b7745dcb7c844ba592d8e806f17fe6ed5608e62b058e88c128fd4c68ae4c4e5,7889a6ad744de49ba72be9d2cc61adc4413e7e289fc2a0488d5996f83925c81c,324b8c3e44d3718eb736455e284ba99e4ec046113a08e82a1b4d22bb3fefddeb,False,pass
split_003,ridge,a88c2e5f027851d70a1b923b2c0fc6856070ff2b53accd2c1bc264a397073586,298672bd62dd89e583d21ea61a5f6894b43c35baf6c9161d4161e36d84b916a3,34d8acb894d29bf03d54dc63892ae6cdbe6207f8fe64d5c28ca5372e073446af,d6986f7954f4ca253ece02a21983458d01f718428dc6daec3cf54c6bf99991b5,fe0d0240131811d776502c8a08165f057ad5d5f00873424c208edebb8591ef01,699593abb83a24ab2c2886ab069e72d18bf57a9e5ec3346fffbc12147498af07,False,pass
