check_name,status,severity,observed,expected,reason
train_only_search_fit,pass,critical,0,0,
validation_only_hyperparameter_selection,pass,critical,"[""split_001"", ""split_002"", ""split_003""]","[""split_001"", ""split_002"", ""split_003""]",
candidate_grid_exact,pass,critical,15,"""frozen method/split candidate counts""",
daily_sample_weight_valid,pass,critical,"""weights generated by daily_equal_weights""","""daily sum = 1""",
final_refit_train_plus_validation,pass,critical,3,3,
validation_label_mutation_sensitive,pass,critical,"[""pass"", ""pass"", ""pass""]","""all pass""",
pre_test_freeze_valid,pass,critical,3,3,
test_read_count_before_freeze_zero,pass,critical,0,0,
resource_budget_valid,pass,critical,2884.62890625,4096,
