factor,coverage,mean_ic,icir,mean_rank_ic,rank_icir,valid_rows
amount_std_20,0.90260754515886,-0.022080355008471133,-0.14705596124834708,-0.04185990716603885,-0.26974874114206443,392952
std_20,0.9000165383413882,-0.009639014282666393,-0.05939292147549322,-0.03577345671961113,-0.20537212559597515,391824
amplitude_20,0.90260754515886,-0.005321164075916279,-0.02998137037975317,-0.03547639978401271,-0.19468126294421487,392952
ret_20,0.9098476634998806,-0.010097845676983266,-0.06466346107654088,-0.031727192318083144,-0.1953169052741299,396104
amount_mean_20,0.90260754515886,-0.010282510135768839,-0.06469975431945188,-0.027688946050788924,-0.16921259000501102,392952
corr_ret_volume_20,0.9000165383413882,-0.0016213368303047441,-0.018011044012831427,-0.01749728775126368,-0.17905908679796426,391824
ret_10,0.9304516804792444,0.0017850610344725874,0.011632588268772903,-0.015403938131560234,-0.09954358137787518,405074
volume_ratio_5_20,0.90260754515886,-0.01080691175605635,-0.09141977211294847,-0.013121470225518659,-0.11466291149751602,392952
ret_5,0.9418608390451865,0.0027595392754295395,0.019280872573895453,-0.008133798022496997,-0.05628029472478147,410041
rev_5,0.9418608390451865,-0.0027595392754295395,-0.019280872573895453,0.008133798022496997,0.05628029472478147,410041
