batch_id,source,legacy_row_count,current_row_count,factor_count,columns_match,key_match,nan_mismatch_count,nonzero_difference_count,max_absolute_difference,max_coverage_difference,legacy_sha256_recorded,legacy_sha256_current,current_sha256_recorded,current_sha256_current
alpha158_001,alpha158,2588000,2588000,25,True,True,0,0,0.0,0.0,87e3074b28f9271351a7850a23ad59ac78f182c082310494b37885baa57d3438,87e3074b28f9271351a7850a23ad59ac78f182c082310494b37885baa57d3438,87e3074b28f9271351a7850a23ad59ac78f182c082310494b37885baa57d3438,87e3074b28f9271351a7850a23ad59ac78f182c082310494b37885baa57d3438
alpha158_002,alpha158,2588000,2588000,25,True,True,0,0,0.0,0.0,4893fcd7d0334b070be8f94398e6f3ab2a10da2c03dbc2319eb286089ae8ed61,4893fcd7d0334b070be8f94398e6f3ab2a10da2c03dbc2319eb286089ae8ed61,4893fcd7d0334b070be8f94398e6f3ab2a10da2c03dbc2319eb286089ae8ed61,4893fcd7d0334b070be8f94398e6f3ab2a10da2c03dbc2319eb286089ae8ed61
alpha158_003,alpha158,2588000,2588000,25,True,True,0,0,0.0,0.0,d4d7ae83607990b322814076111e5f68432315c64ab78ed88a8a2eaf188be2ba,d4d7ae83607990b322814076111e5f68432315c64ab78ed88a8a2eaf188be2ba,d4d7ae83607990b322814076111e5f68432315c64ab78ed88a8a2eaf188be2ba,d4d7ae83607990b322814076111e5f68432315c64ab78ed88a8a2eaf188be2ba
alpha158_004,alpha158,2588000,2588000,25,True,True,0,0,0.0,0.0,4ee3994b6a0220c963033a0f329dd513de2479cb53c0beef1fa8f0423d98f770,4ee3994b6a0220c963033a0f329dd513de2479cb53c0beef1fa8f0423d98f770,4ee3994b6a0220c963033a0f329dd513de2479cb53c0beef1fa8f0423d98f770,4ee3994b6a0220c963033a0f329dd513de2479cb53c0beef1fa8f0423d98f770
alpha158_005,alpha158,2588000,2588000,25,True,True,0,0,0.0,0.0,85bdb5ee13ad9c5d7e2670a422a94f4c3d9b125648fc4413c9821e16a1debdeb,85bdb5ee13ad9c5d7e2670a422a94f4c3d9b125648fc4413c9821e16a1debdeb,85bdb5ee13ad9c5d7e2670a422a94f4c3d9b125648fc4413c9821e16a1debdeb,85bdb5ee13ad9c5d7e2670a422a94f4c3d9b125648fc4413c9821e16a1debdeb
alpha158_006,alpha158,2588000,2588000,25,True,True,0,0,0.0,0.0,158368fed0aa60d19b627ef22a1b6b4f89579c1ddca0bf77992361b11ee1e7a6,158368fed0aa60d19b627ef22a1b6b4f89579c1ddca0bf77992361b11ee1e7a6,158368fed0aa60d19b627ef22a1b6b4f89579c1ddca0bf77992361b11ee1e7a6,158368fed0aa60d19b627ef22a1b6b4f89579c1ddca0bf77992361b11ee1e7a6
alpha158_007,alpha158,2588000,2588000,5,True,True,0,0,0.0,0.0,b8977f5807bd90f1d4bf86decc8742e89619d6d2abe36c88b7058475188a9acb,b8977f5807bd90f1d4bf86decc8742e89619d6d2abe36c88b7058475188a9acb,b8977f5807bd90f1d4bf86decc8742e89619d6d2abe36c88b7058475188a9acb,b8977f5807bd90f1d4bf86decc8742e89619d6d2abe36c88b7058475188a9acb
alpha360_001,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,fb03e3343ff6615a15a29772a967e0b0ee9baf3d62b2627944fd6deb31c60f23,fb03e3343ff6615a15a29772a967e0b0ee9baf3d62b2627944fd6deb31c60f23,fb03e3343ff6615a15a29772a967e0b0ee9baf3d62b2627944fd6deb31c60f23,fb03e3343ff6615a15a29772a967e0b0ee9baf3d62b2627944fd6deb31c60f23
alpha360_002,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,eb5ee2eb90bd6f1392411165a9fd15415fb60dec9ad8f88143c42bb5ba374184,eb5ee2eb90bd6f1392411165a9fd15415fb60dec9ad8f88143c42bb5ba374184,eb5ee2eb90bd6f1392411165a9fd15415fb60dec9ad8f88143c42bb5ba374184,eb5ee2eb90bd6f1392411165a9fd15415fb60dec9ad8f88143c42bb5ba374184
alpha360_003,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,e33176a4dd413d14bf5fbc234f1b96588953b642252f83abb0341b0dcc0b511e,e33176a4dd413d14bf5fbc234f1b96588953b642252f83abb0341b0dcc0b511e,e33176a4dd413d14bf5fbc234f1b96588953b642252f83abb0341b0dcc0b511e,e33176a4dd413d14bf5fbc234f1b96588953b642252f83abb0341b0dcc0b511e
alpha360_004,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,f6b886aa422b8165a30e4e8b80a3cbb87793bc1a0936b5ef5f2a5573fb77c95f,f6b886aa422b8165a30e4e8b80a3cbb87793bc1a0936b5ef5f2a5573fb77c95f,f6b886aa422b8165a30e4e8b80a3cbb87793bc1a0936b5ef5f2a5573fb77c95f,f6b886aa422b8165a30e4e8b80a3cbb87793bc1a0936b5ef5f2a5573fb77c95f
alpha360_005,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,f90013f18637d19ad0504916a2a20441810f6ea5f3fb6e744e25d5da61281fc9,f90013f18637d19ad0504916a2a20441810f6ea5f3fb6e744e25d5da61281fc9,f90013f18637d19ad0504916a2a20441810f6ea5f3fb6e744e25d5da61281fc9,f90013f18637d19ad0504916a2a20441810f6ea5f3fb6e744e25d5da61281fc9
alpha360_006,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,3e8979767614f1a558e1171e912541213cc13d84bb53a930947ce34394149939,3e8979767614f1a558e1171e912541213cc13d84bb53a930947ce34394149939,3e8979767614f1a558e1171e912541213cc13d84bb53a930947ce34394149939,3e8979767614f1a558e1171e912541213cc13d84bb53a930947ce34394149939
alpha360_007,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,df4695db13173cbff19988dbce5a8d2aed98fa74bc33801116f22ca7647faaf8,df4695db13173cbff19988dbce5a8d2aed98fa74bc33801116f22ca7647faaf8,df4695db13173cbff19988dbce5a8d2aed98fa74bc33801116f22ca7647faaf8,df4695db13173cbff19988dbce5a8d2aed98fa74bc33801116f22ca7647faaf8
alpha360_008,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,ea3c8040412984b08d33faf44f6d664c8a72e9d895a219bc9c8ee2e02d07b350,ea3c8040412984b08d33faf44f6d664c8a72e9d895a219bc9c8ee2e02d07b350,ea3c8040412984b08d33faf44f6d664c8a72e9d895a219bc9c8ee2e02d07b350,ea3c8040412984b08d33faf44f6d664c8a72e9d895a219bc9c8ee2e02d07b350
alpha360_009,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,94d5991688471a0f2c86551cfd896b83dafee8ea4afb51509d849f10047c6324,94d5991688471a0f2c86551cfd896b83dafee8ea4afb51509d849f10047c6324,94d5991688471a0f2c86551cfd896b83dafee8ea4afb51509d849f10047c6324,94d5991688471a0f2c86551cfd896b83dafee8ea4afb51509d849f10047c6324
alpha360_010,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,a0b79e42974de0760947a2ac7c21a9a24fd2e6bcf6c1fa9b95f6ea95b3578354,a0b79e42974de0760947a2ac7c21a9a24fd2e6bcf6c1fa9b95f6ea95b3578354,a0b79e42974de0760947a2ac7c21a9a24fd2e6bcf6c1fa9b95f6ea95b3578354,a0b79e42974de0760947a2ac7c21a9a24fd2e6bcf6c1fa9b95f6ea95b3578354
alpha360_011,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,a1f49d86432e46e2d68167bb79f7ed1b414d0ac4714aced6fc7ae06e93f28496,a1f49d86432e46e2d68167bb79f7ed1b414d0ac4714aced6fc7ae06e93f28496,a1f49d86432e46e2d68167bb79f7ed1b414d0ac4714aced6fc7ae06e93f28496,a1f49d86432e46e2d68167bb79f7ed1b414d0ac4714aced6fc7ae06e93f28496
alpha360_012,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,f9a71d31391e7455cb2dc736f52afbf00f368836c2b24b1689254d04a5d478a1,f9a71d31391e7455cb2dc736f52afbf00f368836c2b24b1689254d04a5d478a1,f9a71d31391e7455cb2dc736f52afbf00f368836c2b24b1689254d04a5d478a1,f9a71d31391e7455cb2dc736f52afbf00f368836c2b24b1689254d04a5d478a1
alpha360_013,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,43a45e74507ce8cf54ccead708458b2328f4f58209fca164c4e68686c2a16551,43a45e74507ce8cf54ccead708458b2328f4f58209fca164c4e68686c2a16551,43a45e74507ce8cf54ccead708458b2328f4f58209fca164c4e68686c2a16551,43a45e74507ce8cf54ccead708458b2328f4f58209fca164c4e68686c2a16551
alpha360_014,alpha360,2588000,2588000,25,True,True,0,0,0.0,0.0,5635818d8a5aea0a050f266df56132e3f3cca717361718cfc742a33a299718bc,5635818d8a5aea0a050f266df56132e3f3cca717361718cfc742a33a299718bc,5635818d8a5aea0a050f266df56132e3f3cca717361718cfc742a33a299718bc,5635818d8a5aea0a050f266df56132e3f3cca717361718cfc742a33a299718bc
alpha360_015,alpha360,2588000,2588000,8,True,True,0,0,0.0,0.0,e661a21b800813380596b46484c67a4a361ec27bce84c7571c9918ec85bb0f7c,e661a21b800813380596b46484c67a4a361ec27bce84c7571c9918ec85bb0f7c,e661a21b800813380596b46484c67a4a361ec27bce84c7571c9918ec85bb0f7c,e661a21b800813380596b46484c67a4a361ec27bce84c7571c9918ec85bb0f7c
ta_001,ta,2588000,2588000,25,True,True,0,0,0.0,0.0,4bbb378f700654d935e8b148725ab6637b49a90814afd4986ba813e46f799558,4bbb378f700654d935e8b148725ab6637b49a90814afd4986ba813e46f799558,4bbb378f700654d935e8b148725ab6637b49a90814afd4986ba813e46f799558,4bbb378f700654d935e8b148725ab6637b49a90814afd4986ba813e46f799558
ta_002,ta,2588000,2588000,25,True,True,0,0,0.0,0.0,c9933bcc3c446bdaeb63a5e5a2eaf9060fd615f94fa954760fe08ffe22a1b318,c9933bcc3c446bdaeb63a5e5a2eaf9060fd615f94fa954760fe08ffe22a1b318,c9933bcc3c446bdaeb63a5e5a2eaf9060fd615f94fa954760fe08ffe22a1b318,c9933bcc3c446bdaeb63a5e5a2eaf9060fd615f94fa954760fe08ffe22a1b318
ta_003,ta,2588000,2588000,25,True,True,0,0,0.0,0.0,422a496ae7c73cb8a216ee723ddab8d016b176d75de356b32086ff5938f194ec,422a496ae7c73cb8a216ee723ddab8d016b176d75de356b32086ff5938f194ec,422a496ae7c73cb8a216ee723ddab8d016b176d75de356b32086ff5938f194ec,422a496ae7c73cb8a216ee723ddab8d016b176d75de356b32086ff5938f194ec
ta_004,ta,2588000,2588000,2,True,True,0,0,0.0,0.0,195d0a48f0175a409ec96322d077dae868c57edbd5ab3210911275f9e47b9605,195d0a48f0175a409ec96322d077dae868c57edbd5ab3210911275f9e47b9605,195d0a48f0175a409ec96322d077dae868c57edbd5ab3210911275f9e47b9605,195d0a48f0175a409ec96322d077dae868c57edbd5ab3210911275f9e47b9605
alpha101_001,alpha101,2588000,2588000,25,True,True,0,0,0.0,0.0,e1d6f31f8ff47c9f5af76b4fea2bc44908a5630cac44d62e2a0dd9fae2607b8e,e1d6f31f8ff47c9f5af76b4fea2bc44908a5630cac44d62e2a0dd9fae2607b8e,e1d6f31f8ff47c9f5af76b4fea2bc44908a5630cac44d62e2a0dd9fae2607b8e,e1d6f31f8ff47c9f5af76b4fea2bc44908a5630cac44d62e2a0dd9fae2607b8e
alpha101_002,alpha101,2588000,2588000,25,True,True,0,0,0.0,0.0,36e1e56b7ddb8a5def35cd503bfd12382f8d9ad800ffe2cb7a12d0b85e042cba,36e1e56b7ddb8a5def35cd503bfd12382f8d9ad800ffe2cb7a12d0b85e042cba,36e1e56b7ddb8a5def35cd503bfd12382f8d9ad800ffe2cb7a12d0b85e042cba,36e1e56b7ddb8a5def35cd503bfd12382f8d9ad800ffe2cb7a12d0b85e042cba
alpha101_003,alpha101,2588000,2588000,14,True,True,0,0,0.0,0.0,513f5b02b69bbd9668227ec1dfb52d5635d9b4a1c198a2b0aa697e318179c49f,513f5b02b69bbd9668227ec1dfb52d5635d9b4a1c198a2b0aa697e318179c49f,513f5b02b69bbd9668227ec1dfb52d5635d9b4a1c198a2b0aa697e318179c49f,513f5b02b69bbd9668227ec1dfb52d5635d9b4a1c198a2b0aa697e318179c49f
project_basic_001,project_basic,2588000,2588000,15,True,True,0,0,0.0,0.0,2c21162be11835d0084115230509d9dc9b71aa088e1274da15bd7248be0963cf,2c21162be11835d0084115230509d9dc9b71aa088e1274da15bd7248be0963cf,2c21162be11835d0084115230509d9dc9b71aa088e1274da15bd7248be0963cf,2c21162be11835d0084115230509d9dc9b71aa088e1274da15bd7248be0963cf
