batch_id,factor,valid_rows,total_rows,coverage
alpha158_001,alpha158_CNTD10,249993,250000,0.999972
alpha158_001,alpha158_CNTD20,249993,250000,0.999972
alpha158_001,alpha158_CNTD30,249993,250000,0.999972
alpha158_001,alpha158_CNTD5,249993,250000,0.999972
alpha158_001,alpha158_CNTD60,249993,250000,0.999972
