datetime,instrument,alpha158_CNTD10,alpha158_CNTD20,alpha158_CNTD30,alpha158_CNTD5,alpha158_CNTD60
2025-12-01,SH600000,0.4,0.1,-0.1,0.2,-0.16666667
2025-12-01,SH600006,-0.2,0.05,0.2,-0.2,0.0
2025-12-01,SH600008,-0.2,-0.15,-0.13333334,0.0,0.0
2025-12-01,SH600009,-0.2,0.0,0.033333335,0.6,-0.05
2025-12-01,SH600010,0.1,-0.1,-0.033333335,0.4,-0.18333334
2025-12-01,SH600011,0.0,-0.2,-0.033333335,0.6,-0.033333335
2025-12-01,SH600015,-0.1,-0.05,0.0,0.0,-0.13333334
2025-12-01,SH600016,0.0,0.15,-0.033333335,0.2,-0.15
2025-12-01,SH600018,-0.4,-0.1,0.033333335,-0.2,-0.083333336
2025-12-01,SH600019,-0.4,-0.3,-0.1,0.0,0.0
2025-12-01,SH600021,-0.4,-0.3,-0.2,-0.2,-0.033333335
2025-12-01,SH600023,0.0,-0.1,-0.033333335,0.4,-0.11666667
2025-12-01,SH600025,0.0,-0.2,-0.2,0.2,-0.033333335
2025-12-01,SH600026,-0.4,-0.25,-0.23333333,-0.6,-0.15
2025-12-01,SH600027,-0.2,-0.2,-0.06666667,0.2,-0.06666667
2025-12-01,SH600028,-0.1,0.2,0.13333334,-0.2,-0.06666667
2025-12-01,SH600029,0.0,0.1,0.2,0.6,0.033333335
2025-12-01,SH600030,0.3,-0.05,0.033333335,0.6,-0.11666667
2025-12-01,SH600031,0.0,-0.1,-0.06666667,-0.2,-0.016666668
2025-12-01,SH600036,0.1,0.15,0.1,0.0,-0.083333336
