execution_date,instrument,side,commission,tax,total_cost
2022-01-06,SH600601,buy,5.0,0.0,5.0
2022-01-06,SZ000752,buy,5.0,0.0,5.0
2022-01-06,SZ000502,buy,5.0,0.0,5.0
2022-01-06,SH600084,buy,5.0,0.0,5.0
2022-01-06,SH600836,buy,6.992908772027491,0.0,6.992908772027491
2022-01-06,SZ002634,buy,9.456475784897803,0.0,9.456475784897803
2022-01-06,SH600275,buy,5.0,0.0,5.0
2022-01-06,SH600679,buy,5.0,0.0,5.0
2022-01-06,SH600595,buy,9.676996261217592,0.0,9.676996261217592
2022-01-06,SZ002501,buy,5.0,0.0,5.0
2022-01-06,SH600766,buy,5.0,0.0,5.0
2022-01-06,SZ300312,buy,32.30406792010545,0.0,32.30406792010545
2022-01-06,SH600311,buy,5.0,0.0,5.0
2022-01-06,SZ002005,buy,5.0,0.0,5.0
2022-01-06,SZ000048,buy,5.0,0.0,5.0
2022-01-06,SZ002496,buy,5.0,0.0,5.0
2022-01-06,SH601069,buy,5.0,0.0,5.0
2022-01-06,SZ000971,buy,5.0,0.0,5.0
2022-01-06,SZ000802,buy,5.0,0.0,5.0
2022-01-06,SH600611,buy,5.136165945589542,0.0,5.136165945589542
2022-01-06,SZ300103,buy,5.373211172043084,0.0,5.373211172043084
2022-01-06,SH600735,buy,9.999506275677678,0.0,9.999506275677678
2022-01-06,SZ002724,buy,5.672859412908553,0.0,5.672859412908553
2022-01-06,SZ002423,buy,6.4869024801635735,0.0,6.4869024801635735
2022-01-06,SH600717,buy,10.321859786038397,0.0,10.321859786038397
2022-01-06,SZ000541,buy,5.0,0.0,5.0
2022-01-06,SZ000800,buy,8.985613595080373,0.0,8.985613595080373
2022-01-06,SH600015,buy,17.285110211448664,0.0,17.285110211448664
2022-01-06,SZ000089,buy,10.381561650187967,0.0,10.381561650187967
2022-01-06,SH600643,buy,8.477593011903762,0.0,8.477593011903762
2022-01-06,SZ002618,buy,6.851044938810467,0.0,6.851044938810467
