execution_date,instrument,side,requested_shares,executed_shares,unfilled_shares
2023-03-07,SZ002731,buy,133800,10400,123400
2023-03-07,SH600807,buy,189900,9100,180800
2023-03-07,SH603167,buy,227600,17800,209800
2023-03-07,SH600565,buy,217100,18600,198500
2023-03-07,SZ000036,buy,45800,3300,42500
2023-03-07,SH600611,buy,110900,7400,103500
2023-03-07,SZ300237,buy,165400,18400,147000
2023-03-07,SH600601,buy,178500,19600,158900
2023-03-07,SZ300262,buy,258100,6600,251500
2023-03-07,SZ002118,buy,120800,12800,108000
2023-03-07,SH600794,buy,45200,4600,40600
2023-03-07,SZ000861,buy,89700,10900,78800
2023-03-07,SZ000685,buy,36900,5500,31400
2023-03-07,SH601599,buy,333200,29700,303500
2023-04-04,SH600052,sell,23400,12100,11300
2023-04-04,SH600165,sell,41800,19600,22200
2023-04-04,SH600226,sell,13600,8600,5000
2023-04-04,SH600365,sell,10400,4200,6200
2023-04-04,SH600601,sell,19600,15900,3700
2023-04-04,SH600611,sell,7400,4100,3300
2023-04-04,SH600648,sell,50100,17900,32200
2023-04-04,SH601599,sell,29700,23400,6300
2023-04-04,SH601880,sell,136400,57600,78800
2023-04-04,SH603167,sell,28400,13200,15200
2023-04-04,SZ000036,sell,3300,2300,1000
2023-04-04,SZ000410,sell,5600,3500,2100
2023-04-04,SZ000548,sell,26200,18300,7900
2023-04-04,SZ000861,sell,10900,8300,2600
2023-04-04,SZ002118,sell,12800,11900,900
2023-04-04,SZ002239,sell,37200,25900,11300
2023-04-04,SZ002366,sell,52000,21800,30200
2023-04-04,SZ002470,sell,132300,70000,62300
2023-04-04,SZ002672,sell,35700,14900,20800
2023-04-04,SZ002715,sell,4600,3400,1200
2023-04-04,SZ002775,sell,21600,20900,700
2023-04-04,SZ300201,sell,44700,15100,29600
2023-04-04,SH600917,buy,114000,7900,106100
2023-04-04,SZ002482,buy,765300,17600,747700
2023-04-04,SH600376,buy,122300,19800,102500
2023-04-04,SZ000903,buy,56200,3300,52900
2023-04-04,SH600323,buy,40300,4100,36200
2023-04-04,SH600530,buy,269200,13700,255500
2023-04-04,SH600722,buy,410900,20200,390700
2023-04-04,SZ000518,buy,66900,4500,62400
2023-04-04,SZ000685,buy,32800,4500,28300
2023-04-04,SH600712,buy,98600,8600,90000
2023-04-04,SH601777,buy,826800,106900,719900
2023-04-04,SZ002694,buy,194700,12600,182100
2023-04-04,SZ000882,buy,344600,17100,327500
2023-04-04,SZ002538,buy,128700,10800,117900
2023-04-04,SH600746,buy,114600,8200,106400
2023-04-04,SZ002016,buy,57500,3200,54300
2023-04-04,SH600310,buy,114400,8400,106000
2023-04-04,SH600565,buy,212300,22900,189400
2023-04-04,SZ002087,buy,185200,12800,172400
2023-04-04,SH601010,buy,269100,19900,249200
2023-04-04,SH600084,buy,60500,2300,58200
2023-04-04,SZ000517,buy,113000,11800,101200
2023-04-04,SH600960,buy,209800,18100,191700
2023-04-04,SH600609,buy,159200,13300,145900
2023-04-04,SZ002067,buy,147300,12700,134600
2023-04-04,SH600628,buy,58400,2600,55800
2023-04-04,SZ000959,buy,120300,16700,103600
2023-04-04,SZ001896,buy,251500,23600,227900
2023-04-04,SZ000966,buy,146800,18000,128800
2023-04-04,SH600300,buy,151900,17300,134600
2023-04-04,SH600743,buy,256700,10600,246100
2023-04-04,SH600293,buy,375300,33600,341700
2023-04-04,SZ002692,buy,195600,3800,191800
2023-04-04,SZ000667,buy,137900,26300,111600
2023-04-04,SH600169,buy,80900,5600,75300
2023-04-04,SH600696,buy,24400,1900,22500
2023-04-04,SH603299,buy,98100,10700,87400
2023-04-04,SZ002233,buy,144900,10700,134200
2023-04-04,SH600448,buy,298800,25700,273100
2023-04-04,SH600635,buy,89400,7500,81900
2023-04-04,SZ002734,buy,94800,12800,82000
2023-04-04,SH600815,buy,139700,10300,129400
2023-04-04,SH600076,buy,401500,21000,380500
2023-04-04,SZ000096,buy,93600,2600,91000
2023-04-04,SZ002637,buy,161700,11700,150000
2023-04-04,SZ002203,buy,139200,12900,126300
2023-04-04,SH601018,buy,123200,23700,99500
2023-04-04,SH601002,buy,352500,29400,323100
2023-04-04,SZ002650,buy,135800,9600,126200
2023-04-04,SZ002210,buy,222600,103500,119100
2023-05-08,SH600076,sell,21000,15400,5600
2023-05-08,SH600165,sell,22200,17800,4400
2023-05-08,SH600293,sell,33600,15300,18300
2023-05-08,SH600300,sell,17300,12800,4500
2023-05-08,SH600565,sell,41500,18300,23200
2023-05-08,SH600609,sell,13300,11500,1800
2023-05-08,SH600648,sell,32200,16400,15800
2023-05-08,SH600712,sell,19800,5300,14500
2023-05-08,SH600746,sell,8200,5300,2900
2023-05-08,SH600917,sell,7900,3700,4200
2023-05-08,SH600960,sell,18100,10800,7300
2023-05-08,SH601010,sell,49700,34400,15300
2023-05-08,SH601777,sell,106900,61200,45700
2023-05-08,SH603299,sell,10700,8900,1800
2023-05-08,SZ000096,sell,8100,3500,4600
2023-05-08,SZ000518,sell,4500,2200,2300
2023-05-08,SZ002067,sell,12700,8500,4200
2023-05-08,SZ002087,sell,12800,1600,11200
2023-05-08,SZ002118,sell,900,500,400
2023-05-08,SZ002210,sell,127200,14000,113200
2023-05-08,SZ002470,sell,62300,59400,2900
2023-05-08,SZ002637,sell,11700,9300,2400
2023-05-08,SZ002672,sell,20800,13400,7400
2023-05-08,SZ002692,sell,6200,2800,3400
2023-05-08,SZ002694,sell,12600,6900,5700
2023-05-08,SZ002734,sell,12800,4100,8700
2023-05-08,SZ300201,sell,29600,17300,12300
2023-05-08,SZ300097,buy,301200,18800,282400
2023-05-08,SZ002708,buy,194800,11700,183100
2023-05-08,SH603188,buy,761400,22700,738700
2023-05-08,SZ002290,buy,277500,26200,251300
2023-05-08,SZ002097,buy,182600,14300,168300
2023-05-08,SZ300321,buy,144000,1900,142100
2023-05-08,SH600119,buy,169900,3400,166500
2023-05-08,SH600889,buy,96900,2100,94800
2023-05-08,SZ300195,buy,389700,23500,366200
2023-05-08,SZ300222,buy,137800,39900,97900
2023-05-08,SH600722,buy,410200,17700,392500
2023-05-08,SH600692,buy,124000,5600,118400
2023-05-08,SH600257,buy,114300,10400,103900
2023-05-08,SZ002178,buy,196700,21000,175700
2023-05-08,SZ000669,buy,553000,8800,544200
2023-05-08,SZ002144,buy,554000,35600,518400
2023-05-08,SZ300018,buy,282800,22700,260100
2023-05-08,SZ002529,buy,277500,28100,249400
2023-05-08,SH603020,buy,293100,9100,284000
2023-05-08,SZ000903,buy,54800,3500,51300
2023-05-08,SH600227,buy,142600,3800,138800
2023-05-08,SZ300056,buy,200900,19900,181000
2023-05-08,SZ300126,buy,329800,9100,320700
2023-05-08,SH600973,buy,43400,10100,33300
2023-05-08,SH603117,buy,330100,16200,313900
2023-05-08,SH603788,buy,153700,5700,148000
2023-05-08,SH600679,buy,111900,3500,108400
2023-05-08,SH600865,buy,64800,1400,63400
2023-05-08,SH603023,buy,150000,4000,146000
2023-05-08,SZ002715,buy,148300,4800,143500
2023-05-08,SZ002141,buy,174200,8500,165700
2023-05-08,SH600448,buy,290600,18100,272500
2023-05-08,SH600630,buy,212200,15800,196400
2023-05-08,SZ300350,buy,181800,9400,172400
2023-05-08,SZ000570,buy,183400,12900,170500
2023-05-08,SH600693,buy,65500,3800,61700
2023-05-08,SH600638,buy,262300,10200,252100
2023-05-08,SH600220,buy,175100,9000,166100
2023-05-08,SZ300198,buy,222300,9300,213000
2023-05-08,SZ002196,buy,258100,18700,239400
2023-05-08,SZ002786,buy,189500,19000,170500
2023-05-08,SZ000020,buy,132200,5800,126400
2023-05-08,SZ002329,buy,170900,21500,149400
2023-05-08,SH600218,buy,167800,7700,160100
2023-05-08,SH603861,buy,286000,27100,258900
2023-05-08,SZ002501,buy,726700,43300,683400
2023-05-08,SZ002510,buy,375600,24400,351200
2023-05-08,SZ000816,buy,105700,9100,96600
2023-05-08,SH603006,buy,135300,5100,130200
2023-05-08,SZ300040,buy,240500,13800,226700
2023-06-05,SH600220,sell,9000,8600,400
2023-06-05,SH600257,sell,10400,5300,5100
2023-06-05,SH600448,sell,43800,28300,15500
2023-06-05,SH600693,sell,3800,2600,1200
2023-06-05,SH600973,sell,10100,4500,5600
2023-06-05,SH603020,sell,9100,7800,1300
2023-06-05,SH603117,sell,16200,6500,9700
2023-06-05,SH603188,sell,22700,14400,8300
2023-06-05,SH603788,sell,5700,5400,300
2023-06-05,SH603861,sell,27100,15600,11500
2023-06-05,SZ000020,sell,5800,5400,400
2023-06-05,SZ000518,sell,2300,2000,300
2023-06-05,SZ000570,sell,12900,7700,5200
2023-06-05,SZ000816,sell,9100,5700,3400
2023-06-05,SZ000903,sell,6800,2100,4700
2023-06-05,SZ002067,sell,4200,3900,300
2023-06-05,SZ002210,sell,113200,64000,49200
2023-06-05,SZ002290,sell,26200,11100,15100
2023-06-05,SZ002501,sell,43300,24200,19100
2023-06-05,SZ002510,sell,24400,22000,2400
2023-06-05,SZ002734,sell,8700,5600,3100
2023-06-05,SZ300126,sell,9100,7900,1200
2023-06-05,SZ300201,sell,12300,11100,1200
2023-06-05,SZ002118,buy,500200,600,499600
2023-06-05,SZ000671,buy,216400,600,215800
2023-06-05,SH600077,buy,2154300,2100,2152200
2023-06-05,SZ002504,buy,3656800,3500,3653300
2023-06-05,SZ000520,buy,202000,4900,197100
2023-06-05,SH600127,buy,93400,6700,86700
2023-06-05,SH600293,buy,412400,12000,400400
2023-06-05,SH600067,buy,69700,3200,66500
2023-06-05,SZ000096,buy,98000,3200,94800
2023-06-05,SZ002628,buy,389800,16100,373700
2023-06-05,SZ000789,buy,38300,2000,36300
2023-06-05,SH603167,buy,256800,16300,240500
2023-06-05,SZ002538,buy,144300,10000,134300
2023-06-05,SH600851,buy,72700,2800,69900
2023-06-05,SH600193,buy,83500,6200,77300
2023-06-05,SH600470,buy,137700,5700,132000
2023-06-05,SH600595,buy,141100,6600,134500
2023-06-05,SH600106,buy,53700,1600,52100
2023-06-05,SZ000698,buy,148000,8200,139800
2023-06-05,SH600722,buy,406100,13900,392200
2023-06-05,SH601015,buy,182600,12300,170300
2023-06-05,SH603609,buy,111900,9900,102000
2023-06-05,SZ000659,buy,141900,14800,127100
2023-06-05,SH600802,buy,103900,2000,101900
2023-06-05,SH600708,buy,134600,18200,116400
2023-06-05,SZ002277,buy,369600,25100,344500
2023-06-05,SH600712,buy,100200,3700,96500
2023-06-05,SZ000785,buy,239000,19900,219100
2023-06-05,SH600618,buy,126700,4600,122100
2023-06-05,SZ000897,buy,188600,12300,176300
2023-06-05,SZ002440,buy,160700,6000,154700
2023-06-05,SZ002208,buy,159500,8700,150800
2023-06-05,SH600370,buy,111600,3400,108200
2023-06-05,SH600075,buy,97700,6300,91400
2023-06-05,SH600655,buy,42700,3800,38900
2023-06-05,SZ000672,buy,43200,6100,37100
2023-06-05,SZ002081,buy,28200,3600,24600
2023-06-05,SH600965,buy,69800,2600,67200
2023-06-05,SH600648,buy,160300,11800,148500
2023-06-05,SH600626,buy,116400,2900,113500
2023-06-05,SH600638,buy,256000,8900,247100
2023-06-05,SH600533,buy,154200,19100,135100
2023-06-05,SZ000592,buy,140300,7700,132600
2023-06-05,SZ002259,buy,189500,7900,181600
2023-06-05,SH600650,buy,75700,1800,73900
2023-06-05,SH600691,buy,134200,5100,129100
2023-06-05,SH600604,buy,104400,5600,98800
2023-06-05,SZ000090,buy,79800,7000,72800
2023-06-05,SH600682,buy,45500,5400,40100
2023-06-05,SH600527,buy,35500,500,35000
2023-07-05,SH600067,sell,3200,2000,1200
2023-07-05,SH600075,sell,6300,5000,1300
2023-07-05,SH600127,sell,6700,5400,1300
2023-07-05,SH600293,sell,30300,26700,3600
2023-07-05,SH600370,sell,3400,2600,800
2023-07-05,SH600448,sell,15500,11200,4300
2023-07-05,SH600530,sell,30800,1500,29300
2023-07-05,SH600533,sell,19100,14100,5000
2023-07-05,SH600604,sell,5600,3600,2000
2023-07-05,SH600618,sell,4600,3400,1200
2023-07-05,SH600638,sell,19100,7800,11300
2023-07-05,SH600708,sell,18200,9300,8900
2023-07-05,SH600712,sell,18200,4200,14000
2023-07-05,SH600722,sell,51800,19100,32700
2023-07-05,SH600851,sell,2800,1500,1300
2023-07-05,SH600973,sell,5600,3600,2000
2023-07-05,SH603117,sell,9700,3000,6700
2023-07-05,SH603167,sell,16300,8900,7400
2023-07-05,SH603609,sell,9900,8400,1500
2023-07-05,SZ000090,sell,7000,5800,1200
2023-07-05,SZ000096,sell,7800,2800,5000
2023-07-05,SZ000520,sell,4900,3900,1000
2023-07-05,SZ000672,sell,6100,3400,2700
2023-07-05,SZ000698,sell,8200,6200,2000
2023-07-05,SZ000789,sell,2000,1300,700
2023-07-05,SZ000897,sell,12300,8900,3400
2023-07-05,SZ002081,sell,3600,2700,900
2023-07-05,SZ002208,sell,8700,6800,1900
2023-07-05,SZ002210,sell,49200,21600,27600
2023-07-05,SZ002259,sell,7900,3500,4400
2023-07-05,SZ002277,sell,25100,16800,8300
2023-07-05,SZ002755,buy,141600,10400,131200
2023-07-05,SH603188,buy,774200,18500,755700
2023-07-05,SZ300436,buy,117200,8900,108300
2023-07-05,SZ002556,buy,183900,14300,169600
2023-07-05,SZ300197,buy,206300,12500,193800
2023-07-05,SZ002628,buy,387100,24200,362900
2023-07-05,SZ002082,buy,101100,2600,98500
2023-07-05,SZ000518,buy,75700,1900,73800
2023-07-05,SZ002622,buy,286100,26700,259400
2023-07-05,SZ300318,buy,108300,4300,104000
2023-07-05,SZ300401,buy,33500,1500,32000
2023-07-05,SZ300137,buy,264200,6900,257300
2023-07-05,SZ000078,buy,119300,6300,113000
2023-07-05,SZ300453,buy,81700,2400,79300
2023-07-05,SH600881,buy,131400,2800,128600
2023-07-05,SH600496,buy,62300,4000,58300
2023-07-05,SZ300321,buy,137500,2200,135300
2023-07-05,SZ002091,buy,50000,3800,46200
2023-07-05,SH600694,buy,33600,2200,31400
2023-07-05,SZ002287,buy,132700,6700,126000
2023-07-05,SZ300160,buy,138500,10900,127600
2023-07-05,SZ000712,buy,34600,2100,32500
2023-07-05,SH600802,buy,106900,2000,104900
2023-07-05,SH603222,buy,73200,6300,66900
2023-07-05,SZ300006,buy,277300,10200,267100
2023-07-05,SZ002726,buy,74600,9300,65300
2023-07-05,SZ002746,buy,45000,4300,40700
2023-07-05,SZ300143,buy,198400,40400,158000
2023-07-05,SZ002341,buy,207000,9500,197500
2023-07-05,SZ002294,buy,36300,15500,20800
2023-07-05,SH600668,buy,63200,2000,61200
2023-07-05,SH600789,buy,82000,13600,68400
2023-07-05,SZ002538,buy,137600,13900,123700
2023-07-05,SH600439,buy,79100,1800,77300
2023-07-05,SZ300069,buy,255200,7100,248100
2023-07-05,SH600107,buy,237500,8000,229500
2023-07-05,SZ300326,buy,130800,5600,125200
2023-07-05,SH600965,buy,72100,2900,69200
2023-07-05,SH600648,buy,153800,8200,145600
2023-07-05,SH600239,buy,89400,8200,81200
2023-07-05,SZ002550,buy,149800,13100,136700
2023-07-05,SZ000959,buy,128500,10800,117700
2023-07-05,SZ000990,buy,222100,14100,208000
2023-07-05,SZ002692,buy,200200,4100,196100
2023-07-05,SZ002054,buy,96100,3000,93100
2023-07-05,SZ002551,buy,381300,10800,370500
2023-07-05,SZ002386,buy,393700,26600,367100
2023-07-05,SH600568,buy,332400,6300,326100
2023-07-05,SZ000931,buy,577900,21800,556100
2023-07-05,SZ002589,buy,152900,8700,144200
2023-08-02,SH600568,sell,6300,5100,1200
2023-08-02,SH600648,sell,35800,25600,10200
2023-08-02,SH600789,sell,13600,10400,3200
2023-08-02,SH600965,sell,5500,5200,300
2023-08-02,SZ000096,sell,5000,2200,2800
2023-08-02,SZ002386,sell,26600,22100,4500
2023-08-02,SZ002622,sell,26700,21200,5500
2023-08-02,SZ002628,sell,40300,28300,12000
2023-08-02,SZ300436,sell,8900,5000,3900
2023-08-02,SZ300453,sell,2400,2200,200
2023-08-02,SH603117,buy,326700,4000,322700
2023-08-02,SZ002667,buy,90100,7600,82500
2023-08-02,SZ002726,buy,67600,6900,60700
2023-08-02,SH600898,buy,240000,3200,236800
2023-08-02,SH603377,buy,354800,23200,331600
2023-08-02,SZ300301,buy,458000,19500,438500
2023-08-02,SZ300486,buy,133200,5900,127300
2023-08-02,SZ002218,buy,394000,31700,362300
2023-08-02,SZ000697,buy,421200,15200,406000
2023-08-02,SZ002692,buy,193900,3400,190500
2023-08-02,SH600543,buy,160400,1700,158700
2023-08-02,SH600078,buy,51500,10000,41500
2023-08-02,SZ002259,buy,198000,3200,194800
2023-08-02,SH600855,buy,109900,7800,102100
2023-08-02,SH600525,buy,63600,9400,54200
2023-08-02,SZ300442,buy,108600,16800,91800
2023-08-02,SH600722,buy,373800,20400,353400
2023-08-02,SZ002009,buy,43500,11300,32200
2023-08-02,SZ002214,buy,80200,5200,75000
2023-08-02,SH603618,buy,166400,54500,111900
2023-08-02,SZ300191,buy,113600,9600,104000
2023-08-02,SZ002054,buy,90300,14800,75500
2023-08-02,SZ002132,buy,156800,25200,131600
2023-08-02,SZ002760,buy,100600,6900,93700
2023-08-02,SZ002348,buy,163200,7500,155700
2023-08-02,SZ300483,buy,148000,6900,141100
2023-08-02,SZ002039,buy,36300,2200,34100
2023-08-02,SZ002341,buy,203500,27400,176100
2023-08-02,SH603001,buy,576900,16600,560300
2023-08-02,SH603100,buy,46700,4800,41900
2023-08-02,SZ002686,buy,149600,8000,141600
2023-08-02,SZ300093,buy,108000,10700,97300
2023-08-02,SZ300143,buy,170500,29000,141500
2023-08-02,SH600222,buy,159400,17000,142400
2023-08-02,SZ300358,buy,160900,28300,132600
2023-08-02,SH601218,buy,444000,21600,422400
2023-08-02,SZ002042,buy,45800,5100,40700
2023-08-02,SZ002248,buy,190800,23800,167000
2023-08-02,SH600651,buy,140200,21000,119200
2023-08-02,SZ002755,buy,139700,7000,132700
2023-08-02,SZ002226,buy,77300,10800,66500
2023-08-02,SZ002361,buy,147900,31300,116600
2023-08-02,SZ300209,buy,702100,24400,677700
2023-08-02,SZ002296,buy,166700,10100,156600
2023-08-02,SZ002060,buy,54800,7900,46900
2023-08-02,SZ002522,buy,179000,7000,172000
2023-08-02,SZ002263,buy,145800,9700,136100
2023-08-02,SH600775,buy,161100,26000,135100
2023-08-02,SZ300167,buy,447100,18000,429100
2023-08-02,SH600405,buy,101900,7900,94000
2023-08-30,SH600078,sell,10000,6200,3800
2023-08-30,SH600222,sell,17000,10900,6100
2023-08-30,SH600405,sell,7900,7400,500
2023-08-30,SH600525,sell,9400,7600,1800
2023-08-30,SH600651,sell,21000,13900,7100
2023-08-30,SH600775,sell,26000,18800,7200
2023-08-30,SH603001,sell,16600,12900,3700
2023-08-30,SH603117,sell,10700,1700,9000
2023-08-30,SH603618,sell,54500,15100,39400
2023-08-30,SZ000096,sell,2800,2200,600
2023-08-30,SZ002039,sell,2200,1900,300
2023-08-30,SZ002042,sell,5100,4000,1100
2023-08-30,SZ002054,sell,17800,4600,13200
2023-08-30,SZ002132,sell,25200,21400,3800
2023-08-30,SZ002226,sell,10800,6700,4100
2023-08-30,SZ002248,sell,23800,23500,300
2023-08-30,SZ002259,sell,7600,3200,4400
2023-08-30,SZ002361,sell,31300,13800,17500
2023-08-30,SZ002692,sell,7500,2800,4700
2023-08-30,SZ002726,sell,16200,6800,9400
2023-08-30,SZ002755,sell,17400,6700,10700
2023-08-30,SZ300143,sell,69400,23000,46400
2023-08-30,SZ300301,sell,19500,18100,1400
2023-08-30,SZ002455,buy,157800,13100,144700
2023-08-30,SH603901,buy,88000,11900,76100
2023-08-30,SH600731,buy,109900,15800,94100
2023-08-30,SZ300443,buy,77100,25800,51300
2023-08-30,SH603008,buy,70900,20700,50200
2023-08-30,SZ000422,buy,37700,7800,29900
2023-08-30,SZ300082,buy,257700,17000,240700
2023-08-30,SZ002263,buy,148300,9100,139200
2023-08-30,SH600075,buy,102200,10800,91400
2023-08-30,SZ300117,buy,366100,29000,337100
2023-08-30,SH600596,buy,28500,4800,23700
2023-08-30,SZ000523,buy,166800,10600,156200
2023-08-30,SH603609,buy,116500,7100,109400
2023-08-30,SZ002539,buy,108300,20100,88200
2023-08-30,SZ002529,buy,300000,27300,272700
2023-08-30,SZ001896,buy,261500,32800,228700
2023-08-30,SH600869,buy,76400,12500,63900
2023-08-30,SZ002339,buy,183700,25400,158300
2023-08-30,SH600213,buy,118100,20300,97800
2023-08-30,SZ300409,buy,80800,11600,69200
2023-08-30,SZ000536,buy,207700,25100,182600
2023-08-30,SZ000558,buy,101800,26100,75700
2023-08-30,SH600865,buy,67600,2900,64700
2023-08-30,SH600682,buy,46500,5300,41200
2023-08-30,SZ002501,buy,751800,63000,688800
2023-08-30,SH600116,buy,46800,4600,42200
2023-08-30,SZ000688,buy,75300,8100,67200
2023-08-30,SH600841,buy,156200,11000,145200
2023-08-30,SZ002645,buy,93800,10700,83100
2023-08-30,SZ002264,buy,244900,23400,221500
2023-08-30,SH600499,buy,14600,2400,12200
2023-08-30,SZ002416,buy,375000,78000,297000
2023-08-30,SZ002783,buy,231300,167200,64100
2023-08-30,SH603968,buy,142300,3200,139100
2023-08-30,SZ002538,buy,155600,12000,143600
2023-08-30,SZ002408,buy,94500,13500,81000
2023-08-30,SZ002545,buy,207800,35400,172400
2023-08-30,SZ300040,buy,241700,19200,222500
2023-08-30,SH600969,buy,187200,13400,173800
2023-08-30,SH600805,buy,141200,8700,132500
2023-08-30,SH600691,buy,132200,9100,123100
2023-08-30,SH601388,buy,197200,24800,172400
2023-08-30,SZ002346,buy,154700,9000,145700
2023-08-30,SZ002637,buy,175800,11600,164200
2023-08-30,SH600193,buy,82800,2000,80800
2023-08-30,SZ002768,buy,73100,7900,65200
2023-08-30,SZ300132,buy,195400,29300,166100
2023-08-30,SZ002341,buy,194300,13800,180500
2023-08-30,SZ000626,buy,96500,5400,91100
2023-08-30,SH600722,buy,375200,28200,347000
2023-09-27,SH600213,sell,20300,9100,11200
2023-09-27,SH600596,sell,4800,3300,1500
2023-09-27,SH600722,sell,81300,13900,67400
2023-09-27,SH600731,sell,15800,9300,6500
2023-09-27,SH600805,sell,8700,7500,1200
2023-09-27,SH600841,sell,11000,9400,1600
2023-09-27,SH600865,sell,2900,1700,1200
2023-09-27,SH600869,sell,12500,8400,4100
2023-09-27,SH600969,sell,13400,7400,6000
2023-09-27,SH601388,sell,24800,14500,10300
2023-09-27,SH603008,sell,20700,10400,10300
2023-09-27,SH603117,sell,9000,2600,6400
2023-09-27,SH603609,sell,7100,7000,100
2023-09-27,SH603618,sell,39400,11400,28000
2023-09-27,SH603901,sell,11900,9500,2400
2023-09-27,SH603968,sell,3200,2900,300
2023-09-27,SZ000523,sell,10600,8000,2600
2023-09-27,SZ000558,sell,26100,8300,17800
2023-09-27,SZ000626,sell,5400,3200,2200
2023-09-27,SZ002054,sell,13200,4100,9100
2023-09-27,SZ002259,sell,4400,2900,1500
2023-09-27,SZ002263,sell,18800,6900,11900
2023-09-27,SZ002264,sell,23400,11000,12400
2023-09-27,SZ002341,sell,50700,39200,11500
2023-09-27,SZ002361,sell,17500,8800,8700
2023-09-27,SZ002408,sell,13500,10000,3500
2023-09-27,SZ002416,sell,78000,60800,17200
2023-09-27,SZ002501,sell,63000,54700,8300
2023-09-27,SZ002538,sell,12000,11500,500
2023-09-27,SZ002539,sell,20100,10700,9400
2023-09-27,SZ002545,sell,35400,13100,22300
2023-09-27,SZ002645,sell,10700,7400,3300
2023-09-27,SZ002692,sell,4700,1900,2800
2023-09-27,SZ002726,sell,9400,6100,3300
2023-09-27,SZ002783,sell,167200,19900,147300
2023-09-27,SZ300040,sell,19200,13900,5300
2023-09-27,SZ300082,sell,17000,15300,1700
2023-09-27,SZ300132,sell,29300,9800,19500
2023-09-27,SZ300143,sell,46400,36100,10300
2023-09-27,SZ300409,sell,11600,9200,2400
2023-09-27,SZ300117,buy,366500,31700,334800
2023-09-27,SZ002586,buy,237200,14000,223200
2023-09-27,SZ002470,buy,700900,56200,644700
2023-09-27,SH600825,buy,119000,10300,108700
2023-09-27,SZ002678,buy,225300,5300,220000
2023-09-27,SH601968,buy,145000,12500,132500
2023-09-27,SH600551,buy,95500,5500,90000
2023-09-27,SZ300152,buy,540800,32600,508200
2023-09-27,SZ002789,buy,263000,11000,252000
2023-09-27,SH600831,buy,68500,5300,63200
2023-09-27,SZ002457,buy,301600,34300,267300
2023-09-27,SZ002181,buy,453100,29900,423200
2023-09-27,SH600191,buy,175900,10400,165500
2023-09-27,SH603126,buy,90000,5100,84900
2023-09-27,SZ002637,buy,169300,7500,161800
2023-09-27,SZ002498,buy,297700,22400,275300
2023-09-27,SZ002346,buy,151000,6000,145000
2023-09-27,SZ000861,buy,97200,11000,86200
2023-09-27,SH600800,buy,443900,19900,424000
2023-09-27,SH601886,buy,270500,18300,252200
2023-09-27,SZ002024,buy,39900,1500,38400
2023-09-27,SH600229,buy,172100,16400,155700
2023-09-27,SH603003,buy,257400,15700,241700
2023-09-27,SH603066,buy,113300,5300,108000
2023-09-27,SH600692,buy,124200,3800,120400
2023-09-27,SZ000779,buy,67000,3100,63900
2023-09-27,SZ300021,buy,119100,5600,113500
2023-09-27,SZ000793,buy,270000,21500,248500
2023-09-27,SH600730,buy,119600,7300,112300
2023-09-27,SZ002238,buy,169500,8900,160600
2023-09-27,SH600851,buy,63000,5400,57600
2023-09-27,SH600620,buy,45800,7000,38800
2023-09-27,SZ002358,buy,182500,13700,168800
2023-09-27,SZ002638,buy,361500,27400,334100
2023-09-27,SZ300022,buy,378900,18800,360100
2023-09-27,SZ002772,buy,194300,12100,182200
2023-09-27,SH600807,buy,207200,6900,200300
2023-09-27,SZ000777,buy,29700,4000,25700
2023-09-27,SZ002628,buy,401500,28100,373400
2023-09-27,SZ002103,buy,167300,26100,141200
2023-09-27,SH600082,buy,148200,6100,142100
2023-09-27,SH600715,buy,244800,13000,231800
2023-09-27,SH600959,buy,359400,50500,308900
2023-09-27,SH603167,buy,250500,12000,238500
2023-09-27,SZ002671,buy,221200,24400,196800
2023-09-27,SZ300056,buy,196000,25100,170900
2023-09-27,SZ300321,buy,128800,3000,125800
2023-09-27,SH600193,buy,84900,1500,83400
2023-09-27,SZ000726,buy,64900,2300,62600
2023-11-02,SH600193,sell,3500,2300,1200
2023-11-02,SH600620,sell,7000,3000,4000
2023-11-02,SH600722,sell,67400,22300,45100
2023-11-02,SH600800,sell,19900,19200,700
2023-11-02,SH600851,sell,5400,4800,600
2023-11-02,SH603008,sell,10300,7800,2500
2023-11-02,SH603066,sell,5300,3700,1600
2023-11-02,SH603117,sell,6400,4800,1600
2023-11-02,SH603126,sell,5100,4400,700
2023-11-02,SH603618,sell,28000,16400,11600
2023-11-02,SZ000558,sell,17800,9600,8200
2023-11-02,SZ000777,sell,4000,3000,1000
2023-11-02,SZ002054,sell,9100,3900,5200
2023-11-02,SZ002263,sell,11900,10500,1400
2023-11-02,SZ002346,sell,15000,7400,7600
2023-11-02,SZ002358,sell,13700,10500,3200
2023-11-02,SZ002586,sell,14000,6100,7900
2023-11-02,SZ002637,sell,19100,7600,11500
2023-11-02,SZ002678,sell,5300,4700,600
2023-11-02,SZ002783,sell,147300,138100,9200
2023-11-02,SZ002789,sell,11000,9300,1700
2023-11-02,SZ300056,sell,25100,19800,5300
2023-11-02,SZ300117,sell,60700,27700,33000
2023-11-02,SZ300152,sell,32600,29900,2700
2023-11-02,SZ300370,sell,227600,45700,181900
2023-11-02,SZ002690,buy,29800,3500,26300
2023-11-02,SH600568,buy,334200,11900,322300
2023-11-02,SH600382,buy,89400,4100,85300
2023-11-02,SZ002259,buy,216700,6900,209800
2023-11-02,SZ002698,buy,94400,28200,66200
