strategy_capital,order_value,daily_amount,participation_rate,capacity_multiple,estimated_impact_cost
10000000,9758.974603414534,19787.0859375,0.4931991822464148,0.10137891910578785,0.001
10000000,7332.705753374099,15101.21484375,0.485570586819968,0.10297164069894166,0.001
10000000,1078.0096252202986,2302.7880859375,0.46813236172421163,0.1068073991207133,0.001
10000000,5948.814143836498,11915.59765625,0.4992459728376454,0.10015103319873946,0.001
10000000,23309.695906758305,47322.31640625,0.4925730115713381,0.10150779442929067,0.001
10000000,31521.585949659344,65291.390625,0.48278319159570426,0.10356615737747424,0.001
10000000,5740.837368339299,11581.3984375,0.4956946606508891,0.10086854664592466,0.001
10000000,7694.535298156737,15419.4736328125,0.49901413507286235,0.10019756252535686,0.001
10000000,32256.654204058643,63966.5,0.5042741779534388,0.09915240991105569,0.001
10000000,5562.956344038248,11085.0654296875,0.5018424455249313,0.09963286375208776,0.001
10000000,5080.262053388356,10162.2978515625,0.49991272914789076,0.10001745721743432,0.001
10000000,107680.22640035152,222693.453125,0.4835356625410517,0.1034049892767838,0.001
10000000,5228.821720719337,10459.9716796875,0.49988870723936335,0.10002226350766179,0.001
10000000,8322.237270343303,16682.529296875,0.4988594428485277,0.10022863296822841,0.001
10000000,16215.121783483026,32412.5234375,0.5002733531300058,0.09994535924644088,0.001
10000000,11353.812233519553,22884.517578125,0.49613509197906397,0.10077900315527351,0.001
10000000,15007.363882970809,30232.875,0.49639221817213247,0.10072680064186997,0.001
10000000,10229.220163214206,20716.486328125,0.4937719650521464,0.10126131805542989,0.001
10000000,4508.146476066112,9186.4921875,0.49073644042285447,0.101887685285642,0.001
10000000,17120.55315196514,34775.73046875,0.49231325758491057,0.10156135190281032,0.001
10000000,17910.703906810282,36099.625,0.4961465363368811,0.10077667853766945,0.001
10000000,33331.68758559226,67845.03125,0.4912915061203139,0.10177257163439611,0.001
10000000,18909.531376361843,37564.734375,0.5033852013325155,0.0993275127430138,0.001
10000000,21623.008267211913,43547.0625,0.49654344118416516,0.10069612415131124,0.001
10000000,34406.19928679466,69521.859375,0.4948975702909221,0.10103100722561206,0.001
10000000,10792.546892309188,21878.83203125,0.4932871588800519,0.10136083840803574,0.001
10000000,29952.045316934582,59914.26171875,0.4999151196677631,0.10001697894880503,0.001
10000000,57617.03403816222,115111.9375,0.5005304861466885,0.09989401521757997,0.001
10000000,34605.20550062656,69185.078125,0.5001830804917742,0.09996339730412429,0.001
10000000,28258.643373012543,56777.9453125,0.49770457908400634,0.10046120148627491,0.001
10000000,22836.816462701558,47037.640625,0.4855008916107079,0.1029864226080388,0.001
10000000,18475.28947997093,35952.63671875,0.513878568197912,0.09729925140747124,0.001
10000000,2325.0471502184864,4858.3349609375,0.4785687213649485,0.10447820295775419,0.001
10000000,42395.61835985183,85574.96875,0.495420786932532,0.10092430781837414,0.001
10000000,3154.7328686714172,6310.291015625,0.4999346085402304,0.10001308000259486,0.001
10000000,13894.031724396345,28477.83203125,0.487889376872151,0.10248224775982825,0.001
10000000,68265.14690876006,139021.40625,0.4910405436843296,0.1018245858577067,0.001
10000000,6384.919981211423,12782.8525390625,0.49949101436475585,0.10010190085919593,0.001
10000000,5328.55605046749,10992.859375,0.48472884703553215,0.1031504526825383,0.001
10000000,9336.117660105228,19066.9765625,0.4896485622406989,0.10211405456026085,0.001
10000000,31495.40746669173,63507.25,0.4959340463756773,0.10081985773189743,0.001
10000000,4896.81421738863,10235.0,0.47843812578296335,0.10450672157068391,0.001
10000000,24485.590795040127,49481.11328125,0.49484720878983357,0.10104128933509957,0.001
10000000,12729.72015790939,25890.53515625,0.4916746633889653,0.10169326126216281,0.001
10000000,96145.65237357614,201771.21875,0.4765082600442792,0.10492997539088575,0.001
10000000,9012.177521032094,18238.55078125,0.49412793972079144,0.1011883683975706,0.001
10000000,23372.280673456193,47634.921875,0.4906543299218163,0.1019047360857231,0.001
10000000,19737.434983348845,40051.7421875,0.4927984128867389,0.10146136572783895,0.001
10000000,17823.71753605604,35842.63671875,0.49727696307376,0.10054758959864306,0.001
10000000,22329.577176904677,44760.109375,0.49887226570041593,0.1002260567237589,0.001
10000000,59138.87283668519,207937.65625,0.28440674913438235,0.17580454807130813,0.001
10000000,12898.25800216198,48466.57421875,0.26612687630750886,0.1878803099248989,0.001
10000000,5725.258371448516,13933.7490234375,0.41089145224434914,0.12168663944429288,0.001
10000000,14891.981608378886,56009.75,0.2658819510599295,0.18805338158786888,0.001
10000000,20778.639180994032,65461.2578125,0.317418880653196,0.15752056051961436,0.001
10000000,4109.902293071151,39117.828125,0.10506468508267036,0.47589730041695166,0.001
10000000,9053.224924206734,18272.435546875,0.49545803026543117,0.10091672138851714,0.001
10000000,3165.4806694954636,6339.4267578125,0.49933231984965043,0.10013371458722133,0.001
10000000,13246.76777716577,43534.10546875,0.30428482759740344,0.16431972765383676,0.001
10000000,5492.73646645546,10922.9873046875,0.5028602810971228,0.09943119764979604,0.001
10000000,13286.653030872345,26541.51953125,0.5005988076616575,0.09988038172434836,0.001
10000000,10061.437375545502,33849.93359375,0.29723654693973256,0.1682161918336979,0.001
10000000,8794.30101041794,17536.97265625,0.501472014742735,0.09970646123822281,0.001
10000000,28822.31079483032,63162.125,0.4563226901379635,0.10957158405794619,0.001
10000000,5831.112553918361,11645.6298828125,0.5007125086917246,0.09985770104014652,0.001
10000000,3663.1906711578367,7677.70703125,0.47712040277752515,0.10479535083582317,0.001
10000000,23686.808889770506,50055.12890625,0.4732144219253607,0.10566034694497628,0.001
10000000,36026.335368347165,76668.046875,0.4699002627142008,0.10640555872685395,0.001
10000000,38335.6934773922,258693.6875,0.14818952038554167,0.3374057751851549,0.001
10000000,4716.198367917538,42735.2890625,0.11035840569652255,0.4530692490927814,0.001
10000000,23801.067390203476,180234.90625,0.13205581474428446,0.3786277802065817,0.001
10000000,19701.979920387268,39612.5625,0.4973669633310713,0.10052939516756285,0.001
10000000,3884.9596231698993,8024.52099609375,0.48413601572742543,0.10327676185146825,0.001
10000000,15328.22199382782,75700.0,0.2024864199977255,0.24693013981165574,0.001
10000000,19216.10868444443,252397.515625,0.07613430202298342,0.6567342008981182,0.001
10000000,36260.83824155331,439116.21875,0.08257685936714974,0.6054965081402783,0.001
10000000,697.0932489037514,1428.72900390625,0.48791145626486704,0.10247761014420013,0.001
10000000,34542.120080566405,70143.53125,0.4924491177590436,0.10153333247408743,0.001
10000000,3741.652598905563,7393.873046875,0.5060477202116639,0.09880491108444589,0.001
