datetime,cash,nav,turnover,accounting_error,daily_return,holding_valuation_missing_count,unfilled_shares,calendar_mode
2022-01-06,8926830.450983595,10008181.323905539,0.10727817894244522,-7.450580596923828e-09,0.0008181323905538385,0,10026900,signal_date_only
2022-01-07,8926830.450983595,10016868.869878601,0.0,0.0,0.0008680444220481309,0,0,signal_date_only
2022-01-10,8926830.450983595,10015725.0462013,0.0,0.0,-0.00011418974253929459,0,0,signal_date_only
2022-01-11,8926830.450983595,10013749.164809536,0.0,0.0,-0.00019727791873769274,0,0,signal_date_only
2022-01-12,8926830.450983595,10009201.703621697,0.0,0.0,-0.0004541217393202457,0,0,signal_date_only
2022-01-13,8926830.450983595,10014508.88068552,0.0,0.0,0.0005302298046310217,1,0,signal_date_only
2022-01-14,8926830.450983595,9997466.897781443,0.0,0.0,-0.0017017292717114163,1,0,signal_date_only
2022-01-17,8926830.450983595,10003211.032124113,0.0,0.0,0.0005745589759287295,1,0,signal_date_only
2022-01-18,8926830.450983595,9991383.43680973,0.0,0.0,-0.0011823798654652107,1,0,signal_date_only
2022-01-19,8926830.450983595,10001535.597981762,0.0,0.0,0.0010160916389847507,1,0,signal_date_only
2022-01-20,8926830.450983595,9981504.475705575,0.0,0.0,-0.0020028046773367114,1,0,signal_date_only
2022-01-21,8926830.450983595,9970255.05861516,0.0,0.0,-0.001127026203093573,1,0,signal_date_only
2022-01-24,8926830.450983595,9967097.299154352,0.0,0.0,-0.00031671802198063315,1,0,signal_date_only
2022-01-25,8926830.450983595,9933355.109255265,0.0,0.0,-0.0033853577311770966,1,0,signal_date_only
2022-01-26,8926830.450983595,9936322.54243667,0.0,0.0,0.0002987342291467243,1,0,signal_date_only
2022-01-27,8926830.450983595,9912856.470161926,0.0,0.0,-0.0023616455861334984,1,0,signal_date_only
2022-01-28,8926830.450983595,9924198.438082885,0.0,0.0,0.0011441674713135175,0,0,signal_date_only
2022-02-07,8926830.450983595,9951811.377856385,0.0,0.0,0.0027823848893970826,0,0,signal_date_only
2022-02-08,8926830.450983595,9973412.700169038,0.0,0.0,0.002170592015109607,0,0,signal_date_only
2022-02-09,8926830.450983595,9980618.493591499,0.0,0.0,0.0007225002753910026,0,0,signal_date_only
2022-02-10,8599956.39294879,9984683.904625935,0.1784930309164034,3.725290298461914e-09,0.00040733057145181384,0,11019900,signal_date_only
2022-02-11,8599956.39294879,9960864.566222293,0.0,0.0,-0.0023855876291293265,0,0,signal_date_only
2022-02-14,8599956.39294879,9958602.404922707,0.0,0.0,-0.00022710491489441598,0,0,signal_date_only
2022-02-15,8599956.39294879,9955714.15502177,0.0,0.0,-0.0002900256264382062,0,0,signal_date_only
2022-02-16,8599956.39294879,9984454.717232747,0.0,0.0,0.002886840839688043,0,0,signal_date_only
2022-02-17,8599956.39294879,9992278.482157452,0.0,0.0,0.0007835946124530313,0,0,signal_date_only
2022-02-18,8599956.39294879,10007913.524379296,0.0,0.0,0.0015647124176696448,0,0,signal_date_only
2022-02-21,8599956.39294879,10021520.767318172,0.0,0.0,0.0013596483328646158,0,0,signal_date_only
2022-02-22,8599956.39294879,10020184.36589287,0.0,0.0,-0.00013335315630536027,0,0,signal_date_only
2022-02-23,8599956.39294879,10039506.06084214,0.0,0.0,0.001928277389290134,0,0,signal_date_only
2022-02-24,8599956.39294879,10014465.193339152,0.0,0.0,-0.0024942330181617622,0,0,signal_date_only
