signal_date,execution_date,instrument,side,shares,price,trade_value
2022-01-05,2022-01-06,SH600601,buy,10000,0.9758974603414534,9758.974603414534
2022-01-05,2022-01-06,SZ000752,buy,8800,0.8332620174288748,7332.705753374099
2022-01-05,2022-01-06,SZ000502,buy,1400,0.7700068751573562,1078.0096252202986
2022-01-05,2022-01-06,SH600084,buy,3100,1.9189723044633864,5948.814143836498
2022-01-05,2022-01-06,SH600836,buy,6500,3.586107062578201,23309.695906758305
2022-01-05,2022-01-06,SZ002634,buy,17000,1.8542109382152556,31521.585949659344
2022-01-05,2022-01-06,SH600275,buy,13500,0.42524721246957775,5740.837368339299
2022-01-05,2022-01-06,SH600679,buy,3200,2.4045422806739802,7694.535298156737
2022-01-05,2022-01-06,SH600595,buy,13900,2.3206226046085354,32256.654204058643
2022-01-05,2022-01-06,SZ002501,buy,16200,0.3433923669159412,5562.956344038248
2022-01-05,2022-01-06,SH600766,buy,5700,0.8912740444540976,5080.262053388356
2022-01-05,2022-01-06,SZ300312,buy,203600,0.5288812691569328,107680.22640035152
2022-01-05,2022-01-06,SH600311,buy,12400,0.421679171025753,5228.821720719337
2022-01-05,2022-01-06,SZ002005,buy,10900,0.763508006453514,8322.237270343303
2022-01-05,2022-01-06,SZ000048,buy,13900,1.1665555239915846,16215.121783483026
2022-01-05,2022-01-06,SZ002496,buy,17800,0.6378546198606491,11353.812233519553
2022-01-05,2022-01-06,SH601069,buy,6200,2.4205425617694853,15007.363882970809
2022-01-05,2022-01-06,SZ000971,buy,13300,0.7691142979860305,10229.220163214206
2022-01-05,2022-01-06,SZ000802,buy,3300,1.3661049927473066,4508.146476066112
2022-01-05,2022-01-06,SH600611,buy,8500,2.0141827237606047,17120.55315196514
2022-01-05,2022-01-06,SZ300103,buy,16900,1.0598049649000167,17910.703906810282
2022-01-05,2022-01-06,SH600735,buy,11500,2.8984076161384578,33331.68758559226
2022-01-05,2022-01-06,SZ002724,buy,7500,2.5212708501815793,18909.531376361843
2022-01-05,2022-01-06,SZ002423,buy,25600,0.8446487604379653,21623.008267211913
2022-01-05,2022-01-06,SH600717,buy,5700,6.036175313472747,34406.19928679466
2022-01-05,2022-01-06,SZ000541,buy,2100,5.139308043956756,10792.546892309188
2022-01-05,2022-01-06,SZ000800,buy,7900,3.7913981413841245,29952.045316934582
2022-01-05,2022-01-06,SH600015,buy,15200,3.790594344615936,57617.03403816222
2022-01-05,2022-01-06,SZ000089,buy,15700,2.204153216600418,34605.20550062656
2022-01-05,2022-01-06,SH600643,buy,13500,2.0932328424453734,28258.643373012543
2022-01-05,2022-01-06,SZ002618,buy,50200,0.4549166626036167,22836.816462701558
2022-01-05,2022-01-06,SZ000687,buy,22000,0.8397858854532241,18475.28947997093
