signal_date,execution_date,instrument,side,requested_shares
2022-01-05,2022-01-06,SH600601,buy,205100
2022-01-05,2022-01-06,SZ000752,buy,240200
2022-01-05,2022-01-06,SZ000502,buy,259900
2022-01-05,2022-01-06,SH600084,buy,104300
2022-01-05,2022-01-06,SH600836,buy,55800
2022-01-05,2022-01-06,SZ002634,buy,107900
2022-01-05,2022-01-06,SH600275,buy,470700
2022-01-05,2022-01-06,SH600679,buy,83200
2022-01-05,2022-01-06,SH600595,buy,86200
2022-01-05,2022-01-06,SZ002501,buy,583000
2022-01-05,2022-01-06,SH600766,buy,224600
2022-01-05,2022-01-06,SZ300312,buy,378500
2022-01-05,2022-01-06,SH600311,buy,474700
2022-01-05,2022-01-06,SZ002005,buy,262200
2022-01-05,2022-01-06,SZ000048,buy,171600
2022-01-05,2022-01-06,SZ002496,buy,313800
2022-01-05,2022-01-06,SH601069,buy,82700
2022-01-05,2022-01-06,SZ000971,buy,260200
2022-01-05,2022-01-06,SZ000802,buy,146500
2022-01-05,2022-01-06,SH600611,buy,99300
2022-01-05,2022-01-06,SZ300103,buy,188900
2022-01-05,2022-01-06,SH600735,buy,69000
2022-01-05,2022-01-06,SZ002724,buy,79400
2022-01-05,2022-01-06,SZ002423,buy,237000
2022-01-05,2022-01-06,SH600717,buy,33100
2022-01-05,2022-01-06,SZ000541,buy,38900
2022-01-05,2022-01-06,SZ000800,buy,52800
2022-01-05,2022-01-06,SH600015,buy,52800
2022-01-05,2022-01-06,SZ000089,buy,90800
2022-01-05,2022-01-06,SH600643,buy,95600
2022-01-05,2022-01-06,SZ002618,buy,440000
2022-01-05,2022-01-06,SZ000687,buy,238300
2022-01-05,2022-01-06,SZ002575,buy,198000
2022-01-05,2022-01-06,SH600881,buy,84000
2022-01-05,2022-01-06,SZ002200,buy,647200
2022-01-05,2022-01-06,SH600555,buy,719000
2022-01-05,2022-01-06,SZ000528,buy,19000
2022-01-05,2022-01-06,SH600666,buy,228800
2022-01-05,2022-01-06,SH600898,buy,157700
2022-01-05,2022-01-06,SZ000972,buy,321600
2022-01-05,2022-01-06,SH600278,buy,210300
2022-01-05,2022-01-06,SZ002499,buy,899400
2022-01-05,2022-01-06,SH600798,buy,126700
2022-01-05,2022-01-06,SH600020,buy,111600
2022-01-05,2022-01-06,SZ300284,buy,105900
2022-01-05,2022-01-06,SH600568,buy,291000
2022-01-05,2022-01-06,SH600694,buy,33400
2022-01-05,2022-01-06,SH600269,buy,83100
2022-01-05,2022-01-06,SH600152,buy,133600
2022-01-05,2022-01-06,SZ300356,buy,328100
2022-02-09,2022-02-10,SH600015,sell,15200
2022-02-09,2022-02-10,SH600020,sell,7100
2022-02-09,2022-02-10,SH600084,sell,3100
2022-02-09,2022-02-10,SH600152,sell,11900
2022-02-09,2022-02-10,SH600269,sell,8200
2022-02-09,2022-02-10,SH600275,sell,13500
2022-02-09,2022-02-10,SH600278,sell,33100
2022-02-09,2022-02-10,SH600311,sell,12400
2022-02-09,2022-02-10,SH600555,sell,49900
2022-02-09,2022-02-10,SH600568,sell,13100
2022-02-09,2022-02-10,SH600595,sell,13900
2022-02-09,2022-02-10,SH600601,sell,10000
2022-02-09,2022-02-10,SH600611,sell,8500
2022-02-09,2022-02-10,SH600643,sell,13500
2022-02-09,2022-02-10,SH600666,sell,7300
2022-02-09,2022-02-10,SH600679,sell,3200
2022-02-09,2022-02-10,SH600694,sell,3900
2022-02-09,2022-02-10,SH600717,sell,5700
2022-02-09,2022-02-10,SH600735,sell,11500
2022-02-09,2022-02-10,SH600766,sell,5700
2022-02-09,2022-02-10,SH600798,sell,15500
2022-02-09,2022-02-10,SH600881,sell,17800
2022-02-09,2022-02-10,SH600898,sell,4200
2022-02-09,2022-02-10,SH601069,sell,6200
2022-02-09,2022-02-10,SZ000048,sell,13900
2022-02-09,2022-02-10,SZ000089,sell,15700
2022-02-09,2022-02-10,SZ000502,sell,1400
2022-02-09,2022-02-10,SZ000528,sell,6500
2022-02-09,2022-02-10,SZ000752,sell,8800
2022-02-09,2022-02-10,SZ000800,sell,7900
2022-02-09,2022-02-10,SZ000802,sell,3300
2022-02-09,2022-02-10,SZ000971,sell,13300
2022-02-09,2022-02-10,SZ000972,sell,15000
2022-02-09,2022-02-10,SZ002005,sell,10900
2022-02-09,2022-02-10,SZ002200,sell,10200
2022-02-09,2022-02-10,SZ002423,sell,25600
2022-02-09,2022-02-10,SZ002496,sell,17800
2022-02-09,2022-02-10,SZ002499,sell,22000
2022-02-09,2022-02-10,SZ002575,sell,2300
2022-02-09,2022-02-10,SZ002618,sell,50200
2022-02-09,2022-02-10,SZ002634,sell,17000
2022-02-09,2022-02-10,SZ002724,sell,7500
2022-02-09,2022-02-10,SZ300103,sell,16900
2022-02-09,2022-02-10,SZ300284,sell,50900
2022-02-09,2022-02-10,SZ300312,sell,203600
2022-02-09,2022-02-10,SZ300089,buy,311400
2022-02-09,2022-02-10,SZ000687,buy,312500
2022-02-09,2022-02-10,SZ002776,buy,541000
2022-02-09,2022-02-10,SH603996,buy,1484100
2022-02-09,2022-02-10,SH600652,buy,489700
2022-02-09,2022-02-10,SH600112,buy,162800
2022-02-09,2022-02-10,SZ300105,buy,429800
2022-02-09,2022-02-10,SZ300367,buy,359800
2022-02-09,2022-02-10,SH600292,buy,161700
2022-02-09,2022-02-10,SH600532,buy,64300
2022-02-09,2022-02-10,SH600419,buy,145900
2022-02-09,2022-02-10,SH600146,buy,561800
2022-02-09,2022-02-10,SH600260,buy,321600
2022-02-09,2022-02-10,SZ002470,buy,476400
2022-02-09,2022-02-10,SZ300151,buy,34000
2022-02-09,2022-02-10,SH600836,buy,48800
2022-02-09,2022-02-10,SH600841,buy,80900
2022-02-09,2022-02-10,SZ000099,buy,129600
2022-02-09,2022-02-10,SZ000600,buy,141800
2022-02-09,2022-02-10,SZ300492,buy,26500
2022-02-09,2022-02-10,SZ002076,buy,342500
2022-02-09,2022-02-10,SZ002029,buy,41700
2022-02-09,2022-02-10,SZ000927,buy,213200
2022-02-09,2022-02-10,SZ300370,buy,308900
2022-02-09,2022-02-10,SZ002501,buy,674700
2022-02-09,2022-02-10,SH600203,buy,108000
2022-02-09,2022-02-10,SH600290,buy,337900
2022-02-09,2022-02-10,SZ002755,buy,101700
2022-02-09,2022-02-10,SH600251,buy,30000
2022-02-09,2022-02-10,SH600856,buy,364200
2022-02-09,2022-02-10,SZ000016,buy,84400
2022-02-09,2022-02-10,SH600400,buy,82100
2022-02-09,2022-02-10,SZ300486,buy,108300
2022-02-09,2022-02-10,SH600093,buy,304400
2022-02-09,2022-02-10,SZ002473,buy,350200
2022-02-09,2022-02-10,SZ300356,buy,321500
2022-02-09,2022-02-10,SZ002102,buy,67800
2022-02-09,2022-02-10,SH600624,buy,133600
2022-02-09,2022-02-10,SH600433,buy,75200
2022-02-09,2022-02-10,SH600305,buy,24100
2022-02-09,2022-02-10,SZ002698,buy,110400
2022-02-09,2022-02-10,SZ000541,buy,38700
2022-02-09,2022-02-10,SZ000911,buy,81000
2022-02-09,2022-02-10,SH603111,buy,147300
2022-02-09,2022-02-10,SZ002426,buy,297500
2022-02-09,2022-02-10,SH601368,buy,310800
2022-02-09,2022-02-10,SZ002320,buy,120500
2022-02-09,2022-02-10,SH603022,buy,135900
2022-02-09,2022-02-10,SZ000572,buy,101500
2022-02-09,2022-02-10,SZ002392,buy,264700
2022-03-09,2022-03-10,SH600093,sell,44600
2022-03-09,2022-03-10,SH600112,sell,28200
2022-03-09,2022-03-10,SH600146,sell,82600
2022-03-09,2022-03-10,SH600203,sell,8400
2022-03-09,2022-03-10,SH600251,sell,4400
2022-03-09,2022-03-10,SH600260,sell,109100
2022-03-09,2022-03-10,SH600278,sell,23100
2022-03-09,2022-03-10,SH600290,sell,19800
2022-03-09,2022-03-10,SH600292,sell,21800
2022-03-09,2022-03-10,SH600305,sell,9500
2022-03-09,2022-03-10,SH600311,sell,4100
2022-03-09,2022-03-10,SH600400,sell,4400
2022-03-09,2022-03-10,SH600433,sell,5500
2022-03-09,2022-03-10,SH600532,sell,3600
2022-03-09,2022-03-10,SH600595,sell,7900
2022-03-09,2022-03-10,SH600611,sell,4100
2022-03-09,2022-03-10,SH600652,sell,76200
2022-03-09,2022-03-10,SH600679,sell,1600
2022-03-09,2022-03-10,SH600836,sell,26400
2022-03-09,2022-03-10,SH600841,sell,3500
2022-03-09,2022-03-10,SH600881,sell,9000
2022-03-09,2022-03-10,SH600898,sell,1100
2022-03-09,2022-03-10,SH601368,sell,91100
2022-03-09,2022-03-10,SH603022,sell,2100
2022-03-09,2022-03-10,SH603111,sell,5200
2022-03-09,2022-03-10,SH603996,sell,67600
2022-03-09,2022-03-10,SZ000016,sell,6400
2022-03-09,2022-03-10,SZ000099,sell,12000
2022-03-09,2022-03-10,SZ000502,sell,400
2022-03-09,2022-03-10,SZ000528,sell,3100
2022-03-09,2022-03-10,SZ000541,sell,3200
2022-03-09,2022-03-10,SZ000572,sell,14000
2022-03-09,2022-03-10,SZ000600,sell,13100
2022-03-09,2022-03-10,SZ000687,sell,38700
2022-03-09,2022-03-10,SZ000752,sell,3500
2022-03-09,2022-03-10,SZ000802,sell,700
