api,parameters,status,row_count,columns,elapsed_seconds,error
balancesheet,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002099.SZ""}",accessible_nonempty,78,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag",0.182,
cashflow,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002099.SZ""}",accessible_nonempty,58,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag",0.097,
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""002099.SZ""}",accessible_nonempty,100,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.094,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002322.SZ""}",accessible_nonempty,63,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.086,
balancesheet,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002322.SZ""}",accessible_nonempty,80,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag",0.077,
cashflow,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002322.SZ""}",accessible_nonempty,59,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag",0.073,
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""002322.SZ""}",accessible_nonempty,100,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.066,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""601766.SH""}",accessible_nonempty,64,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.087,
balancesheet,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag"", ""start_date"": 20090101, ""ts_code"": ""601766.SH""}",accessible_nonempty,79,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag",0.089,
cashflow,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag"", ""start_date"": 20090101, ""ts_code"": ""601766.SH""}",accessible_nonempty,59,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag",0.088,
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""601766.SH""}",accessible_nonempty,100,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.084,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""601998.SH""}",accessible_nonempty,63,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.083,
balancesheet,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag"", ""start_date"": 20090101, ""ts_code"": ""601998.SH""}",accessible_nonempty,79,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag",0.085,
cashflow,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag"", ""start_date"": 20090101, ""ts_code"": ""601998.SH""}",accessible_nonempty,60,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag",0.07,
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""601998.SH""}",accessible_nonempty,100,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.072,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002449.SZ""}",accessible_nonempty,63,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.073,
balancesheet,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002449.SZ""}",accessible_nonempty,78,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag",0.073,
cashflow,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002449.SZ""}",accessible_nonempty,57,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag",0.092,
