ts_code,api,rows,report_periods,target_periods,period_coverage_ratio,duplicate_key_rows,revision_rows,row_cap_reached,report_type_count,median_announcement_delay_days,p95_announcement_delay_days
002024.SZ,income,60,52,32.0,1.0,16,12,False,1,59.5,109.0
002024.SZ,balancesheet,79,52,32.0,1.0,54,29,False,1,61.0,92.7999999999999
002024.SZ,cashflow,58,52,32.0,1.0,12,14,False,1,59.5,109.0
002024.SZ,fina_indicator,100,50,32.0,1.0,100,0,True,0,45.5,109.0
600022.SH,income,62,52,32.0,1.0,20,12,False,1,43.0,119.74999999999997
600022.SH,balancesheet,79,52,32.0,1.0,54,29,False,1,54.0,115.0
600022.SH,cashflow,58,52,32.0,1.0,12,13,False,1,35.0,102.35
600022.SH,fina_indicator,100,50,32.0,1.0,100,0,True,0,31.0,110.0
600345.SH,income,57,52,32.0,1.0,10,9,False,1,53.0,313.9999999999984
600345.SH,balancesheet,78,52,32.0,1.0,52,30,False,1,60.5,606.0
600345.SH,cashflow,58,52,32.0,1.0,12,11,False,1,54.5,120.0
600345.SH,fina_indicator,100,50,32.0,1.0,100,0,True,0,43.5,120.0
600444.SH,income,67,52,32.0,1.0,30,18,False,1,45.0,109.0
600444.SH,balancesheet,78,52,32.0,1.0,52,29,False,1,50.0,110.04999999999994
600444.SH,cashflow,57,52,32.0,1.0,10,19,False,1,45.0,107.39999999999999
600444.SH,fina_indicator,100,50,32.0,1.0,100,0,True,0,36.5,109.0
002099.SZ,income,62,52,32.0,1.0,20,12,False,1,29.0,114.79999999999998
002099.SZ,balancesheet,78,52,32.0,1.0,52,29,False,1,30.0,115.0
002099.SZ,cashflow,58,52,32.0,1.0,12,13,False,1,29.0,115.0
002099.SZ,fina_indicator,100,50,32.0,1.0,100,0,True,0,29.0,115.0
002322.SZ,income,63,55,32.0,1.0,16,11,False,1,52.0,380.8999999999999
002322.SZ,balancesheet,80,53,32.0,1.0,54,31,False,1,53.0,335.0
002322.SZ,cashflow,59,55,32.0,1.0,8,13,False,1,53.0,391.6999999999997
002322.SZ,fina_indicator,100,50,32.0,1.0,100,0,True,0,46.0,115.0
601766.SH,income,64,53,32.0,1.0,22,13,False,1,39.5,91.0
601766.SH,balancesheet,79,52,32.0,1.0,54,28,False,1,54.0,93.19999999999987
601766.SH,cashflow,59,53,32.0,1.0,12,14,False,1,52.0,93.19999999999987
601766.SH,fina_indicator,100,50,32.0,1.0,100,0,True,0,34.0,91.0
601998.SH,income,63,52,32.0,1.0,22,13,False,1,56.0,90.69999999999999
601998.SH,balancesheet,79,52,32.0,1.0,54,31,False,1,57.0,93.79999999999984
601998.SH,cashflow,60,52,32.0,1.0,16,13,False,1,56.5,91.0
601998.SH,fina_indicator,100,50,32.0,1.0,100,0,True,0,36.5,91.0
002449.SZ,income,63,53,30.0,1.0,20,12,False,1,46.0,405.59999999999997
002449.SZ,balancesheet,78,50,30.0,1.0,56,30,False,1,47.5,230.74999999999687
002449.SZ,cashflow,57,53,30.0,1.0,8,13,False,1,47.0,420.59999999999974
002449.SZ,fina_indicator,100,50,30.0,1.0,100,0,True,0,43.5,110.0
002679.SZ,income,55,45,23.0,1.0,20,12,False,1,56.0,417.69999999999993
002679.SZ,balancesheet,66,42,23.0,1.0,48,26,False,1,58.0,405.75
002679.SZ,cashflow,52,45,23.0,1.0,14,13,False,1,58.0,420.5499999999999
002679.SZ,fina_indicator,86,43,23.0,1.0,86,0,False,0,53.0,132.0
002733.SZ,income,43,35,13.0,1.0,16,11,False,1,49.0,407.79999999999995
002733.SZ,balancesheet,51,33,13.0,1.0,36,21,False,1,56.0,683.0
002733.SZ,cashflow,39,35,13.0,1.0,8,13,False,1,56.0,437.3000000000004
002733.SZ,fina_indicator,68,34,13.0,1.0,68,0,False,0,49.0,555.2499999999995
603588.SH,income,42,35,13.0,1.0,14,10,False,1,49.0,448.89999999999975
603588.SH,balancesheet,50,33,13.0,1.0,34,22,False,1,60.0,710.0
603588.SH,cashflow,39,35,13.0,1.0,8,13,False,1,50.0,477.80000000000035
603588.SH,fina_indicator,68,34,13.0,1.0,68,0,False,0,49.5,582.2499999999995
300443.SZ,income,42,34,11.0,1.0,16,12,False,1,31.0,454.5499999999997
300443.SZ,balancesheet,50,32,11.0,1.0,36,20,False,1,40.0,823.0
300443.SZ,cashflow,37,33,11.0,1.0,8,13,False,1,31.0,530.9999999999984
300443.SZ,fina_indicator,66,33,11.0,1.0,66,0,False,0,31.0,731.75
300507.SZ,income,42,33,7.0,1.0,18,12,False,1,58.0,831.3499999999999
300507.SZ,balancesheet,48,30,7.0,1.0,36,23,False,1,70.5,860.0
300507.SZ,cashflow,39,33,7.0,1.0,12,13,False,1,59.0,834.8000000000001
300507.SZ,fina_indicator,62,31,7.0,1.0,62,0,False,0,57.0,858.5999999999999
603779.SH,income,38,31,7.0,1.0,14,10,False,1,59.0,846.75
603779.SH,balancesheet,46,28,7.0,1.0,36,20,False,1,60.0,851.0
603779.SH,cashflow,37,31,7.0,1.0,12,13,False,1,59.0,847.0
603779.SH,fina_indicator,58,29,7.0,1.0,58,0,False,0,59.0,851.0
603989.SH,income,45,36,11.0,1.0,18,12,False,1,53.0,799.3999999999993
603989.SH,balancesheet,53,33,11.0,1.0,40,24,False,1,61.0,912.0
603989.SH,cashflow,40,36,11.0,1.0,8,13,False,1,56.0,850.2499999999998
603989.SH,fina_indicator,70,35,11.0,1.0,70,0,False,0,53.0,882.7499999999998
300838.SZ,income,31,25,0.0,,12,11,False,1,90.0,931.0
300838.SZ,balancesheet,27,22,0.0,,10,20,False,1,66.0,955.8
