date,qlib_active_count,stock_basic_active_count,intersection_count,qlib_only_count,stock_basic_only_count,intersection_ratio_qlib,intersection_ratio_stock_basic
2010-01-04,1701,1518,1518,183,0,0.892416225749559,1.0
2011-01-04,2047,1840,1839,208,1,0.8983878847093307,0.9994565217391305
2012-01-04,2323,2104,2100,223,4,0.9040034438226431,0.9980988593155894
2013-01-04,2475,2246,2241,234,5,0.9054545454545454,0.9977738201246661
2014-01-02,2477,2248,2247,230,1,0.9071457408155026,0.9995551601423488
2015-01-05,2600,2365,2364,236,1,0.9092307692307692,0.9995771670190274
2016-01-04,2817,2579,2578,239,1,0.9151579694710685,0.9996122528111672
2017-01-03,3045,2806,2805,240,1,0.9211822660098522,0.9996436208125445
2018-01-02,3476,3235,3234,242,1,0.930379746835443,0.9996908809891808
2019-01-02,3573,3338,3337,236,1,0.9339490624125385,0.9997004194128221
2020-01-02,3766,3540,3539,227,1,0.9397238449283059,0.9997175141242938
2021-01-04,4145,3973,3934,211,39,0.9490952955367913,0.990183740246665
