instrument,rows,date_start,date_end,positive_factor_ratio,factor_nonnull_ratio,factor_change_events,duplicate_date_rows,daily_adj_overlap_ratio
SH600022,4261,2004-06-29,2021-12-31,1.0,1.0,12,0,1.0
SH600345,5099,2000-12-22,2021-12-31,1.0,1.0,25,0,1.0
SH600444,4349,2004-02-19,2021-12-31,1.0,1.0,10,0,1.0
SH601766,3253,2008-08-18,2021-12-31,1.0,1.0,17,0,1.0
SH601998,3573,2007-04-27,2021-12-31,1.0,1.0,17,0,1.0
SZ000552,5332,2000-01-04,2021-12-31,1.0,1.0,18,0,1.0
SZ000605,5332,2000-01-04,2021-12-31,1.0,1.0,12,0,1.0
SZ000815,5332,2000-01-04,2021-12-31,1.0,1.0,12,0,1.0
SZ002024,4245,2004-07-21,2021-12-31,1.0,1.0,22,0,1.0
SZ002099,3653,2006-12-26,2021-12-31,1.0,1.0,17,0,1.0
SZ002322,2927,2009-12-18,2021-12-31,1.0,1.0,18,0,1.0
SZ002449,2788,2010-07-16,2021-12-31,1.0,1.0,14,0,1.0
