trade_date,layer,active_canary_count,observed_count,aligned_count,missing_count,unexpected_count,coverage_ratio
2019-01-02,daily_basic,3338,3555,3332,6,223,0.9982025164769323
2019-04-01,daily_basic,3371,3571,3350,21,221,0.993770394541679
2019-07-01,daily_basic,3404,3612,3394,10,218,0.9970622796709753
2019-10-08,daily_basic,3467,3668,3454,13,214,0.9962503605422556
2020-01-02,daily_basic,3540,3741,3530,10,211,0.9971751412429378
2020-04-01,daily_basic,3590,3792,3582,8,210,0.9977715877437325
2020-07-01,daily_basic,3659,3847,3646,13,201,0.9964471166985516
2020-10-09,daily_basic,3862,4020,3825,37,195,0.9904194717762818
2021-01-04,daily_basic,3973,4122,3930,43,192,0.9891769443745281
2021-04-01,daily_basic,4083,4222,4030,53,192,0.9870193485182464
2021-07-01,daily_basic,4231,4362,4172,59,190,0.9860553060742141
2021-10-08,daily_basic,4368,4484,4297,71,187,0.9837454212454212
2010-01-04,moneyflow,1518,834,742,776,92,0.4888010540184453
2010-04-01,moneyflow,1605,1723,1554,51,169,0.9682242990654205
2010-07-01,moneyflow,1683,1805,1630,53,175,0.9685086155674391
2010-10-08,moneyflow,1759,1874,1693,66,181,0.9624786810687891
2011-01-04,moneyflow,1840,1967,1776,64,191,0.9652173913043478
2011-04-01,moneyflow,1926,2021,1832,94,189,0.9511941848390446
2011-07-01,moneyflow,2000,2106,1910,90,196,0.955
2011-10-10,moneyflow,2060,2161,1968,92,193,0.9553398058252427
2012-01-04,moneyflow,2104,2225,2028,76,197,0.9638783269961977
2012-04-05,moneyflow,2152,2249,2050,102,199,0.9526022304832714
2012-07-02,moneyflow,2201,2349,2138,63,211,0.9713766469786461
2012-10-08,moneyflow,2242,2397,2182,60,215,0.9732381801962533
2013-01-04,moneyflow,2246,2403,2183,63,220,0.9719501335707925
2013-04-01,moneyflow,2246,2397,2181,65,216,0.9710596616206589
2013-07-01,moneyflow,2246,2371,2159,87,212,0.9612644701691897
2013-10-08,moneyflow,2247,2365,2159,88,206,0.960836671117045
2014-01-02,moneyflow,2248,2351,2148,100,203,0.9555160142348754
2014-04-01,moneyflow,2290,2340,2139,151,201,0.9340611353711791
2014-07-01,moneyflow,2295,2306,2100,195,206,0.9150326797385621
2014-10-08,moneyflow,2321,2315,2125,196,190,0.9155536406721241
2015-01-05,moneyflow,2365,2339,2148,217,191,0.908245243128964
2015-04-01,moneyflow,2433,2338,2157,276,181,0.8865598027127004
2015-07-01,moneyflow,2550,2342,2164,386,178,0.8486274509803922
2015-10-08,moneyflow,2552,2344,2178,374,166,0.853448275862069
2016-01-04,moneyflow,2579,2546,2352,227,194,0.911981388134936
