outer_split_id,batch_id,path,declared_sha256,factor_count,factors,runtime_sha256,runtime_hash_match
split_001,alpha158_001,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_001.parquet,ebfe02588ebe3027938c44a5fb5fa799674930be4273dd0eb20d9926e1e76b74,6,alpha158_CNTD30|alpha158_CNTP60|alpha158_KLEN|alpha158_KLOW|alpha158_KMID|alpha158_KUP,ebfe02588ebe3027938c44a5fb5fa799674930be4273dd0eb20d9926e1e76b74,True
split_001,alpha158_002,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_002.parquet,b874d2b7d2965e491f0ace16f523f467ae047a4f164769b4c0420fad05424080,9,alpha158_CORD10|alpha158_CORD20|alpha158_CORD5|alpha158_CORD60|alpha158_CORR10|alpha158_CORR20|alpha158_CORR5|alpha158_HIGH0|alpha158_LOW0,b874d2b7d2965e491f0ace16f523f467ae047a4f164769b4c0420fad05424080,True
split_001,alpha158_003,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_003.parquet,bd5616ba8258cf0718b2c967f90b18e5eac1ce01e73463c438ea96e663f4926c,3,alpha158_BETA10|alpha158_BETA5|alpha158_IMIN20,bd5616ba8258cf0718b2c967f90b18e5eac1ce01e73463c438ea96e663f4926c,True
split_001,alpha158_004,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_004.parquet,3adac2bb1f377c010b5683733285fe611a9cda84b0a796d5b6cf68ddb07aedb8,3,alpha158_MAX5|alpha158_MIN10|alpha158_QTLD60,3adac2bb1f377c010b5683733285fe611a9cda84b0a796d5b6cf68ddb07aedb8,True
split_001,alpha158_005,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_005.parquet,f543071ebf7795cbd9e71d2208da735a870382f744177b7485803c31d9467efd,1,alpha158_RSQR30,f543071ebf7795cbd9e71d2208da735a870382f744177b7485803c31d9467efd,True
split_001,alpha158_006,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_006.parquet,7cbb1aa4549f81dccfe363106167ba54bb10a328116d17eca3211e25c5490ae5,3,alpha158_VMA30|alpha158_VMA60|alpha158_VSUMD60,7cbb1aa4549f81dccfe363106167ba54bb10a328116d17eca3211e25c5490ae5,True
split_001,alpha360_005,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_005.parquet,da3e5a6df55033c0e4439fe8add7047215c7ae15ed9be86f8071a7a7a2a38426,1,alpha360_LOW1,da3e5a6df55033c0e4439fe8add7047215c7ae15ed9be86f8071a7a7a2a38426,True
split_001,alpha360_010,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_010.parquet,b3d77a9d139b0ef5501c48d7722d5bc281d8936da80d29a0083067c526947194,1,alpha360_VOLUME13,b3d77a9d139b0ef5501c48d7722d5bc281d8936da80d29a0083067c526947194,True
split_001,ta_002,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/ta_002.parquet,9bcc7479514c24651e7bfff875e07ae55db79de9f6111ec33e6f9f6bf364d91a,1,ta_trend_mass_index,9bcc7479514c24651e7bfff875e07ae55db79de9f6111ec33e6f9f6bf364d91a,True
split_001,ta_003,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/ta_003.parquet,3cfa3b82a7f3ad8480dbe8465f2c200420e20e72ff4cf64611eb383b56f558a2,2,ta_volatility_bbhi|ta_volume_cmf,3cfa3b82a7f3ad8480dbe8465f2c200420e20e72ff4cf64611eb383b56f558a2,True
split_001,ta_004,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/ta_004.parquet,bad64c946eaa94688ef68699b655bba352cdccef2cc30642b2d037031af72f7c,1,ta_volume_sma_em,bad64c946eaa94688ef68699b655bba352cdccef2cc30642b2d037031af72f7c,True
split_001,alpha101_001,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha101_001.parquet,cc35ac5ce4b7ef717f7c4543bb8acc8644c9c4210f8cb2755e491895d6e008ec,6,kunquant_alpha101_alpha003|kunquant_alpha101_alpha011|kunquant_alpha101_alpha012|kunquant_alpha101_alpha013|kunquant_alpha101_alpha020|kunquant_alpha101_alpha029,cc35ac5ce4b7ef717f7c4543bb8acc8644c9c4210f8cb2755e491895d6e008ec,True
split_001,alpha101_002,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha101_002.parquet,1b363f0af8f7f7b6fedb97a5c2fdb5cd164e7a8faa684dd1893270596384a1d0,4,kunquant_alpha101_alpha034|kunquant_alpha101_alpha050|kunquant_alpha101_alpha055|kunquant_alpha101_alpha062,1b363f0af8f7f7b6fedb97a5c2fdb5cd164e7a8faa684dd1893270596384a1d0,True
split_001,alpha101_003,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha101_003.parquet,3a230efed79d298677c55b1398194fe49f71df87278c9c55c7049b77c78a094a,1,kunquant_alpha101_alpha094,3a230efed79d298677c55b1398194fe49f71df87278c9c55c7049b77c78a094a,True
split_001,project_basic_001,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/project_basic_001.parquet,150ee624075e85074162c87fc0eba195889391549a4890bd5b9198cb93948742,3,amount_cv_20|amount_std_20|corr_ret_amount_20,150ee624075e85074162c87fc0eba195889391549a4890bd5b9198cb93948742,True
