catalog_id,name,registry_name,category,stage,enabled,runnable,expected_direction,source_project,source_file,source_function,source_commit,license,compute_adapter,required_fields,labels,notes
alpha158_full_runnable_catalog,alpha158_MA10,alpha158_MA10,alpha158_rolling_price,alpha158_first20_v4_smoke_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Mean($close, 10)/$close"
alpha158_full_runnable_catalog,alpha158_MA20,alpha158_MA20,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Mean($close, 20)/$close"
alpha158_full_runnable_catalog,alpha158_MA30,alpha158_MA30,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Mean($close, 30)/$close"
alpha158_full_runnable_catalog,alpha158_MA60,alpha158_MA60,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Mean($close, 60)/$close"
alpha158_full_runnable_catalog,alpha158_STD5,alpha158_STD5,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Std($close, 5)/$close"
alpha158_full_runnable_catalog,alpha158_STD10,alpha158_STD10,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Std($close, 10)/$close"
alpha158_full_runnable_catalog,alpha158_STD20,alpha158_STD20,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Std($close, 20)/$close"
alpha158_full_runnable_catalog,alpha158_STD30,alpha158_STD30,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Std($close, 30)/$close"
alpha158_full_runnable_catalog,alpha158_STD60,alpha158_STD60,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Std($close, 60)/$close"
alpha158_full_runnable_catalog,alpha158_BETA5,alpha158_BETA5,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Slope($close, 5)/$close"
alpha158_full_runnable_catalog,alpha158_BETA10,alpha158_BETA10,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Slope($close, 10)/$close"
alpha158_full_runnable_catalog,alpha158_BETA20,alpha158_BETA20,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Slope($close, 20)/$close"
