check_name,status,observed_value,required_value,severity,reason
eligible_factor_count,blocked,0,>0,critical,blocked_no_eligible_factors
clustering_status,blocked,blocked_no_eligible_factors,pass,critical,No factor passes hardened stability eligibility.
