instrument,factor,start,end,warmup_start,rows,raw_gap_rows,masked_gap_rows,gap_dates,canonical_finite,recomputed_finite,mismatches,interpretation
SH600000,ta_volatility_atr,2013-01-01,2013-12-31,2011-10-13,238,1,1,"[""2012-06-13""]",0,0,0,bounded_recursion_and_mask_replay_not_global_attribution
SH600000,ta_trend_adx_pos,2013-01-01,2013-12-31,2011-10-13,238,1,1,"[""2012-06-13""]",0,0,0,bounded_recursion_and_mask_replay_not_global_attribution
SH600000,ta_trend_adx_neg,2013-01-01,2013-12-31,2011-10-13,238,1,1,"[""2012-06-13""]",0,0,0,bounded_recursion_and_mask_replay_not_global_attribution
SH600004,ta_volatility_atr,2013-01-01,2013-12-31,2011-10-13,238,1,1,"[""2012-06-25""]",0,0,0,bounded_recursion_and_mask_replay_not_global_attribution
SH600004,ta_trend_adx_pos,2013-01-01,2013-12-31,2011-10-13,238,1,1,"[""2012-06-25""]",0,0,0,bounded_recursion_and_mask_replay_not_global_attribution
SH600004,ta_trend_adx_neg,2013-01-01,2013-12-31,2011-10-13,238,1,1,"[""2012-06-25""]",0,0,0,bounded_recursion_and_mask_replay_not_global_attribution
SZ300087,ta_volatility_atr,2013-01-01,2013-12-31,2011-10-13,238,16,16,"[""2011-10-25"", ""2013-12-11"", ""2013-12-12"", ""2013-12-13"", ""2013-12-16"", ""2013-12-17"", ""2013-12-18"", ""2013-12-19"", ""2013-12-20"", ""2013-12-23"", ""2013-12-24"", ""2013-12-25"", ""2013-12-26"", ""2013-12-27"", ""2013-12-30"", ""2013-12-31""]",223,223,0,bounded_recursion_and_mask_replay_not_global_attribution
SZ300087,ta_trend_adx_pos,2013-01-01,2013-12-31,2011-10-13,238,16,16,"[""2011-10-25"", ""2013-12-11"", ""2013-12-12"", ""2013-12-13"", ""2013-12-16"", ""2013-12-17"", ""2013-12-18"", ""2013-12-19"", ""2013-12-20"", ""2013-12-23"", ""2013-12-24"", ""2013-12-25"", ""2013-12-26"", ""2013-12-27"", ""2013-12-30"", ""2013-12-31""]",223,223,0,bounded_recursion_and_mask_replay_not_global_attribution
SZ300087,ta_trend_adx_neg,2013-01-01,2013-12-31,2011-10-13,238,16,16,"[""2011-10-25"", ""2013-12-11"", ""2013-12-12"", ""2013-12-13"", ""2013-12-16"", ""2013-12-17"", ""2013-12-18"", ""2013-12-19"", ""2013-12-20"", ""2013-12-23"", ""2013-12-24"", ""2013-12-25"", ""2013-12-26"", ""2013-12-27"", ""2013-12-30"", ""2013-12-31""]",223,223,0,bounded_recursion_and_mask_replay_not_global_attribution
