factor_a,factor_b,relation,strict_stable,all_views_comparable,A_comparable,A_valid_dates,A_valid_date_fraction,A_q10_n_common,A_q10_common_coverage,A_median_abs_rho,A_q10_abs_rho,A_median_signed_rho,A_dominant_sign,A_sign_consistency,B_comparable,B_valid_dates,B_valid_date_fraction,B_q10_n_common,B_q10_common_coverage,B_median_abs_rho,B_q10_abs_rho,B_median_signed_rho,B_dominant_sign,B_sign_consistency,C_comparable,C_valid_dates,C_valid_date_fraction,C_q10_n_common,C_q10_common_coverage,C_median_abs_rho,C_q10_abs_rho,C_median_signed_rho,C_dominant_sign,C_sign_consistency,D_comparable,D_valid_dates,D_valid_date_fraction,D_q10_n_common,D_q10_common_coverage,D_median_abs_rho,D_q10_abs_rho,D_median_signed_rho,D_dominant_sign,D_sign_consistency,Full_comparable,Full_valid_dates,Full_valid_date_fraction,Full_q10_n_common,Full_q10_common_coverage,Full_median_abs_rho,Full_q10_abs_rho,Full_median_signed_rho,Full_dominant_sign,Full_sign_consistency,level
corr_ret_amount_20,corr_ret_volume_20,no_stable_redundancy,False,True,True,1193,1.0,1067.0,0.6216172325432415,0.9977805539694796,0.9940744763651119,0.9977805539694796,1.0,1.0,True,732,1.0,1555.1,0.77755,0.997320680030392,0.9746051100735178,0.997320680030392,1.0,1.0,True,730,1.0,1791.0,0.8955,0.9968479673334114,0.9917863499670724,0.9968479673334114,1.0,1.0,True,727,1.0,1974.0,0.987,0.9965965996952989,0.9938153667816211,0.9965965996952989,1.0,1.0,True,3382,1.0,1292.1,0.7423622448979592,0.9972308742201219,0.9916516222433339,0.9972308742201219,1.0,1.0,0.995
ta_momentum_kama,ta_trend_ema_fast,stable_redundancy,True,True,True,1193,1.0,1342.0,0.7909706740693287,0.9994266533321818,0.998939517062438,0.9994266533321818,1.0,1.0,True,732,1.0,1672.1,0.83605,0.9994842868099494,0.9977007965694189,0.9994842868099494,1.0,1.0,True,730,1.0,1862.9,0.93145,0.9995985291130736,0.9992601157990197,0.9995985291130736,1.0,1.0,True,727,1.0,1985.0,0.9929964982491246,0.9997378779060396,0.9996190855860309,0.9997378779060396,1.0,1.0,True,3382,1.0,1504.1,0.8425649950569626,0.9995674437077033,0.9989241797795612,0.9995674437077033,1.0,1.0,0.995
ta_trend_ema_fast,ta_trend_ichimoku_conv,stable_redundancy,True,True,True,1193,1.0,1391.0,0.82316491608013,0.9998248027387999,0.9997397471371781,0.9998248027387999,1.0,1.0,True,732,1.0,1660.1,0.8304652326163082,0.9997754517948576,0.9995450518196866,0.9997754517948576,1.0,1.0,True,730,1.0,1855.0,0.9275,0.9997717228609456,0.999654078026436,0.9997717228609456,1.0,1.0,True,727,1.0,1987.0,0.9939969984992496,0.999826545821366,0.99975116177919,0.999826545821366,1.0,1.0,True,3382,1.0,1545.2,0.8569740384615385,0.9998061144662675,0.9996765304979129,0.9998061144662675,1.0,1.0,0.995
ta_trend_ema_slow,ta_trend_ichimoku_b,regime_dependent,False,True,True,1193,1.0,1552.0,0.973,0.9986509482203071,0.9978521967477235,0.9986509482203071,1.0,1.0,True,732,1.0,1909.0,0.9545,0.9980750714460724,0.994000759561202,0.9980750714460724,1.0,1.0,True,730,1.0,1923.9,0.96195,0.9979703355558414,0.9967323808815305,0.9979703355558414,1.0,1.0,True,727,1.0,1999.0,1.0,0.9983560677227491,0.9973241107806258,0.9983560677227491,1.0,1.0,True,3382,1.0,1815.0,0.964,0.9983399038006189,0.9969923593185945,0.9983399038006189,1.0,1.0,0.995
ta_trend_ichimoku_a,ta_trend_ichimoku_b,regime_dependent,False,True,True,1193,1.0,956.0,0.529469779360279,0.9979708749465627,0.9969322597936119,0.9979708749465627,1.0,1.0,True,732,1.0,1494.3,0.74715,0.9974359405812518,0.9937961775787599,0.9974359405812518,1.0,1.0,True,730,1.0,1771.0,0.8855,0.99715948661222,0.9956741841960723,0.99715948661222,1.0,1.0,True,727,1.0,1969.0,0.9845,0.9975933578779841,0.9962260353725507,0.9975933578779841,1.0,1.0,True,3382,1.0,1199.0,0.6960740315666598,0.9976361620996623,0.9960155484180275,0.9976361620996623,1.0,1.0,0.995
ta_trend_ichimoku_b,ta_trend_ichimoku_base,regime_dependent,False,True,True,1193,1.0,956.0,0.529469779360279,0.9985695215982205,0.9976255914957979,0.9985695215982205,1.0,1.0,True,732,1.0,1494.3,0.74715,0.9981688213520667,0.9949100909612848,0.9981688213520667,1.0,1.0,True,730,1.0,1771.0,0.8855,0.997871947611271,0.9965504317412784,0.997871947611271,1.0,1.0,True,727,1.0,1969.0,0.9845,0.9982180855752522,0.9971653580102658,0.9982180855752522,1.0,1.0,True,3382,1.0,1199.0,0.6960740315666598,0.9982913789502621,0.996977702522822,0.9982913789502621,1.0,1.0,0.995
ta_trend_ichimoku_b,ta_trend_sma_slow,regime_dependent,False,True,True,1193,1.0,956.0,0.529469779360279,0.9984398682173338,0.9974863682674573,0.9984398682173338,1.0,1.0,True,732,1.0,1494.3,0.74715,0.9978082273584385,0.9946418071442008,0.9978082273584385,1.0,1.0,True,730,1.0,1771.0,0.8855,0.9977311262881494,0.9964134772774199,0.9977311262881494,1.0,1.0,True,727,1.0,1969.0,0.9845,0.9981469029220174,0.9969187134047364,0.9981469029220174,1.0,1.0,True,3382,1.0,1199.0,0.6960740315666598,0.9980966187989636,0.9966751901527484,0.9980966187989636,1.0,1.0,0.995
ta_volatility_bbh,ta_volatility_kch,stable_redundancy,True,True,True,1193,1.0,1084.6,0.6387322941134601,0.9991543357302626,0.9974141583981225,0.9991543357302626,1.0,1.0,True,732,1.0,1564.1,0.78205,0.9989985218906277,0.9957863219497856,0.9989985218906277,1.0,1.0,True,730,1.0,1794.9,0.89745,0.9985257668416015,0.9966667529156609,0.9985257668416015,1.0,1.0,True,727,1.0,1974.0,0.9874937468734367,0.9989170711188607,0.9977677967723131,0.9989170711188607,1.0,1.0,True,3382,1.0,1311.0,0.75,0.9989369881727836,0.9968657222622989,0.9989369881727836,1.0,1.0,0.995
ta_volatility_bbm,ta_volatility_dcl,stable_redundancy,True,True,True,1193,1.0,1084.6,0.6387322941134601,0.9987425782486629,0.9977728184497003,0.9987425782486629,1.0,1.0,True,732,1.0,1564.1,0.78205,0.9982548190379208,0.9957616608250269,0.9982548190379208,1.0,1.0,True,730,1.0,1794.9,0.89745,0.9984126576927702,0.9973999582324,0.9984126576927702,1.0,1.0,True,727,1.0,1974.0,0.9874937468734367,0.9986639285099977,0.9979930971578023,0.9986639285099977,1.0,1.0,True,3382,1.0,1311.0,0.75,0.9985673175574212,0.9973866371114538,0.9985673175574212,1.0,1.0,0.995
ta_volatility_bbm,ta_volatility_dcm,stable_redundancy,True,True,True,1193,1.0,1084.6,0.6387322941134601,0.9997288785280664,0.9995766153853519,0.9997288785280664,1.0,1.0,True,732,1.0,1564.1,0.78205,0.9996351020153049,0.9991489314010275,0.9996351020153049,1.0,1.0,True,730,1.0,1794.9,0.89745,0.9996384759996373,0.9994105804505161,0.9996384759996373,1.0,1.0,True,727,1.0,1974.0,0.9874937468734367,0.9997156610093537,0.9996029932714843,0.9997156610093537,1.0,1.0,True,3382,1.0,1311.0,0.75,0.9996911471646748,0.9994557206592136,0.9996911471646748,1.0,1.0,0.995
