outer_split_id,development_start,development_end,outer_test_start,outer_test_end,allowed_date_count,allowed_dates_sha256,factor_count,allowlist_sha256,feature_order_sha256,stability_artifact_id,clustering_artifact_id,development_split_artifact_id,holdout_clean
split_001,2021-02-01,2024-06-03,2024-08-01,2025-01-27,765,1c374814f32cd3f87c404ad09942788eaee0c5ac8fc2a69e54f8f9c19f9f5205,45,b33e0cb90f8d90be2486d432f39a00bdbbbe3c94d4ee18b1b60ea350dd7fe74b,ade36d845508b7e14d4beb85864a0da273198e200266bde1496603a9e11a5d2d,factor_rolling_stability_v2:8d49e0c1e6c251848e739291bf4522fdb885a288d75589d24fa7743e9bf63608,factor_clustering_v2:11145476650ea7602b0598d66cac5721390ad193defa245fa4a72d0951689e86,development_robustness_split_v1:2cb5b7a7286450235c1215b8f3c4876dec02f27a44ea4a3d7b9674df5191586b,True
split_002,2021-02-01,2024-11-28,2025-02-05,2025-08-04,885,15f0a51f7fa9ea1b886b896f75bf7afd58ed8ccdffa7d21a2922c5fdc7a2f285,46,6a3bcf128d2a791f9e2e741d1983597c4814810e533a9ca5107b2076a4d01434,a37bb536433bfbee87f4b29a74090395db6c4891f2b319a035157ca2e0b83513,factor_rolling_stability_v2:8d49e0c1e6c251848e739291bf4522fdb885a288d75589d24fa7743e9bf63608,factor_clustering_v2:11145476650ea7602b0598d66cac5721390ad193defa245fa4a72d0951689e86,development_robustness_split_v1:2cb5b7a7286450235c1215b8f3c4876dec02f27a44ea4a3d7b9674df5191586b,True
split_003,2021-02-01,2025-06-06,2025-08-05,2026-02-04,1009,adf82cb775ccc74912946f39889346e3701f80ea3c706ddf248221100d9d6d6a,52,85470aa9f42ddd4970f849b32208d3f0d0ee13587f5ab45aa55c88f509db1f5c,544ee7b8f7464d5fb43c3638dfdca7ac25f2cc654b951b4c9b817499bfdd3f71,factor_rolling_stability_v2:8d49e0c1e6c251848e739291bf4522fdb885a288d75589d24fa7743e9bf63608,factor_clustering_v2:11145476650ea7602b0598d66cac5721390ad193defa245fa4a72d0951689e86,development_robustness_split_v1:2cb5b7a7286450235c1215b8f3c4876dec02f27a44ea4a3d7b9674df5191586b,True
