datetime,label_count,evidence_class,prospective_evidence_eligible,reason,label_mature
2026-05-22,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-05-25,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-05-26,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-05-27,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-05-28,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-05-29,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-06-01,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-06-02,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-06-03,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-06-04,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-06-05,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-06-08,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
2026-06-09,0,retrospective_extension_quarantine,False,available_before_forward_protocol_freeze,False
