outer_split_id,development_start,development_end,outer_test_start,outer_test_end,allowed_date_count,allowed_dates_sha256,factor_count,allowlist_sha256,feature_order_sha256,stability_artifact_id,clustering_artifact_id,development_split_artifact_id,holdout_clean
split_001,2021-02-01,2024-06-03,2024-08-01,2025-01-27,765,1c374814f32cd3f87c404ad09942788eaee0c5ac8fc2a69e54f8f9c19f9f5205,48,87b636d998d2efd7ad11d248fca6cfe6a5325b352c84bc15c295331767db4ae5,51c3c47b2cdc377398353120ec52430081f5017d6aae6b248493cf7f9c530b16,factor_rolling_stability_v1:287ba56893bed56f32e0bd11b8dc2624bb11b236e33b44bde7a834462823ccdb,factor_clustering_v1:10cbf85ad60149fd8c91940fafa1390bd38a947f7dc0ca4fb245f250cf9361d3,development_robustness_split_v1:2cb5b7a7286450235c1215b8f3c4876dec02f27a44ea4a3d7b9674df5191586b,True
split_002,2021-02-01,2024-11-28,2025-02-05,2025-08-04,885,15f0a51f7fa9ea1b886b896f75bf7afd58ed8ccdffa7d21a2922c5fdc7a2f285,46,a0ee01846f1f5887f0b23a72f8203cabc04a75b49342da7910eddd8b3fc04183,a42dbdf293decad0b74a4935a50f69173fd421c2551233d50133fcaac4718fe5,factor_rolling_stability_v1:287ba56893bed56f32e0bd11b8dc2624bb11b236e33b44bde7a834462823ccdb,factor_clustering_v1:10cbf85ad60149fd8c91940fafa1390bd38a947f7dc0ca4fb245f250cf9361d3,development_robustness_split_v1:2cb5b7a7286450235c1215b8f3c4876dec02f27a44ea4a3d7b9674df5191586b,True
split_003,2021-02-01,2025-06-06,2025-08-05,2026-02-04,1009,adf82cb775ccc74912946f39889346e3701f80ea3c706ddf248221100d9d6d6a,54,348b7f29e0eb0aa7d092e7cbe5386eee3a843883d7aefa3a772ad6cec54d1120,55b4be2df6469308d4efb95f5d9ae5106c8787121f1bc0e837893bbfbdf0b3dd,factor_rolling_stability_v1:287ba56893bed56f32e0bd11b8dc2624bb11b236e33b44bde7a834462823ccdb,factor_clustering_v1:10cbf85ad60149fd8c91940fafa1390bd38a947f7dc0ca4fb245f250cf9361d3,development_robustness_split_v1:2cb5b7a7286450235c1215b8f3c4876dec02f27a44ea4a3d7b9674df5191586b,True
