factor,source_family,dependency_class,difference_count,max_absolute_difference,attribution
alpha158_CNTD10,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTD20,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTD30,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTD5,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTD60,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTN10,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTN20,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTN30,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTN60,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTP10,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTP20,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTP30,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTP5,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CNTP60,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_KLEN,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_KLOW,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_KLOW2,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_KMID,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_KMID2,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_KSFT,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_KSFT2,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_KUP,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_KUP2,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMD10,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMD20,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORD10,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORD20,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORD30,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORD5,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORD60,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORR10,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORR20,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORR30,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORR5,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_CORR60,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_HIGH0,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_LOW0,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMD30,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMD5,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMD60,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMN10,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMN20,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMN30,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMN5,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMN60,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMP10,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMP20,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMP30,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMP5,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_SUMP60,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_BETA10,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_BETA20,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
alpha158_BETA30,alpha158,pure_time_series,0,0.0,none_common_keys_bit_identical
