factor,source_family,dependency_class,max_lookback_trading_days,state_propagation_rule,recompute_policy,illegal_input_date_count,affected_instrument_count,materialization_mode,recompute_start,recompute_end
kunquant_alpha101_alpha049,alpha101,pure_time_series,20,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha050,alpha101,mixed,5,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha051,alpha101,pure_time_series,20,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha053,alpha101,pure_time_series,9,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha054,alpha101,pure_time_series,0,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha055,alpha101,mixed,12,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha057,alpha101,mixed,30,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha060,alpha101,mixed,10,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha062,alpha101,mixed,22,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha064,alpha101,mixed,120,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha066,alpha101,mixed,11,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha071,alpha101,mixed,180,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha072,alpha101,mixed,40,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha073,alpha101,mixed,17,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha074,alpha101,mixed,37,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha077,alpha101,mixed,40,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha078,alpha101,mixed,40,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha083,alpha101,mixed,5,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha084,alpha101,pure_time_series,21,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha085,alpha101,mixed,30,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha088,alpha101,mixed,60,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha092,alpha101,mixed,30,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha094,alpha101,mixed,60,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha095,alpha101,mixed,40,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha096,alpha101,mixed,60,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha098,alpha101,mixed,26,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha101,alpha101,pure_time_series,0,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
alpha158_BETA10,alpha158,pure_time_series,10,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_BETA20,alpha158,pure_time_series,20,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_BETA30,alpha158,pure_time_series,30,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_BETA5,alpha158,pure_time_series,5,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_BETA60,alpha158,pure_time_series,60,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTD10,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTD20,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTD30,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTD5,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
