factor,source_family,dependency_class,filter_only_reuse_allowed,common_key_count,bit_identical_count,difference_count,bit_identical,max_absolute_difference
alpha158_MAX20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_MAX30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_MAX5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_MAX60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_MIN10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_MIN20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_MIN30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_MIN5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_MIN60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLD10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLD20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLD30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLD5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLD60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLU10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLU20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLU30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLU5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_QTLU60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RANK10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RANK20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RANK30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RANK60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RESI10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RESI20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RESI30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RESI5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RESI60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_ROC10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_ROC20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_ROC30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_ROC5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_ROC60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSQR10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSQR20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSQR30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSQR5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSQR60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSV10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSV20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSV30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSV5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_RSV60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_STD10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_STD20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_STD30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_STD5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_STD60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VMA10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VMA20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VMA30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VMA5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VMA60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSTD10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSTD20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSTD30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSTD5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSTD60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMD10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMD20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMD30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMD5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMD60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMN10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMN20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMN30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMN5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMN60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMP10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMP20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMP30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMP5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_VSUMP60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_WVMA10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_WVMA20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_WVMA30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_WVMA5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_WVMA60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE1,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE10,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE11,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE12,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE13,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE14,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE15,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE16,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE17,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE18,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE19,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE2,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE20,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE21,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE22,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE23,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE24,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE25,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE26,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE27,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE28,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE29,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE3,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE30,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE31,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE32,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE33,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE34,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE35,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE36,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE37,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE38,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE39,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE4,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE40,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE41,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE42,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE43,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE44,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE45,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE46,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE47,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE48,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE49,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE5,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
