instrument,board,list_date,delist_date,selection_reason,event_evidence,seed,sample_sha256
SZ300004,chinext,2009-10-30,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300005,chinext,2009-10-30,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300007,chinext,2009-10-30,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300008,chinext,2009-10-30,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300036,chinext,2009-12-25,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300114,chinext,2010-08-27,2025-02-14,ipo_or_lifecycle_boundary|suspension_or_missing_span,market_cache_v2|provider_lifecycle,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300122,chinext,2010-09-28,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300131,chinext,2010-10-19,2026-06-09,suspension_or_missing_span,market_cache_v2,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300169,chinext,2011-01-25,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300177,chinext,2011-02-15,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300188,chinext,2011-03-16,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300253,chinext,2011-08-18,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300280,chinext,2011-12-29,2025-10-13,ipo_or_lifecycle_boundary|suspension_or_missing_span,market_cache_v2|provider_lifecycle,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300307,chinext,2012-03-29,2026-06-09,suspension_or_missing_span,market_cache_v2,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300337,chinext,2012-07-18,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300348,chinext,2012-08-17,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300364,chinext,2015-01-21,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
