factor,split_id,test_family,metric,train_mean_ic,validation_mean_ic,test_mean_ic,train_count,validation_count,test_count,train_coverage,validation_coverage,test_coverage,selection_eligible,eligible,eligibility_reason,raw_statistic,bootstrap_standard_error,raw_p_value,bootstrap_samples,block_length,random_seed,observation_count,fdr_bh_q_value,fdr_by_q_value,fdr_bh_pass,fdr_by_pass,selected,frozen_direction,selection_reason,test_metrics_used_in_selection
downside_std_20|10d_t1,split_002,split_002|selection_history,daily_rank_ic,,,-0.020085991292040126,0,0,119,0.0,0.0,0.9916666666666667,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
downside_std_20|20d_t1,split_002,split_002|selection_history,daily_rank_ic,,,-0.018326260389810896,0,0,119,0.0,0.0,0.9916666666666667,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_20_exclude_5|10d_t1,split_002,split_002|selection_history,daily_rank_ic,,,0.014424372835527242,0,0,119,0.0,0.0,0.9916666666666667,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_20_exclude_5|20d_t1,split_002,split_002|selection_history,daily_rank_ic,,,0.026165638479839205,0,0,119,0.0,0.0,0.9916666666666667,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_5|10d_t1,split_002,split_002|selection_history,daily_rank_ic,,,0.02848703491986188,0,0,119,0.0,0.0,0.9916666666666667,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_5|20d_t1,split_002,split_002|selection_history,daily_rank_ic,,,0.0056561283872880895,0,0,119,0.0,0.0,0.9916666666666667,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
std_20|10d_t1,split_002,split_002|selection_history,daily_rank_ic,,,-0.043136299574392294,0,0,119,0.0,0.0,0.9916666666666667,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
std_20|20d_t1,split_002,split_002|selection_history,daily_rank_ic,,,-0.03885016499268507,0,0,119,0.0,0.0,0.9916666666666667,False,False,train_valid_ic_count=0<40;validation_valid_ic_count=0<40;train_coverage=0<0.8;validation_coverage=0<0.8,,,,1000,20,20260712,0,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,False
amount_mean_20|10d_t1,split_003,split_003|selection_history,daily_rank_ic,,-0.07804438174445257,-0.10126437144090603,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
amount_mean_20|20d_t1,split_003,split_003|selection_history,daily_rank_ic,,-0.09929474929853525,-0.13783497114197996,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
downside_std_20|10d_t1,split_003,split_003|selection_history,daily_rank_ic,,-0.058663788736629884,-0.0802937685196595,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
downside_std_20|20d_t1,split_003,split_003|selection_history,daily_rank_ic,,-0.06190884446690852,-0.11364922949019442,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
rev_20_exclude_5|10d_t1,split_003,split_003|selection_history,daily_rank_ic,,0.027704485666019848,0.026038339214909327,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
rev_20_exclude_5|20d_t1,split_003,split_003|selection_history,daily_rank_ic,,0.06214035278162003,0.06699571149909124,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
rev_5|10d_t1,split_003,split_003|selection_history,daily_rank_ic,,0.03198093833383643,0.004023722897164523,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
rev_5|20d_t1,split_003,split_003|selection_history,daily_rank_ic,,0.014164043762469082,0.007360032596260737,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
