factor,split_id,selected,selection_eligible,eligible,eligibility_reason,selection_reason,frozen_direction,fdr_bh_q_value
amount_mean_20|10d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
amount_mean_20|20d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
downside_std_20|10d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
downside_std_20|20d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
rev_20_exclude_5|10d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
rev_20_exclude_5|20d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
rev_5|10d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
rev_5|20d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
std_20|10d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
std_20|20d_t1,split_003,False,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,0,
amount_mean_20|10d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|20d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,selection_ineligible;fdr_not_passed,-1,
downside_std_20|10d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,selection_ineligible;fdr_not_passed,-1,
downside_std_20|20d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,selection_ineligible;fdr_not_passed,-1,
rev_20_exclude_5|10d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_20_exclude_5|20d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,selection_ineligible;fdr_not_passed,1,
rev_5|10d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_5|20d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
std_20|10d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,selection_ineligible;fdr_not_passed,-1,
std_20|20d_t1,split_004,False,False,False,train_coverage=0.0740741<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|10d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|20d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,selection_ineligible;fdr_not_passed,-1,
downside_std_20|10d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
downside_std_20|20d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
rev_20_exclude_5|10d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,selection_ineligible;fdr_not_passed,1,
rev_20_exclude_5|20d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,selection_ineligible;fdr_not_passed,1,
rev_5|10d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,selection_ineligible;fdr_not_passed,1,
rev_5|20d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,selection_ineligible;fdr_not_passed,1,
std_20|10d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,selection_ineligible;fdr_not_passed,-1,
std_20|20d_t1,split_005,False,False,False,train_coverage=0.171623<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|10d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|20d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,-1,
downside_std_20|10d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,-1,
downside_std_20|20d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,-1,
rev_20_exclude_5|10d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,1,
rev_20_exclude_5|20d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,1,
rev_5|10d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,1,
rev_5|20d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,1,
std_20|10d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,-1,
std_20|20d_t1,split_006,False,False,False,train_coverage=0.247104<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|10d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|20d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,selection_ineligible;fdr_not_passed,-1,
downside_std_20|10d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,selection_ineligible;fdr_not_passed,-1,
downside_std_20|20d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,selection_ineligible;fdr_not_passed,-1,
rev_20_exclude_5|10d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,selection_ineligible;fdr_not_passed,1,
rev_20_exclude_5|20d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_5|10d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,direction_mismatch;selection_ineligible;fdr_not_passed,1,
rev_5|20d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,direction_mismatch;selection_ineligible;fdr_not_passed,1,
std_20|10d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,selection_ineligible;fdr_not_passed,-1,
std_20|20d_t1,split_007,False,False,False,train_coverage=0.31338<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|10d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|20d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,selection_ineligible;fdr_not_passed,-1,
downside_std_20|10d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,selection_ineligible;fdr_not_passed,-1,
downside_std_20|20d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,selection_ineligible;fdr_not_passed,-1,
rev_20_exclude_5|10d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_20_exclude_5|20d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_5|10d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,selection_ineligible;fdr_not_passed,1,
rev_5|20d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
std_20|10d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,selection_ineligible;fdr_not_passed,-1,
std_20|20d_t1,split_008,False,False,False,test_valid_ic_count=0<40;train_coverage=0.36606<0.8;test_coverage=0<0.8,selection_ineligible;fdr_not_passed,-1,
amount_mean_20|10d_t1,split_009,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.41371<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
amount_mean_20|20d_t1,split_009,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.41371<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
downside_std_20|10d_t1,split_009,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.41371<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
downside_std_20|20d_t1,split_009,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.41371<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
rev_20_exclude_5|10d_t1,split_009,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.41371<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_20_exclude_5|20d_t1,split_009,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.41371<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_5|10d_t1,split_009,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.41371<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_5|20d_t1,split_009,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.41371<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
