signal_date,instrument,score,liquidity_bucket,tradability_score
2024-01-30,SZ300429,1.4112076981878112,4.0,100.0
2024-01-30,SZ300199,1.3853972581618543,5.0,100.0
2024-01-30,SZ002009,1.3788170857730264,3.0,100.0
2024-01-30,SZ300134,1.3756048762891007,3.0,100.0
2024-01-30,SZ300302,1.3536402318620857,3.0,100.0
2024-01-30,SZ000628,1.3529560830542466,5.0,100.0
2024-01-30,SZ300363,1.3514186112739381,4.0,100.0
2024-01-30,SZ002536,1.3311478335754632,4.0,100.0
2024-01-30,SZ002771,1.3263153872187303,5.0,100.0
2024-01-30,SZ300480,1.306150360102938,3.0,100.0
2024-01-30,SZ300496,1.3032114916718898,5.0,100.0
2024-01-30,SZ000676,1.301445981110733,5.0,100.0
2024-01-30,SH600186,1.2982903883696608,5.0,100.0
2024-01-30,SZ300083,1.2895554988618823,3.0,100.0
2024-01-30,SZ300115,1.2721052468378957,4.0,100.0
2024-01-30,SZ300364,1.2494151227407087,5.0,100.0
2024-01-30,SZ300101,1.2377011703430796,4.0,100.0
2024-01-30,SZ002197,1.2233700779288108,5.0,100.0
2024-01-30,SZ300291,1.2196290234045488,3.0,100.0
2024-01-30,SZ000546,1.211795080743978,4.0,100.0
2024-01-30,SZ002453,1.2114834672649768,4.0,100.0
2024-01-30,SZ002518,1.2058114841197123,4.0,100.0
2024-01-30,SZ002229,1.2053356081524138,5.0,100.0
2024-01-30,SZ300322,1.2051802765766138,3.0,100.0
2024-01-30,SH603306,1.204866552531208,3.0,100.0
2024-01-30,SZ300136,1.2030031100369978,5.0,100.0
2024-01-30,SZ002384,1.2000704208931403,5.0,100.0
2024-01-30,SZ300499,1.1900974615675692,3.0,100.0
2024-01-30,SZ300205,1.1686883547510405,5.0,100.0
2024-01-30,SZ002446,1.167800466652537,4.0,100.0
2024-01-30,SZ002577,1.1669874276984171,3.0,100.0
2024-01-30,SZ002192,1.1665576546502616,5.0,100.0
2024-01-30,SZ300337,1.1658915613349048,3.0,100.0
2024-01-30,SZ300165,1.165666277932887,3.0,100.0
2024-01-30,SZ002747,1.154166996820743,4.0,100.0
2024-01-30,SZ002217,1.1525108532760406,3.0,100.0
2024-01-30,SZ002324,1.1518128447418075,3.0,100.0
2024-01-30,SZ300280,1.1415795706005314,5.0,100.0
2024-01-30,SZ300443,1.1387593958742888,4.0,100.0
2024-01-30,SH603005,1.1317445561533446,5.0,100.0
2024-01-30,SZ300343,1.1301329324051759,3.0,100.0
2024-01-30,SZ300438,1.1237755668919223,4.0,100.0
2024-01-30,SZ002036,1.121726198617925,4.0,100.0
2024-01-30,SZ002436,1.1175175048751742,5.0,100.0
2024-01-30,SZ002050,1.11034787034822,5.0,100.0
2024-01-30,SZ002514,1.1061853459445075,3.0,100.0
2024-01-30,SZ002042,1.1056928053909894,4.0,100.0
2024-01-30,SZ002709,1.1026423135703,5.0,100.0
2024-01-30,SH600353,1.1021641113478668,3.0,100.0
2024-01-30,SH603026,1.1006934021384167,3.0,100.0
2024-01-30,SZ300458,1.0990261296105028,4.0,100.0
2024-01-30,SZ300076,1.0976835669756688,4.0,100.0
2024-01-30,SZ002194,1.0922744633557058,3.0,100.0
2024-01-30,SH601689,1.089962775895232,5.0,100.0
2024-01-30,SZ300505,1.0843274393966686,4.0,100.0
2024-01-30,SZ300139,1.0820200885872333,3.0,100.0
2024-01-30,SZ002369,1.0819941149143462,3.0,100.0
2024-01-30,SH603108,1.0740831222346447,5.0,100.0
2024-01-30,SZ300031,1.064471119099036,5.0,100.0
2024-01-30,SH600114,1.0608569890418698,4.0,100.0
2024-01-30,SZ300395,1.0601897143745813,4.0,100.0
2024-01-30,SZ002121,1.0598666214364827,3.0,100.0
2024-01-30,SZ300161,1.059776388077437,3.0,100.0
2024-01-30,SZ002351,1.0577814610637848,4.0,100.0
2024-01-30,SH603997,1.0571521994616295,4.0,100.0
2024-01-30,SZ300316,1.054771004476993,5.0,100.0
2024-01-30,SZ002079,1.0528035022158007,3.0,100.0
2024-01-30,SZ300490,1.048690038515377,3.0,100.0
2024-01-30,SZ002176,1.0484900027180155,5.0,100.0
2024-01-30,SZ002273,1.047876497602272,4.0,100.0
2024-01-30,SZ300327,1.0375606293285764,3.0,100.0
2024-01-30,SZ300346,1.037510156079897,4.0,100.0
2024-01-30,SZ300319,1.0318564624665685,4.0,100.0
2024-01-30,SZ300474,1.0315371018705382,5.0,100.0
2024-01-30,SZ002020,1.026941474910632,4.0,100.0
2024-01-30,SZ002068,1.0243053940714908,3.0,100.0
2024-01-30,SZ002609,1.0241672589613124,3.0,100.0
2024-01-30,SH600418,1.023921423745281,5.0,100.0
2024-01-30,SH600399,1.0191727997005022,5.0,100.0
2024-01-30,SZ002388,1.0191142575860914,3.0,100.0
2024-01-30,SZ002156,1.018001900868457,5.0,100.0
2024-01-30,SZ002409,1.0179210563836791,5.0,100.0
2024-01-30,SZ300102,1.0143931249158293,3.0,100.0
2024-01-30,SZ002106,1.012219774124095,3.0,100.0
2024-01-30,SZ000516,1.0119249848841212,4.0,100.0
2024-01-30,SZ002402,1.01038817532683,3.0,100.0
2024-01-30,SH600237,1.0071200749039773,3.0,100.0
2024-01-30,SZ000963,1.003757117268309,5.0,100.0
2024-01-30,SH600338,1.0012385665356844,4.0,100.0
2024-01-30,SZ300045,0.9998633755197435,5.0,100.0
2024-01-30,SZ300078,0.9908787176460004,3.0,100.0
2024-01-30,SZ002292,0.9865469015641712,5.0,100.0
2024-01-30,SZ300457,0.9820155028719284,5.0,100.0
2024-01-30,SZ300135,0.9819838684732433,3.0,100.0
2024-01-30,SZ300244,0.9781213830810199,4.0,100.0
2024-01-30,SZ300207,0.9780782965654689,4.0,100.0
2024-01-30,SZ002334,0.977742155541358,3.0,100.0
2024-01-30,SZ002019,0.9756110571257962,3.0,100.0
