layer,candidate_frontier,authoritative,reason,lifecycle_vintage_proven,statement_provider_vintage_complete
daily_basic,2016-07-01,False,lifecycle_vintage_and_statement_vintage_required,False,False
moneyflow,2016-07-01,False,lifecycle_vintage_and_statement_vintage_required,False,False
