instrument,status,row_count,first_date,last_date,tradestatus_nonzero_ratio,isST_rows,error
600000.SH,success,5332,2000-01-04,2021-12-31,0.9778694673668417,0,
000001.SZ,success,5332,2000-01-04,2021-12-31,0.9698049512378094,0,
600519.SH,success,4939,2001-08-27,2021-12-31,0.9850172099615306,0,
000858.SZ,success,5332,2000-01-04,2021-12-31,0.9744936234058514,0,
000002.SZ,success,5332,2000-01-04,2021-12-31,0.9600525131282821,0,
600036.SH,success,4796,2002-04-09,2021-12-31,0.9845704753961635,0,
