api,ts_code,broad_target_key_count,segmented_key_count,broad_missing_from_segmented,segmented_not_in_broad,target_key_sets_equal
balancesheet,000001.SZ,48,48,0,0,True
balancesheet,000002.SZ,48,48,0,0,True
balancesheet,000858.SZ,48,48,0,0,True
balancesheet,600000.SH,48,48,0,0,True
balancesheet,600036.SH,48,48,0,0,True
balancesheet,600519.SH,48,48,0,0,True
cashflow,000001.SZ,46,46,0,0,True
cashflow,000002.SZ,32,32,0,0,True
cashflow,000858.SZ,32,32,0,0,True
cashflow,600000.SH,32,32,0,0,True
cashflow,600036.SH,32,32,0,0,True
cashflow,600519.SH,32,32,0,0,True
fina_indicator,000001.SZ,32,32,0,0,True
fina_indicator,000002.SZ,32,32,0,0,True
fina_indicator,000858.SZ,32,32,0,0,True
fina_indicator,600000.SH,32,32,0,0,True
fina_indicator,600036.SH,32,32,0,0,True
fina_indicator,600519.SH,32,32,0,0,True
income,000001.SZ,34,34,0,0,True
income,000002.SZ,32,32,0,0,True
income,000858.SZ,32,32,0,0,True
income,600000.SH,32,32,0,0,True
income,600036.SH,32,32,0,0,True
income,600519.SH,32,32,0,0,True
