source_id,path,sha256,bytes
config,configs/research_protocol_v2.yaml,6ecbeaebcb0662d0888283fff5e5dc224a5bacc49f4b4496f40c71c32adc90f6,3820
generator,research_validation/research_protocol_v2.py,e3c8199d79babc48c94c1504b742b84b8abe845a7cac8c761c5e1190ef161458,17969
runner,scripts/build_research_protocol_v2.py,a31f043933544df3df8df082c8628bc4279efdbf2d0f2210023a02f896621d4f,26673
calendar,E:\qlib_prj\qlib_data\cn_data_community_20260609_derived\calendars\day.txt,fd7cf1436bbc2d497171aaae139c2deedaf649c2d6b20b66c8e1a544de305b60,70433
legacy_split_manifest,outputs/date_split_semantics_v1/current/split_manifest.csv,6e6a108d38ed9d0d6b92a120fd390ddfa5886c211bf0c74195ccd70394a824d4,481
legacy_date_assignments,outputs/date_split_semantics_v1/current/date_assignments.csv,69dbc339fd55ac05b789a4cf9ba49e49fd082f1846b366885b9612acff89de63,85600
legacy_purged_dates,outputs/purged_walk_forward_v1/full_research_669/purged_dates.csv,93fc11c1b7d06d95d1a92a3a79c129de86d31f234441e30e211d50583b42e11c,5648
legacy_embargoed_dates,outputs/purged_walk_forward_v1/full_research_669/embargoed_dates.csv,d49dfb6e1e58fdb8ce78ef552efff9476b64c7383e24191c62a32149e90ecf45,4661
matrix_manifest,outputs/factor_universe_v2_matrix_readiness/current/artifact_manifest.json,b9d98dee30732731feb1280db8df7aab3d105d255d9aa3802ef76a553e7cfc7f,5554
labels_manifest,outputs/full_research_labels_v2/current/artifact_manifest.json,9b7929713184d860b20875009916d55d588d64a4318391ce9173fdf262e13fe0,2232
universe_manifest,outputs/point_in_time_universe_v2/full_research/artifact_manifest.json,5e405348b2935aeb354f06d256d14ccb3a77a2e00c576fbd3fd67d37e58ae452,2099
