metric,count,mean,std,min,10%,25%,50%,75%,90%,95%,max
rows,765.0,6640610.0,0.0,6640610.0,6640610.0,6640610.0,6640610.0,6640610.0,6640610.0,6640610.0,6640610.0
finite_count,765.0,6299332.759477125,410017.9024892007,2354637.0,6043455.8,6313347.0,6345672.0,6426163.0,6572076.4,6640610.0,6640610.0
missing_count,765.0,341277.2405228758,410017.90248920064,0.0,68533.60000000008,214447.0,294938.0,327263.0,597154.2000000007,846878.9999999979,4285973.0
infinite_count,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coverage,765.0,0.9486075465171309,0.06174401184367108,0.3545814315251159,0.9100753996997263,0.9507179310334444,0.9555857067347728,0.9677067317610882,0.9896796228057363,1.0,1.0
min_count_variable_dates,765.0,3376.2235294117645,69.83196713628944,2434.0,3382.0,3382.0,3382.0,3382.0,3382.0,3382.0,3382.0
raw_p_value,765.0,0.038820003525885785,0.14791369242280342,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.0009990009990009,0.03556443556443552,0.2551448551448534,0.962037962037962
fdr_bh_q_value,765.0,0.04015968056290701,0.1504213228387925,0.0012528455151405,0.0012528455151405,0.0012528455151405,0.0012528455151405,0.0012528455151405,0.03947521134073208,0.26854633311031556,0.962037962037962
fdr_by_q_value,765.0,0.09865062933806909,0.2617296286515959,0.0090427193914192,0.0090427193914192,0.0090427193914192,0.0090427193914192,0.0090427193914192,0.2849220073483308,1.0,1.0
observation_count,765.0,3355.1816993464054,69.92387169048189,2413.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
eligible_segment_count,765.0,1.1150326797385621,1.4452835027706152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0
contiguous_segment_count,765.0,1.3490196078431373,5.606630770128079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,147.0
eligible_block_count,765.0,3332.733333333333,92.33568680413669,1796.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0,3342.0
alphalens_ic__mean,765.0,0.021712811842585212,0.04023412849805975,-0.1010069474357297,-0.03518293478272488,-0.008729972543761453,0.028110549093355478,0.06190948892193275,0.06738236772225323,0.06872952239306247,0.07382566152845518
alphalens_ic__median,765.0,0.01885283313700918,0.03815012443361984,-0.1080053150675111,-0.03428413443960043,-0.0076618020147402295,0.02336464021753941,0.05637725541129515,0.060827914523233675,0.06264315526535956,0.0790453572859021
alphalens_ic__std,765.0,0.1291541541998597,0.03473267498388102,0.027665181990484334,0.08157754149426638,0.10329169339731425,0.13654037614987208,0.16193863288499577,0.16704627160435104,0.16771239513287434,0.20181644392912376
alphalens_ic__mean_std_ratio,765.0,0.14558196701947992,0.28941494286639674,-0.7466134304180292,-0.2838070953328391,-0.0855630247689724,0.23623817545613018,0.38695492597298586,0.41850895667525845,0.4275329891743062,0.8291915464800466
alphalens_ic__positive_ratio,765.0,0.5527104910233772,0.11394288066037489,0.22701576911633442,0.38202915798869386,0.4656352276108301,0.5897054448080928,0.6471288307051473,0.661112764058316,0.6690865813745909,0.8021422195775066
alphalens_ic__valid_dates,765.0,3355.1816993464054,69.92387169048189,2413.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
jqfactor_ic__mean,765.0,0.021712811842585212,0.04023412849805975,-0.1010069474357297,-0.03518293478272488,-0.008729972543761453,0.028110549093355478,0.06190948892193275,0.06738236772225323,0.06872952239306247,0.07382566152845518
jqfactor_ic__median,765.0,0.01885283313700918,0.03815012443361984,-0.1080053150675111,-0.03428413443960043,-0.0076618020147402295,0.02336464021753941,0.05637725541129515,0.060827914523233675,0.06264315526535956,0.0790453572859021
jqfactor_ic__std,765.0,0.1291541541998597,0.03473267498388102,0.027665181990484334,0.08157754149426638,0.10329169339731425,0.13654037614987208,0.16193863288499577,0.16704627160435104,0.16771239513287434,0.20181644392912376
jqfactor_ic__mean_std_ratio,765.0,0.14558196701947992,0.28941494286639674,-0.7466134304180292,-0.2838070953328391,-0.0855630247689724,0.23623817545613018,0.38695492597298586,0.41850895667525845,0.4275329891743062,0.8291915464800466
jqfactor_ic__positive_ratio,765.0,0.5527104910233772,0.11394288066037489,0.22701576911633442,0.38202915798869386,0.4656352276108301,0.5897054448080928,0.6471288307051473,0.661112764058316,0.6690865813745909,0.8021422195775066
jqfactor_ic__valid_dates,765.0,3355.1816993464054,69.92387169048189,2413.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
qlib_ic__mean,765.0,0.021712811842585212,0.04023412849805975,-0.1010069474357297,-0.03518293478272488,-0.008729972543761453,0.028110549093355485,0.06190948892193275,0.06738236772225321,0.06872952239306247,0.07382566152845518
qlib_ic__median,765.0,0.01885283313700918,0.03815012443361984,-0.1080053150675111,-0.03428413443960044,-0.00766180201474023,0.02336464021753941,0.056377255411295145,0.060827914523233675,0.06264315526535955,0.0790453572859021
