split_id,datetime,fold
split_001,2021-02-01,train
split_001,2021-02-02,train
split_001,2021-02-03,train
split_001,2021-02-04,train
split_001,2021-02-05,train
split_001,2021-02-08,train
split_001,2021-02-09,train
split_001,2021-02-10,train
split_001,2021-02-18,train
split_001,2021-02-19,train
split_001,2021-02-22,train
split_001,2021-02-23,train
split_001,2021-02-24,train
split_001,2021-02-25,train
split_001,2021-02-26,train
split_001,2021-03-01,train
split_001,2021-03-02,train
split_001,2021-03-03,train
split_001,2021-03-04,train
split_001,2021-03-05,train
split_001,2021-03-08,train
split_001,2021-03-09,train
split_001,2021-03-10,train
split_001,2021-03-11,train
split_001,2021-03-12,train
split_001,2021-03-15,train
split_001,2021-03-16,train
split_001,2021-03-17,train
split_001,2021-03-18,train
split_001,2021-03-19,train
split_001,2021-03-22,train
split_001,2021-03-23,train
split_001,2021-03-24,train
split_001,2021-03-25,train
split_001,2021-03-26,train
split_001,2021-03-29,train
split_001,2021-03-30,train
split_001,2021-03-31,train
split_001,2021-04-01,train
split_001,2021-04-02,train
split_001,2021-04-06,train
split_001,2021-04-07,train
split_001,2021-04-08,train
split_001,2021-04-09,train
split_001,2021-04-12,train
split_001,2021-04-13,train
split_001,2021-04-14,train
split_001,2021-04-15,train
split_001,2021-04-16,train
split_001,2021-04-19,train
split_001,2021-04-20,train
split_001,2021-04-21,train
split_001,2021-04-22,train
split_001,2021-04-23,train
split_001,2021-04-26,train
split_001,2021-04-27,train
split_001,2021-04-28,train
split_001,2021-04-29,train
split_001,2021-04-30,train
split_001,2021-05-06,train
split_001,2021-05-07,train
split_001,2021-05-10,train
split_001,2021-05-11,train
split_001,2021-05-12,train
split_001,2021-05-13,train
split_001,2021-05-14,train
split_001,2021-05-17,train
split_001,2021-05-18,train
split_001,2021-05-19,train
split_001,2021-05-20,train
split_001,2021-05-21,train
split_001,2021-05-24,train
split_001,2021-05-25,train
split_001,2021-05-26,train
split_001,2021-05-27,train
split_001,2021-05-28,train
split_001,2021-05-31,train
split_001,2021-06-01,train
split_001,2021-06-02,train
split_001,2021-06-03,train
split_001,2021-06-04,train
split_001,2021-06-07,train
split_001,2021-06-08,train
split_001,2021-06-09,train
split_001,2021-06-10,train
split_001,2021-06-11,train
split_001,2021-06-15,train
split_001,2021-06-16,train
split_001,2021-06-17,train
split_001,2021-06-18,train
split_001,2021-06-21,train
split_001,2021-06-22,train
split_001,2021-06-23,train
split_001,2021-06-24,train
split_001,2021-06-25,train
split_001,2021-06-28,train
split_001,2021-06-29,train
split_001,2021-06-30,train
split_001,2021-07-01,train
split_001,2021-07-02,train
split_001,2021-07-05,train
split_001,2021-07-06,train
split_001,2021-07-07,train
split_001,2021-07-08,train
split_001,2021-07-09,train
split_001,2021-07-12,train
split_001,2021-07-13,train
split_001,2021-07-14,train
split_001,2021-07-15,train
split_001,2021-07-16,train
split_001,2021-07-19,train
split_001,2021-07-20,train
split_001,2021-07-21,train
split_001,2021-07-22,train
split_001,2021-07-23,train
split_001,2021-07-26,train
split_001,2021-07-27,train
split_001,2021-07-28,train
split_001,2021-07-29,train
split_001,2021-07-30,train
split_001,2021-08-02,train
split_001,2021-08-03,train
split_001,2021-08-04,train
split_001,2021-08-05,train
split_001,2021-08-06,train
split_001,2021-08-09,train
