window,sample,label,factor,category,expected_direction,coverage,missing_rate,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,directional_rank_icir,ic_win_rate,ic_dates,valid_rows
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,momentum,watch,0.9962610291753762,0.003738970824623822,-0.04696382799572756,-0.3641217440829399,-0.0585407256333473,,-0.4101030654102864,,,726,821209
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,momentum,watch,0.9962610291753762,0.003738970824623822,-0.032094776043702804,-0.24492097897069784,-0.0585407256333473,,-0.4101030654102864,,,726,821209
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,momentum,watch,0.9962610291753762,0.003738970824623822,-0.04006675745378723,-0.3044013744600726,-0.05846767462089671,,-0.40958221077826357,,,726,821209
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__liquidity_bucket_zscore,momentum,watch,0.9962610291753762,0.003738970824623822,-0.024887853626297054,-0.20452891559924918,-0.042187561858703274,,-0.30530822118782397,,,726,821209
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__volatility_bucket_zscore,momentum,watch,0.990083599117302,0.009916400882697962,-0.021498954205424504,-0.19240624115793215,-0.03248879293779871,,-0.25596851937117593,,,726,816117
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__amount_proxy_residual,momentum,watch,0.990083599117302,0.009916400882697962,-0.042337970623583576,-0.3355492373835288,-0.05116382883599612,,-0.361494033006917,,,726,816117
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__liquidity_volatility_residual,momentum,watch,0.990083599117302,0.009916400882697962,-0.03285989936528253,-0.3043588694602623,-0.021616535700467624,,-0.17918821202615942,,,726,816117
main_research_2021_2023,tradable_only,label_20d_t1,rev_5__raw,reversal,positive,0.9968457741258852,0.0031542258741148466,0.023914996159906405,0.20953479459516755,0.01959766619648346,0.01959766619648346,0.1478217424436394,0.1478217424436394,0.5509641873278237,726,821691
main_research_2021_2023,tradable_only,label_20d_t1,rev_5__cs_rank,reversal,positive,0.9968457741258852,0.0031542258741148466,0.013115014790745864,0.1109754894964973,0.01959766619648346,0.01959766619648346,0.1478217424436394,0.1478217424436394,0.5509641873278237,726,821691
main_research_2021_2023,tradable_only,label_20d_t1,rev_5__cs_zscore,reversal,positive,0.9968457741258852,0.0031542258741148466,0.01862972879085373,0.15979149692791791,0.019541748447630736,0.019541748447630736,0.14740082321392933,0.14740082321392933,0.5509641873278237,726,821691
main_research_2021_2023,tradable_only,label_20d_t1,rev_5__liquidity_bucket_zscore,reversal,positive,0.9968457741258852,0.0031542258741148466,0.008642783591258056,0.07966275472399158,0.00900091901420143,0.00900091901420143,0.0708551453916361,0.0708551453916361,0.5192837465564738,726,821691
main_research_2021_2023,tradable_only,label_20d_t1,rev_5__volatility_bucket_zscore,reversal,positive,0.9904511877480162,0.009548812251983785,0.015835629271667432,0.14946256693778537,0.02357717071823584,0.02357717071823584,0.19173288984988562,0.19173288984988562,0.5785123966942148,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,rev_5__amount_proxy_residual,reversal,positive,0.9904511877480162,0.009548812251983785,0.031336740267400784,0.2793518606327742,0.029749281505517,0.029749281505517,0.22965731025720842,0.22965731025720842,0.5798898071625345,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,rev_5__liquidity_volatility_residual,reversal,positive,0.9904511877480162,0.009548812251983785,0.027362949659557125,0.27163130756813786,0.018370926207734155,0.018370926207734155,0.16556939216572633,0.16556939216572633,0.5550964187327824,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,std_20__raw,risk,negative,0.990083599117302,0.009916400882697962,-0.04450962394075422,-0.2916277768362717,-0.09434505805138182,0.09434505805138182,-0.56327849556555,0.56327849556555,0.6873278236914601,726,816117
main_research_2021_2023,tradable_only,label_20d_t1,std_20__cs_rank,risk,negative,0.990083599117302,0.009916400882697962,-0.038883560006730725,-0.252508843193473,-0.09434505805138182,0.09434505805138182,-0.56327849556555,0.56327849556555,0.6873278236914601,726,816117
