window,sample,label,factor,category,expected_direction,quantile,mean_group_return,std_group_return,group_return_dates
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__amount_proxy_residual,risk,negative,4,0.0024915044071877916,0.05854670083947216,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__amount_proxy_residual,risk,negative,5,-0.006565622703199166,0.06342000646042317,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_rank,risk,negative,1,0.0035913594205334892,0.041526871240792206,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_rank,risk,negative,2,0.001607222857975421,0.048206855427019336,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_rank,risk,negative,3,0.0008973289264099987,0.05276782179058565,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_rank,risk,negative,4,-0.0004195678620391555,0.057999382223964314,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_rank,risk,negative,5,-0.00962573875003652,0.06554143347625582,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_zscore,risk,negative,1,0.0035913594205334892,0.041526871240792206,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_zscore,risk,negative,2,0.001607222857975421,0.048206855427019336,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_zscore,risk,negative,3,0.0008973289264099987,0.05276782179058565,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_zscore,risk,negative,4,-0.0004195678620391555,0.057999382223964314,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_zscore,risk,negative,5,-0.00962573875003652,0.06554143347625582,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_bucket_zscore,risk,negative,1,0.0015157248307995981,0.040535451861358845,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_bucket_zscore,risk,negative,2,-0.00035798908308704486,0.047858473983883515,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_bucket_zscore,risk,negative,3,0.000673309696500559,0.05434761988154467,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_bucket_zscore,risk,negative,4,7.87852513857322e-05,0.05866607768989659,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_bucket_zscore,risk,negative,5,-0.005858128553674169,0.0631872210443688,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_volatility_residual,risk,negative,1,-0.002633555385965981,0.050089253870935525,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_volatility_residual,risk,negative,2,0.000330901063592465,0.051547483310910996,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_volatility_residual,risk,negative,3,0.00032764854893198905,0.050148548655582235,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_volatility_residual,risk,negative,4,0.0015512618392977474,0.04851777893845657,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_volatility_residual,risk,negative,5,-0.003523482374503422,0.0510699090130553,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__raw,risk,negative,1,0.0035913594205334892,0.041526871240792206,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__raw,risk,negative,2,0.001607222857975421,0.048206855427019336,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__raw,risk,negative,3,0.0008973289264099987,0.05276782179058565,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__raw,risk,negative,4,-0.0004195678620391555,0.057999382223964314,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__raw,risk,negative,5,-0.00962573875003652,0.06554143347625582,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__volatility_bucket_zscore,risk,negative,1,0.0015946483833955206,0.044777002788214774,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__volatility_bucket_zscore,risk,negative,2,-3.128773591336191e-05,0.050865970002486376,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__volatility_bucket_zscore,risk,negative,3,-0.00043011461052967114,0.050241973592273094,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__volatility_bucket_zscore,risk,negative,4,0.0006384861222694012,0.0506091991465378,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__volatility_bucket_zscore,risk,negative,5,-0.005724843363279813,0.05465924872190462,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__amount_proxy_residual,momentum,watch,1,0.00046761929947570526,0.053362053605035514,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__amount_proxy_residual,momentum,watch,2,0.00044668106487578556,0.04996709566534148,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__amount_proxy_residual,momentum,watch,3,0.001060947779448672,0.050389042227613715,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__amount_proxy_residual,momentum,watch,4,0.001157214515994706,0.05096930974380274,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__amount_proxy_residual,momentum,watch,5,-0.007092633299240438,0.057968674790946674,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,momentum,watch,1,0.0012929507434974584,0.05414151211721257,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,momentum,watch,2,0.0005451795232272836,0.049854986746970635,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,momentum,watch,3,0.001221514336787903,0.04958170772999059,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,momentum,watch,4,0.0006262917406710893,0.051294418995786226,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,momentum,watch,5,-0.007952733753047728,0.05780093110468388,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,momentum,watch,1,0.0012929507434974584,0.05414151211721257,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,momentum,watch,2,0.0005451795232272836,0.049854986746970635,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,momentum,watch,3,0.001221514336787903,0.04958170772999059,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,momentum,watch,4,0.0006262917406710893,0.051294418995786226,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,momentum,watch,5,-0.007952733753047728,0.05780093110468388,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__liquidity_bucket_zscore,momentum,watch,1,0.0010241842793513856,0.05357440256168714,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__liquidity_bucket_zscore,momentum,watch,2,-0.000744060720720751,0.04972615327088257,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__liquidity_bucket_zscore,momentum,watch,3,-0.0004483138481825308,0.04999016200879392,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__liquidity_bucket_zscore,momentum,watch,4,-0.0003706000698954842,0.051585137636446066,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__liquidity_bucket_zscore,momentum,watch,5,-0.003737579717072692,0.05602877301889715,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__liquidity_volatility_residual,momentum,watch,1,0.00015058061527312776,0.05617011786273171,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__liquidity_volatility_residual,momentum,watch,2,-8.020215564076762e-06,0.05276290342878765,726
