pool_name,factor,source_family,source_project,category,stage,screening_gate,promotion_decision,promotion_reason,role,included,pool_reason,judgement_label,expected_direction,consensus_direction,coverage,missing_rate,valid_rows,total_rows,alphalens_status,jqfactor_status,qlib_status,metric_value_count,alphalens_mean_ic_10d,alphalens_mean_ic_20d,jqfactor_mean_ic_10d,jqfactor_mean_ic_20d,qlib_mean_10d,qlib_mean_20d,qlib_information_ratio_10d,qlib_information_ratio_20d,alphalens_ann_alpha_10d,alphalens_ann_alpha_20d,primary_rank_ic,primary_abs_rank_ic,max_abs_rank_ic,max_abs_rank_icir,max_rank_ic_win_rate,issue_tags,license,compute_adapter,board_status,board_reason
multi_source_v1,alpha158_ROC10,alpha158,qlib_alpha158,alpha158_rolling_price,alpha158_adapter_pending,strict_screening_input,promoted,,alpha_candidate,True,consistent_signal_accepted,consistent_signal,watch,positive,0.9945500230693451,0.0054499769306547,1595119.0,1603860.0,pass,partial_pass,pass,,,,,,0.0329454151171794,0.0343208998636396,3.665384751610645,3.970543877329309,,,0.0344878089226552,0.0344878089226552,0.0344878089226552,0.2584928726654998,0.581267217630854,low_monotonicity,MIT,qlib_expression_adapter_pending,alpha_candidate,accepted_by_existing_alpha158_candidate_pool
multi_source_v1,alpha158_ROC30,alpha158,qlib_alpha158,alpha158_rolling_price,alpha158_adapter_pending,strict_screening_input,promoted,,alpha_candidate,True,strong_signal_accepted,strong_signal,watch,positive,0.994231416707194,0.005768583292806,1594608.0,1603860.0,pass,partial_pass,pass,,,,,,0.0600693371144782,0.080333723384146,5.887054089744272,7.792868773219438,,,0.0805966106610472,0.0805966106610472,0.0805966106610472,0.5063810283413374,0.6666666666666666,,MIT,qlib_expression_adapter_pending,alpha_candidate,accepted_by_existing_alpha158_candidate_pool
multi_source_v1,alpha158_ROC60,alpha158,qlib_alpha158,alpha158_rolling_price,alpha158_adapter_pending,strict_screening_input,promoted,,alpha_candidate,True,strong_signal_accepted,strong_signal,watch,positive,0.9942706969436236,0.0057293030563765,1594671.0,1603860.0,pass,partial_pass,pass,,,,,,0.0646121211065571,0.0833536092205246,5.930680063793446,7.803886933181017,,,0.083509481252407,0.083509481252407,0.083509481252407,0.506687102706035,0.7052341597796143,,MIT,qlib_expression_adapter_pending,alpha_candidate,accepted_by_existing_alpha158_candidate_pool
multi_source_v1,alpha158_VSUMN60,alpha158,qlib_alpha158,alpha158_volume_liquidity,alpha158_adapter_pending,strict_screening_input,promoted,,alpha_candidate,True,consistent_signal_accepted,consistent_signal,watch,positive,0.9988047585200704,0.0011952414799296,1601943.0,1603860.0,pass,partial_pass,pass,,,,,,0.0329120269757062,0.0356131634003128,4.154304970155885,4.543267599895334,,,0.0356475728978874,0.0356475728978874,0.0356475728978874,0.294496297534606,0.6088154269972452,low_monotonicity,MIT,qlib_expression_adapter_pending,alpha_candidate,accepted_by_existing_alpha158_candidate_pool
multi_source_v1,alpha158_BETA10,alpha158,qlib_alpha158,alpha158_rolling_price,alpha158_adapter_pending,strict_screening_input,promoted,,monitor,False,review_or_marginal_signal,review,watch,negative,0.9962945643634732,0.0037054356365269,1597917.0,1603860.0,pass,partial_pass,pass,,,,,,-0.0322066343090391,-0.0287458797349278,-3.600947552183986,-3.3130005876856843,,,-0.0288889056999635,0.0288889056999635,0.0324677892933499,0.2350653275748302,0.4366391184573003,low_monotonicity,MIT,qlib_expression_adapter_pending,source_monitor,review_or_marginal_signal
multi_source_v1,alpha158_BETA20,alpha158,qlib_alpha158,alpha158_rolling_price,alpha158_adapter_pending,strict_screening_input,promoted,,monitor,False,review_or_marginal_signal,review,watch,negative,0.9963737483321486,0.0036262516678513,1598044.0,1603860.0,pass,partial_pass,pass,,,,,,-0.0354335672422987,-0.0527486264890008,-3.7413448657380273,-5.827496476645592,,,-0.0528421015734512,0.0528421015734512,0.0528421015734512,0.3780095451602406,0.4380165289256198,,MIT,qlib_expression_adapter_pending,source_monitor,review_or_marginal_signal
multi_source_v1,alpha158_BETA30,alpha158,qlib_alpha158,alpha158_rolling_price,alpha158_adapter_pending,strict_screening_input,promoted,,monitor,False,review_or_marginal_signal,review,watch,negative,0.996386841744292,0.003613158255708,1598065.0,1603860.0,pass,partial_pass,pass,,,,,,-0.0521815573131442,-0.0738474157049278,-5.240696036151011,-7.584544325496671,,,-0.0740603875953562,0.0740603875953562,0.0740603875953562,0.4927804317008363,0.3815426997245179,,MIT,qlib_expression_adapter_pending,source_monitor,review_or_marginal_signal
multi_source_v1,alpha158_BETA60,alpha158,qlib_alpha158,alpha158_rolling_price,alpha158_adapter_pending,strict_screening_input,promoted,,monitor,False,review_or_marginal_signal,review,watch,negative,0.9964011821480678,0.0035988178519321,1598088.0,1603860.0,pass,partial_pass,pass,,,,,,-0.06370871315058,-0.081527679760541,-5.743318958355948,-7.3634679898949456,,,-0.0817002068852743,0.0817002068852743,0.0817002068852743,0.4781265393769224,0.3622589531680441,,MIT,qlib_expression_adapter_pending,source_monitor,review_or_marginal_signal
multi_source_v1,alpha158_CNTP20,alpha158,qlib_alpha158,alpha158_price_momentum_balance,alpha158_adapter_pending,strict_screening_input,promoted,,monitor,False,review_or_marginal_signal,review,watch,negative,1.0,0.0,1603860.0,1603860.0,pass,partial_pass,pass,,,,,,-0.0234046608027867,-0.0358229722152021,-3.006002954833836,-4.533542016194316,,,-0.0358561342315231,0.0358561342315231,0.0358561342315231,0.2938658815777343,0.453168044077135,,MIT,qlib_expression_adapter_pending,source_monitor,review_or_marginal_signal
multi_source_v1,alpha158_CORD10,alpha158,qlib_alpha158,alpha158_price_volume_correlation,alpha158_adapter_pending,strict_screening_input,promoted,,monitor,False,review_or_marginal_signal,review,watch,negative,0.9977441921364708,0.0022558078635291,1600242.0,1603860.0,pass,partial_pass,pass,,,,,,-0.0189091659054561,-0.0257499928468678,-2.8301874754335343,-3.792287739324924,,,-0.0257268498012388,0.0257268498012388,0.0257499928468678,0.2458175033411634,0.4352617079889807,low_monotonicity,MIT,qlib_expression_adapter_pending,source_monitor,review_or_marginal_signal
