check_id,status,detail
source_count,pass,sources=3
total_screening_rows,pass,rows=319
new_source_screening_rows,pass,new_source_rows=141
standard_columns,pass,columns=41
alpha_candidates_not_holdout,pass,alpha_candidates=14
holdout_visible,pass,holdouts=23
board_pool_alignment,pass,"board=319, pool=319"
