pool_name,factor,source_family,source_project,category,stage,screening_gate,promotion_decision,promotion_reason,role,included,pool_reason,judgement_label,expected_direction,consensus_direction,coverage,missing_rate,valid_rows,total_rows,alphalens_status,jqfactor_status,qlib_status,metric_value_count,alphalens_mean_ic_10d,alphalens_mean_ic_20d,jqfactor_mean_ic_10d,jqfactor_mean_ic_20d,qlib_mean_10d,qlib_mean_20d,qlib_information_ratio_10d,qlib_information_ratio_20d,alphalens_ann_alpha_10d,alphalens_ann_alpha_20d,primary_rank_ic,primary_abs_rank_ic,max_abs_rank_ic,max_abs_rank_icir,max_rank_ic_win_rate,issue_tags,license,compute_adapter,board_status,board_reason
multi_source_v1,alpha158_CNTN5,alpha158,qlib_alpha158,alpha158_price_momentum_balance,alpha158_adapter_pending,holdout,holdout,alphalens=partial_pass,holdout,False,evaluation_holdout,holdout,watch,positive,1.0,0.0,1603860,1603860,partial_pass,partial_pass,pass,,,,,,0.0095975731655033,0.0030819562894616,1.280323678899019,0.4216669242377043,,,0.0032148272717338,0.0032148272717338,0.0097172744690127,0.0839844607539272,0.5137741046831956,"high_turnover,unstable_context",MIT,qlib_expression_adapter_pending,holdout,kept_out_by_source_promotion_or_judgement_gate
multi_source_v1,alpha158_IMAX5,alpha158,qlib_alpha158,alpha158_rolling_price,alpha158_adapter_pending,holdout,holdout,alphalens=partial_pass,holdout,False,evaluation_holdout,holdout,watch,negative,0.9974636190191164,0.0025363809808836,1599792,1603860,partial_pass,partial_pass,pass,,,,,,-0.0102380254563501,-0.0043013702163481,-1.4186771089490686,-0.6113927620191713,,,-0.0043280094621073,0.0043280094621073,0.0103771628450867,0.0932406255552374,0.4862258953168044,"high_turnover,unstable_context",MIT,qlib_expression_adapter_pending,holdout,kept_out_by_source_promotion_or_judgement_gate
multi_source_v1,alpha158_RANK5,alpha158,qlib_alpha158,alpha158_rolling_price,alpha158_adapter_pending,holdout,holdout,alphalens=partial_pass,holdout,False,evaluation_holdout,holdout,watch,negative,0.9964080406020476,0.0035919593979524,1598099,1603860,partial_pass,partial_pass,pass,,,,,,-0.0099869714123605,-0.0059596206240507,-1.1706568042427208,-0.7318084467949314,,,-0.0060773014805827,0.0060773014805827,0.0101693276125096,0.0772328622972209,0.4917355371900826,"high_turnover,unstable_context",MIT,qlib_expression_adapter_pending,holdout,kept_out_by_source_promotion_or_judgement_gate
multi_source_v1,ta_volatility_bbli,ta,ta,ta_volatility,ta_adapter_v4_batch_holdout,holdout,holdout,alphalens_reloaded_partial:quantile_turnover,holdout,False,open_source_evaluator_holdout,holdout,watch,watch,1.0,0.0,21285,21285,partial_pass,partial_pass,pass,18.0,0.0283533486996665,0.0155887165531852,0.0283533486996665,0.0155887165531852,0.0280657401197629,0.0155820006772992,3.914257237699982,2.497804952962047,-0.0165526147182979,0.0276653531308155,,,,,,,MIT,factor_research.ta_source.compute_ta_features,holdout,kept_out_by_source_promotion_or_judgement_gate
multi_source_v1,ta_volatility_kchi,ta,ta,ta_volatility,ta_adapter_v4_batch_holdout,holdout,holdout,alphalens_reloaded_partial:quantile_turnover,holdout,False,open_source_evaluator_holdout,holdout,watch,watch,1.0,0.0,21285,21285,partial_pass,partial_pass,pass,18.0,-0.0019032004050288,0.0187791930312495,-0.0019032004050288,0.0187791930312495,-0.0013369512072302,0.0183987186694078,-0.1177044999835699,1.890614084665526,0.0648566567678083,0.0948732988469429,,,,,,,MIT,factor_research.ta_source.compute_ta_features,holdout,kept_out_by_source_promotion_or_judgement_gate
multi_source_v1,kunquant_alpha101_alpha001,alpha101,kunquant_alpha101,alpha101,alpha101_adapter_v4_batch_holdout,holdout,holdout,alphalens_reloaded_partial:quantile_turnover,holdout,False,open_source_evaluator_holdout,holdout,watch,watch,0.8662921348314607,0.1337078651685392,77100,89000,partial_pass,partial_pass,pass,18.0,0.0120766082296199,0.0181791963073342,0.0120766082296199,0.0181791963073342,0.0123496297506941,0.0184730098675745,1.4929874390749442,2.718069076209221,0.0752712737547882,0.0825529491857097,,,,,,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,holdout,kept_out_by_source_promotion_or_judgement_gate
multi_source_v1,kunquant_alpha101_alpha007,alpha101,kunquant_alpha101,alpha101,alpha101_adapter_v4_batch_holdout,holdout,holdout,alphalens_reloaded_partial:quantile_turnover,holdout,False,open_source_evaluator_holdout,holdout,watch,watch,0.7421797752808988,0.2578202247191011,66054,89000,partial_pass,partial_pass,pass,18.0,0.0242178038052547,0.0122085187522327,0.0242178038052547,0.0122085187522327,0.0240067984561177,0.010739924728601,2.983159035126612,1.704763520826024,0.0354566230877155,-0.0256793506790787,,,,,,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,holdout,kept_out_by_source_promotion_or_judgement_gate
multi_source_v1,kunquant_alpha101_alpha019,alpha101,kunquant_alpha101,alpha101,alpha101_adapter_zero_valid_holdout,holdout,holdout,,holdout,False,open_source_evaluator_holdout,holdout,watch,watch,0.0,1.0,0,89000,,,,,,,,,,,,,,,,,,,,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,holdout,kept_out_by_source_promotion_or_judgement_gate
multi_source_v1,kunquant_alpha101_alpha021,alpha101,kunquant_alpha101,alpha101,alpha101_adapter_v4_batch_holdout,holdout,holdout,alphalens_reloaded_not_run,holdout,False,open_source_evaluator_holdout,holdout,watch,watch,1.0,0.0,89000,89000,not_run,not_run,pass,,,,,,,,,,,,,,,,,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,holdout,kept_out_by_source_promotion_or_judgement_gate
multi_source_v1,kunquant_alpha101_alpha023,alpha101,kunquant_alpha101,alpha101,alpha101_adapter_v4_batch_holdout,holdout,holdout,alphalens_reloaded_not_run,holdout,False,open_source_evaluator_holdout,holdout,watch,watch,1.0,0.0,89000,89000,not_run,not_run,pass,,,,,,,,,,,,,,,,,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,holdout,kept_out_by_source_promotion_or_judgement_gate
