outer_split_id,factor,feature_order,source_family,cluster_id,is_representative,representative_score,split_importance,gain_importance,used_by_split,used_by_gain
split_001,alpha158_BETA10,0,alpha158,cluster_033,True,1.0,6,0.01180052588460967,True,True
split_001,alpha158_BETA5,1,alpha158,cluster_019,True,1.0,0,0.0,False,False
split_001,alpha158_CNTD30,2,alpha158,cluster_037,True,1.0,1,2.6914800400845706e-05,True,True
split_001,alpha158_CNTP60,3,alpha158,cluster_038,True,0.8666666666666666,32,0.06567494520189143,True,True
split_001,alpha158_CORD10,4,alpha158,cluster_009,True,1.0,4,0.004182591015705839,True,True
split_001,alpha158_CORD20,5,alpha158,cluster_040,True,1.0,3,0.002836862465073864,True,True
split_001,alpha158_CORD5,6,alpha158,cluster_010,True,1.0,2,0.0020204809843562543,True,True
split_001,alpha158_CORD60,7,alpha158,cluster_041,True,1.0,54,0.1498586573288776,True,True
split_001,alpha158_CORR10,8,alpha158,cluster_015,True,1.0,6,0.011303083156235516,True,True
split_001,alpha158_CORR20,9,alpha158,cluster_016,True,1.0,18,0.03678057487013575,True,True
split_001,alpha158_CORR5,10,alpha158,cluster_011,True,1.0,5,0.005937353067565709,True,True
split_001,alpha158_HIGH0,11,alpha158,cluster_004,True,1.0,0,0.0,False,False
split_001,alpha158_IMIN20,12,alpha158,cluster_032,True,1.0,6,0.015351143840234727,True,True
split_001,alpha158_KLEN,13,alpha158,cluster_003,True,1.0,16,0.06781542021781206,True,True
split_001,alpha158_KLOW,14,alpha158,cluster_007,True,1.0,0,0.0,False,False
split_001,alpha158_KMID,15,alpha158,cluster_021,True,0.8666666666666666,0,0.0,False,False
split_001,alpha158_KUP,16,alpha158,cluster_006,True,1.0,1,0.0003610010026022792,True,True
split_001,alpha158_LOW0,17,alpha158,cluster_020,True,1.0,0,0.0,False,False
split_001,alpha158_MAX5,18,alpha158,cluster_005,True,1.0,3,0.013418840011581779,True,True
split_001,alpha158_MIN10,19,alpha158,cluster_030,True,1.0,1,1.978050022444222e-05,True,True
split_001,alpha158_QTLD60,20,alpha158,cluster_036,True,1.0,25,0.21784862750700995,True,True
split_001,alpha158_RSQR30,21,alpha158,cluster_044,True,0.8666666666666666,39,0.137013676980132,True,True
split_001,alpha158_VMA30,22,alpha158,cluster_025,True,1.0,0,0.0,False,False
split_001,alpha158_VMA60,23,alpha158,cluster_028,True,1.0,2,0.0035279900766909122,True,True
split_001,alpha158_VSUMD60,24,alpha158,cluster_027,True,1.0,2,0.0012153999996371567,True,True
split_001,alpha360_LOW1,25,alpha360,cluster_022,True,1.0,2,0.003363747033290565,True,True
split_001,alpha360_VOLUME13,26,alpha360,cluster_026,True,1.0,0,0.0,False,False
split_001,amount_cv_20,27,project_basic,cluster_018,True,1.0,35,0.13483924345928244,True,True
split_001,amount_std_20,28,project_basic,cluster_001,True,1.0,180,6.942045219637066,True,True
split_001,corr_ret_amount_20,29,project_basic,cluster_039,True,0.8666666666666666,18,0.04772196822159458,True,True
split_001,kunquant_alpha101_alpha003,30,alpha101,cluster_017,True,1.0,4,0.0036809759330935776,True,True
split_001,kunquant_alpha101_alpha011,31,alpha101,cluster_002,True,0.8666666666666666,13,0.03143517975695431,True,True
split_001,kunquant_alpha101_alpha012,32,alpha101,cluster_008,True,1.0,0,0.0,False,False
split_001,kunquant_alpha101_alpha013,33,alpha101,cluster_012,True,1.0,14,0.03277558006811887,True,True
split_001,kunquant_alpha101_alpha020,34,alpha101,cluster_045,True,0.8666666666666666,2,0.001977071980945766,True,True
split_001,kunquant_alpha101_alpha029,35,alpha101,cluster_043,True,1.0,0,0.0,False,False
split_001,kunquant_alpha101_alpha034,36,alpha101,cluster_023,True,0.8666666666666666,0,0.0,False,False
split_001,kunquant_alpha101_alpha050,37,alpha101,cluster_013,True,1.0,2,0.0033056620159186423,True,True
split_001,kunquant_alpha101_alpha055,38,alpha101,cluster_014,True,1.0,1,0.00064387999009341,True,True
split_001,kunquant_alpha101_alpha062,39,alpha101,cluster_042,True,1.0,0,0.0,False,False
split_001,kunquant_alpha101_alpha094,40,alpha101,cluster_031,True,1.0,3,0.011372999753803015,True,True
split_001,ta_trend_mass_index,41,ta,cluster_029,True,1.0,115,0.5214495676218576,True,True
split_001,ta_volatility_bbhi,42,ta,cluster_024,True,1.0,0,0.0,False,False
split_001,ta_volume_cmf,43,ta,cluster_035,True,1.0,32,0.07900592762780434,True,True
split_001,ta_volume_sma_em,44,ta,cluster_034,True,0.8666666666666666,61,0.18241863211719367,True,True
split_001,kunquant_alpha101_alpha004,45,alpha101,cluster_019,False,1.0,5,0.0158511099871248,True,True
split_001,kunquant_alpha101_alpha015,46,alpha101,cluster_012,False,1.0,2,0.0011753430007956922,True,True
split_001,kunquant_alpha101_alpha016,47,alpha101,cluster_012,False,1.0,9,0.01489373215008527,True,True
split_001,kunquant_alpha101_alpha033,48,alpha101,cluster_021,False,0.8666666666666666,9,0.03311833995394409,True,True
split_001,kunquant_alpha101_alpha035,49,alpha101,cluster_019,False,1.0,1,0.00317031005397439,True,True
split_001,kunquant_alpha101_alpha040,50,alpha101,cluster_015,False,1.0,16,0.05503934537409805,True,True
split_001,kunquant_alpha101_alpha044,51,alpha101,cluster_011,False,1.0,5,0.003967492055380717,True,True
split_001,kunquant_alpha101_alpha045,52,alpha101,cluster_008,False,1.0,1,0.00016237499949056655,True,True
split_001,kunquant_alpha101_alpha083,53,alpha101,cluster_001,False,1.0,32,0.30851803746190853,True,True
split_001,kunquant_alpha101_alpha084,54,alpha101,cluster_019,False,1.0,0,0.0,False,False
split_001,kunquant_alpha101_alpha088,55,alpha101,cluster_003,False,1.0,64,0.6795276537304744,True,True
split_001,kunquant_alpha101_alpha101,56,alpha101,cluster_021,False,0.8666666666666666,3,0.0052015099572599865,True,True
split_001,alpha158_BETA20,57,alpha158,cluster_033,False,1.0,8,0.01809511985629797,True,True
split_001,alpha158_BETA30,58,alpha158,cluster_033,False,1.0,18,0.07834278012160212,True,True
split_001,alpha158_BETA60,59,alpha158,cluster_036,False,0.8666666666666666,15,0.03084291674895212,True,True
split_001,alpha158_CNTP20,60,alpha158,cluster_037,False,1.0,13,0.020642468403821113,True,True
split_001,alpha158_CNTP30,61,alpha158,cluster_037,False,1.0,0,0.0,False,False
split_001,alpha158_CORD30,62,alpha158,cluster_040,False,1.0,54,0.14116238275710202,True,True
split_001,alpha158_IMAX20,63,alpha158,cluster_033,False,1.0,1,0.0013962900266051292,True,True
split_001,alpha158_IMAX30,64,alpha158,cluster_033,False,1.0,2,0.004947650013491511,True,True
split_001,alpha158_IMAX60,65,alpha158,cluster_036,False,0.8666666666666666,27,0.08588496960146585,True,True
split_001,alpha158_IMIN30,66,alpha158,cluster_032,False,0.8666666666666666,43,0.20904854325272026,True,True
split_001,alpha158_IMXD20,67,alpha158,cluster_033,False,1.0,30,0.10379924671724439,True,True
