outer_split_id,cost_scenario_bps,comparison_role,policy_id,total_return,sharpe_ratio,information_ratio,max_drawdown,annualized_turnover,cost_drag,prediction_coverage
split_001,0.0,A,strict_current_baseline,0.4398552711059351,3.0378775801273203,3.469274010167592,-0.0958768060350396,71.48291931423115,0.033903542381682,0.9969664391496028
split_001,0.0,D,all_existing_stable_core,0.4251828637720154,2.7717333365041097,3.24308758698879,-0.0827236496517295,53.096391721279616,0.0248168918655574,0.9969664391496028
split_001,0.0,D_minus_A,D_minus_A,-0.014672407333919668,-0.26614424362321065,-0.226186423178802,0.013153156383310105,-18.386527592951538,-0.0090866505161246,0.0
split_002,0.0,A,strict_current_baseline,0.2289555007978536,2.884472707709651,1.9897284616090705,-0.0655993943449487,67.60715351738695,0.0289968845119217,0.9953051643192488
split_002,0.0,D,all_existing_stable_core,0.1214542935351188,2.049449310318324,0.3435687785937519,-0.0744758753220266,60.85514531395644,0.0247007284543439,0.9953051643192488
split_002,0.0,D_minus_A,D_minus_A,-0.1075012072627348,-0.835023397391327,-1.6461596830153185,-0.008876480977077897,-6.752008203430506,-0.004296156057577799,0.0
split_003,0.0,A,strict_current_baseline,0.0685244448515984,1.955786860020204,-1.3746100974839803,-0.0356899224059187,64.29233570635152,0.0259770171290802,0.9964551877661634
split_003,0.0,D,all_existing_stable_core,0.0602495387294179,1.6319369833467596,-1.4966905125794432,-0.0464457676351077,47.06431149310762,0.0188463943018796,0.9964551877661634
split_003,0.0,D_minus_A,D_minus_A,-0.008274906122180507,-0.32384987667344434,-0.12208041509546286,-0.010755845229189001,-17.228024213243906,-0.007130622827200599,0.0
split_001,10.0,A,strict_current_baseline,0.3927462238186969,2.7866206044073483,2.9897926283678733,-0.1011758602728406,71.53626268603138,0.0754977099308934,0.9969664391496028
split_001,10.0,D,all_existing_stable_core,0.3905509836544614,2.598950659272531,2.934493800740916,-0.085266943191526,53.13017309974013,0.055546792066508,0.9969664391496028
split_001,10.0,D_minus_A,D_minus_A,-0.0021952401642355013,-0.18766994513481716,-0.05529882762695726,0.015908917081314602,-18.40608958629125,-0.019950917864385402,0.0
split_002,10.0,A,strict_current_baseline,0.1891703794770785,2.48253827092728,1.42449468397151,-0.0693871252937761,67.65967050014174,0.064658770813588,0.9953051643192488
split_002,10.0,D,all_existing_stable_core,0.0885744471640592,1.6241107740845138,-0.1575659772018209,-0.082940263719848,60.905951804487046,0.055230212913608,0.9953051643192488
split_002,10.0,D_minus_A,D_minus_A,-0.10059593231301929,-0.8584274968427663,-1.582060661173331,-0.013553138426071906,-6.7537186956546975,-0.009428557899980004,0.0
split_003,10.0,A,strict_current_baseline,0.035691730290619,1.3046064690496142,-1.8607744163472089,-0.043262522086384,64.33442164213584,0.0580189686925404,0.9964551877661634
split_003,10.0,D,all_existing_stable_core,0.0361858767649261,1.15542710501989,-1.826538856293775,-0.0537019552302446,47.10976864657048,0.0423461906350205,0.9964551877661634
split_003,10.0,D_minus_A,D_minus_A,0.0004941464743071014,-0.1491793640297241,0.03423556005343387,-0.010439433143860595,-17.224652995565357,-0.015672778057519897,0.0
split_001,20.0,A,strict_current_baseline,0.3472310245424128,2.535204723872077,2.506721285294655,-0.1089920040074959,71.56610660468293,0.1157045851039626,0.9969664391496028
split_001,20.0,D,all_existing_stable_core,0.3566213422351389,2.4255635764819345,2.61972009708717,-0.0891708769314759,53.14015914843749,0.0855018987333749,0.9969664391496028
split_001,20.0,D_minus_A,D_minus_A,0.009390317692726136,-0.10964114739014263,0.1129988117925147,0.01982112707601999,-18.42594745624544,-0.030202686370587706,0.0
split_002,20.0,A,strict_current_baseline,0.1505448321670877,2.0787049182151494,0.857819971078852,-0.0786304791747422,67.67229392311222,0.0991615104731419,0.9953051643192488
split_002,20.0,D,all_existing_stable_core,0.0564608268261692,1.192569123223853,-0.6593582730577326,-0.0914213181082145,60.926705899206496,0.0848756254231306,0.9953051643192488
split_002,20.0,D_minus_A,D_minus_A,-0.09408400534091849,-0.8861357949912965,-1.5171782441365846,-0.012790838933472298,-6.745588023905725,-0.014285885050011299,0.0
split_003,20.0,A,strict_current_baseline,0.0035655296357088,0.6415501333825417,-2.344249493180701,-0.060697132392686,64.38228284983101,0.0891505359768279,0.9964551877661634
split_003,20.0,D,all_existing_stable_core,0.0126259546639322,0.678394932032365,-2.152341764391084,-0.0679317600082528,47.12546245551329,0.0653324730570405,0.9964551877661634
split_003,20.0,D_minus_A,D_minus_A,0.0090604250282234,0.03684479864982326,0.19190772878961715,-0.007234627615566792,-17.25682039431772,-0.0238180629197874,0.0
