scenario,scenario_type,factor,issue_tags,start_date,end_date,trading_days,rebalance_count,executed_rebalances,skipped_rebalances,skipped_rebalance_rate,gross_annualized_return,net_annualized_return,universe_annualized_return,gross_annualized_excess,net_annualized_excess,gross_excess_ir,net_excess_ir,net_max_drawdown,average_turnover,max_turnover,average_eligible_count,average_selected_count,label,topk,rebalance_every,cost_bps,min_liquidity_bucket,min_tradability_score,min_capacity_multiple,candidate_count
alpha158_MIN60,single_factor,alpha158_MIN60,,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.15760873863956415,0.14724002745816867,0.23764280071819543,-0.08132334309323053,-0.08947660594309914,-0.5739880149196346,-0.6417844740569765,-0.14147084385840525,0.7082142857142858,1.0,1071.2857142857142,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_QTLD60,single_factor,alpha158_QTLD60,,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.26696893501574803,0.25423920595595684,0.23764280071819543,0.020528604068932088,0.010375150189888993,0.22540772093915423,0.1449458501576078,-0.1625601425882841,0.7942857142857144,1.0,1071.2857142857142,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_ROC60,single_factor,alpha158_ROC60,,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.3114174270797525,0.2999793703427125,0.23752738878080248,0.061221816110737626,0.05204765305609049,0.5307481429895181,0.4627439898377146,-0.23033096230683037,0.6903571428571429,1.0,1069.6785714285713,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_MIN30,single_factor,alpha158_MIN30,,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.16624554219920862,0.1542020126964836,0.23764280071819543,-0.07165713051001066,-0.08115686340121386,-0.5396948424686748,-0.623537806980015,-0.1307681864515432,0.8171428571428571,1.0,1071.2857142857142,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_ROC30,single_factor,alpha158_ROC30,,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.28579830708769327,0.2719655177225584,0.23833336955926843,0.04302154698560057,0.031904496958125916,0.4018510842528403,0.3152087572573653,-0.18753635951913217,0.8496428571428573,1.0,1069.75,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_QTLD30,single_factor,alpha158_QTLD30,,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.24814226042208043,0.2341578992260993,0.23764280071819543,0.006990925837558226,-0.004182870243125025,0.11787902253358949,0.026421403922148187,-0.16560248510390196,0.8853571428571428,1.0,1071.2857142857142,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_IMIN60,single_factor,alpha158_IMIN60,,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.19427293347881003,0.1822613985839321,0.23764280071819543,-0.039272509423663116,-0.04885227367654543,-0.31642964582971894,-0.41000360210436515,-0.25467190763176606,0.7967857142857142,1.0,1071.2857142857142,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_MIN10,single_factor,alpha158_MIN10,,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.16620853196859953,0.15333412752284636,0.23764280071819543,-0.06950515750158426,-0.07968939899698335,-0.5820577737364206,-0.6807422279260418,-0.14746226331928736,0.8746428571428572,1.0,1071.2857142857142,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_IMIN30,single_factor,alpha158_IMIN30,,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.24227294111605713,0.22818408061833684,0.23764280071819543,0.0017530278923238996,-0.009502725779501953,0.06385438871262177,-0.06410332746517403,-0.17124891692918887,0.8971428571428571,1.0,1071.2857142857142,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
alpha158_MIN5,single_factor,alpha158_MIN5,low_monotonicity,2024-02-01,2026-06-02,560,30,28,2,0.06666666666666667,0.14959483609089252,0.1369235685097796,0.23764280071819543,-0.08257864402374271,-0.0926070696002137,-0.7380749011679791,-0.8403508853655672,-0.15394198175324414,0.8732142857142857,1.0,1071.2857142857142,100.0,label_20d_t1,100,20,10.0,3,75.0,2.0,1
