field,instrument_count,feature_instrument_count,file_presence_rate
adjclose,6106,6106,1.0
amount,6106,6106,1.0
change,6106,6106,1.0
close,6106,6106,1.0
factor,6106,6106,1.0
high,6106,6106,1.0
low,6106,6106,1.0
open,6106,6106,1.0
volume,6106,6106,1.0
vwap,6106,6106,1.0
