api,parameters_json,retrieval_time,row_count,raw_path,raw_sha256,status
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241202""}",2026-08-08T15:45:01.550620+00:00,5362,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241202.parquet,d7f1867a71a74292b7c73f87aa0cd5233fdb7d5e42554b9944898bf1199f4053,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241203""}",2026-08-08T15:45:02.153292+00:00,5362,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241203.parquet,ef9e6e981414820979816d5be3f37688c6ad7645c1e29c4d7a1213a5bce40762,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241204""}",2026-08-08T15:45:02.790464+00:00,5362,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241204.parquet,9e25d6bfdc791ab9ae390cd271686e9603224f22ced4ac7ffbcfeeaa4eead247,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241205""}",2026-08-08T15:45:03.404759+00:00,5366,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241205.parquet,dbb80c8ff9ed599eb4ed0dababf5ae16f756cb980127e5b88171bc76487ff795,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241206""}",2026-08-08T15:45:04.004238+00:00,5364,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241206.parquet,c2a551c49d58769d51f2ba44e6bbe14e20ccb946a66a8b72f531fdf80e2960bc,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241209""}",2026-08-08T15:45:04.605592+00:00,5362,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241209.parquet,32538614af202a9c7fc23caf7e218850327fcf728881d9e5cf7f3fd5b01f488c,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241210""}",2026-08-08T15:45:05.220520+00:00,5365,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241210.parquet,937fef50a653d7fa6c7ba4b9b28d243d68261dab9edd2a12cad592bb0dde0caf,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241211""}",2026-08-08T15:45:05.836272+00:00,5366,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241211.parquet,7a624d98532312b087fe46c9bb9417235643a698fdcc998d58d798d69e139f14,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241212""}",2026-08-08T15:45:06.444398+00:00,5367,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241212.parquet,13833facdf294e002341db78c9bd072396aeda9b9f1f3441e01311928e97c714,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241213""}",2026-08-08T15:45:07.036864+00:00,5366,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241213.parquet,1b46c0b04d2fda11077cb8f2263b290ee2af84a5b135af8bc5500b008de5b568,pass
