api,segment,row_count,data_sha256,cache_hit,cache_root
daily_basic,20100126,1667,1515b5ef8bfc93996828bfe7560a88d2bbaba557826ef05cce742560c0782d00,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100126,1664,9f523ea74b528dd3ec797d4390e9745e3a1c73889a89f6aa2315bd7a02f068e9,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100127,1669,983b7c44a5a5077b73065e9027ea6291e1ac0b111f9521b882ecff500a7c12d7,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100127,1666,b6ede5b4217770d984fc3a41e8755285fbca12ed972ecd29c15afac8568f358f,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100128,1661,1fe7563cc4e2670e8d3f07af0b8577ec05640ead1123bea76ada830176879e5b,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100128,1658,21d57764bb9fd7dc1427cec2116b7e97a2115a92d0c81df0c1fe0e6529ab06fa,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100129,1664,b12ba4721ec2fbc5ff6797b1554dbedfbc44c0b340b49a67a07355acad31a833,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100129,1661,5c8d098ab632f873e03f25e7fab0cc45dfe0799bd31bb5f02301b8c1ee65771f,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100201,1661,489708e6b87396d5bb6d2db1c959aff432150ce5a36ec2e57bed4a54b9575352,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100201,1658,87993323bd16baccc5157abe3ae588d72f22addecb1ad3b08d4d797a183f0f39,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100202,1673,144189be49bf7ac9ed38bde8758989b96fca24572f0129d91bd63cfd137fad5b,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100202,1670,2e9efd99056de53de74aa1ed635f8f9871d8485329837b3a605d105eda2d5e14,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100203,1670,caa61c0b1f8092dcd11952b980dc3fcd4d792a9b57089c7f097be246973e18c2,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100203,1667,06a2e1e3566e2f96fda51234f9b3360c1029c48137da615a838029d7326d7035,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100204,1683,be2a2d443e7d7a2b7bc95de5941bd6aef60caa422115d1d457dff31aa2033e60,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
