api,ts_code,offset,page_size,row_count,terminal,elapsed_seconds,status
income,002564.SZ,0,100,55,True,0.1061093999996956,pass
balancesheet,002564.SZ,0,100,70,True,0.06744940000135102,pass
cashflow,002564.SZ,0,100,52,True,0.1114142999977048,pass
income,002565.SZ,0,100,52,True,0.11091859999942244,pass
balancesheet,002565.SZ,0,100,69,True,0.07246909999958007,pass
cashflow,002565.SZ,0,100,51,True,0.08300139999846579,pass
income,002566.SZ,0,100,55,True,0.09350249999988591,pass
balancesheet,002566.SZ,0,100,68,True,0.15228840000054333,pass
cashflow,002566.SZ,0,100,51,True,0.08091539999804809,pass
income,002567.SZ,0,100,52,True,0.21625309999944875,pass
balancesheet,002567.SZ,0,100,68,True,0.0853239999996731,pass
cashflow,002567.SZ,0,100,49,True,0.08098320000135573,pass
income,002568.SZ,0,100,52,True,0.08344759999818052,pass
balancesheet,002568.SZ,0,100,65,True,0.09446109999771579,pass
cashflow,002568.SZ,0,100,48,True,0.07641839999996591,pass
income,002569.SZ,0,100,51,True,0.10090990000026068,pass
balancesheet,002569.SZ,0,100,67,True,0.1433275000017602,pass
cashflow,002569.SZ,0,100,51,True,0.07042360000195913,pass
income,002570.SZ,0,100,52,True,0.06817159999991418,pass
balancesheet,002570.SZ,0,100,69,True,0.08242000000245753,pass
cashflow,002570.SZ,0,100,51,True,0.10136609999972279,pass
income,002571.SZ,0,100,54,True,0.09936179999931483,pass
balancesheet,002571.SZ,0,100,68,True,0.07527699999991455,pass
cashflow,002571.SZ,0,100,49,True,0.07174060000033933,pass
income,002572.SZ,0,100,52,True,0.11257439999826602,pass
balancesheet,002572.SZ,0,100,65,True,0.10207360000276822,pass
cashflow,002572.SZ,0,100,48,True,0.08010709999871324,pass
income,002573.SZ,0,100,54,True,0.09292049999930896,pass
balancesheet,002573.SZ,0,100,72,True,0.10484730000098352,pass
cashflow,002573.SZ,0,100,51,True,0.06996590000198921,pass
income,002574.SZ,0,100,52,True,0.06974590000027092,pass
balancesheet,002574.SZ,0,100,65,True,0.17042799999762792,pass
cashflow,002574.SZ,0,100,50,True,0.07912740000028862,pass
income,002575.SZ,0,100,51,True,0.08371569999872008,pass
balancesheet,002575.SZ,0,100,65,True,0.087501500001963,pass
cashflow,002575.SZ,0,100,48,True,0.09049480000248877,pass
income,002576.SZ,0,100,53,True,0.09999830000015208,pass
balancesheet,002576.SZ,0,100,67,True,0.15850859999773093,pass
cashflow,002576.SZ,0,100,49,True,0.07017520000226796,pass
income,002577.SZ,0,100,55,True,0.08255839999765158,pass
balancesheet,002577.SZ,0,100,70,True,0.17746290000286535,pass
cashflow,002577.SZ,0,100,51,True,0.11333039999954053,pass
income,002578.SZ,0,100,53,True,0.10806550000052084,pass
balancesheet,002578.SZ,0,100,65,True,0.10984910000115633,pass
cashflow,002578.SZ,0,100,48,True,0.1461502999991353,pass
income,002579.SZ,0,100,52,True,0.10421320000023115,pass
balancesheet,002579.SZ,0,100,65,True,0.08087019999948097,pass
cashflow,002579.SZ,0,100,48,True,0.09332300000096438,pass
income,002580.SZ,0,100,54,True,0.08028480000211857,pass
balancesheet,002580.SZ,0,100,67,True,0.07705439999699593,pass
cashflow,002580.SZ,0,100,52,True,0.07950870000058785,pass
income,002581.SZ,0,100,51,True,0.08290050000141491,pass
balancesheet,002581.SZ,0,100,67,True,0.10119159999885596,pass
cashflow,002581.SZ,0,100,49,True,0.07008769999811193,pass
income,002582.SZ,0,100,53,True,0.06785950000266894,pass
balancesheet,002582.SZ,0,100,65,True,0.08641530000022613,pass
cashflow,002582.SZ,0,100,50,True,0.06873220000125002,pass
income,002583.SZ,0,100,53,True,0.10335280000072089,pass
balancesheet,002583.SZ,0,100,65,True,0.10302940000110539,pass
cashflow,002583.SZ,0,100,48,True,0.06925480000063544,pass
income,002584.SZ,0,100,52,True,0.08287999999811291,pass
balancesheet,002584.SZ,0,100,65,True,0.08138449999751174,pass
cashflow,002584.SZ,0,100,49,True,0.11552410000149393,pass
income,002585.SZ,0,100,50,True,0.08938009999837959,pass
balancesheet,002585.SZ,0,100,67,True,0.09725350000007893,pass
cashflow,002585.SZ,0,100,49,True,0.11278229999879841,pass
income,002586.SZ,0,100,54,True,0.235032600001432,pass
balancesheet,002586.SZ,0,100,66,True,0.0711278000017046,pass
cashflow,002586.SZ,0,100,52,True,0.09546289999707369,pass
income,002587.SZ,0,100,53,True,0.07800209999913932,pass
balancesheet,002587.SZ,0,100,64,True,0.07077480000225478,pass
cashflow,002587.SZ,0,100,50,True,0.07875079999939771,pass
income,002588.SZ,0,100,53,True,0.10680289999800152,pass
balancesheet,002588.SZ,0,100,65,True,0.08231779999914579,pass
cashflow,002588.SZ,0,100,50,True,0.14651570000205538,pass
income,002589.SZ,0,100,53,True,0.08293830000184244,pass
balancesheet,002589.SZ,0,100,67,True,0.08799169999838341,pass
cashflow,002589.SZ,0,100,52,True,0.10162499999933061,pass
income,002590.SZ,0,100,53,True,0.08423079999920446,pass
balancesheet,002590.SZ,0,100,65,True,0.09049229999800446,pass
cashflow,002590.SZ,0,100,48,True,0.06071259999953327,pass
income,002591.SZ,0,100,56,True,0.08048259999850416,pass
balancesheet,002591.SZ,0,100,69,True,0.07593730000007781,pass
cashflow,002591.SZ,0,100,53,True,0.08036519999950542,pass
income,002592.SZ,0,100,50,True,0.06961600000067847,pass
balancesheet,002592.SZ,0,100,64,True,0.08381569999983185,pass
cashflow,002592.SZ,0,100,48,True,0.08633479999843985,pass
income,002593.SZ,0,100,54,True,0.07322310000017751,pass
balancesheet,002593.SZ,0,100,70,True,0.08445449999999255,pass
cashflow,002593.SZ,0,100,53,True,0.0712974000016402,pass
income,002594.SZ,0,100,55,True,0.08633750000080909,pass
balancesheet,002594.SZ,0,100,67,True,0.08638689999861526,pass
cashflow,002594.SZ,0,100,51,True,0.08349899999666377,pass
income,002595.SZ,0,100,56,True,0.08536289999756264,pass
balancesheet,002595.SZ,0,100,69,True,0.08736220000355388,pass
cashflow,002595.SZ,0,100,53,True,0.0822109000000637,pass
income,002596.SZ,0,100,55,True,0.0801577999991423,pass
balancesheet,002596.SZ,0,100,67,True,0.07178339999882155,pass
cashflow,002596.SZ,0,100,52,True,0.07821120000153314,pass
income,002597.SZ,0,100,52,True,0.06818289999864646,pass
balancesheet,002597.SZ,0,100,65,True,0.06506520000039018,pass
cashflow,002597.SZ,0,100,47,True,0.08591420000084327,pass
income,002598.SZ,0,100,52,True,0.10366120000253431,pass
balancesheet,002598.SZ,0,100,63,True,0.08235490000151913,pass
cashflow,002598.SZ,0,100,48,True,0.07830269999976736,pass
income,002599.SZ,0,100,53,True,0.12352249999821652,pass
balancesheet,002599.SZ,0,100,69,True,0.0776689999984228,pass
cashflow,002599.SZ,0,100,49,True,0.07978770000045188,pass
income,002600.SZ,0,100,55,True,0.07520060000024387,pass
balancesheet,002600.SZ,0,100,67,True,0.06567539999741712,pass
cashflow,002600.SZ,0,100,52,True,0.08281429999988177,pass
income,002601.SZ,0,100,54,True,0.06734140000116895,pass
balancesheet,002601.SZ,0,100,64,True,0.09766219999801251,pass
cashflow,002601.SZ,0,100,49,True,0.06702140000197687,pass
income,002602.SZ,0,100,52,True,0.07878309999796329,pass
balancesheet,002602.SZ,0,100,65,True,0.08114059999934398,pass
cashflow,002602.SZ,0,100,50,True,0.08185190000222065,pass
income,002603.SZ,0,100,51,True,0.0819658000000345,pass
balancesheet,002603.SZ,0,100,66,True,0.06703059999927063,pass
cashflow,002603.SZ,0,100,51,True,0.08843179999894346,pass
income,002604.SZ,0,100,45,True,0.11672960000214516,pass
balancesheet,002604.SZ,0,100,64,True,0.08781830000225455,pass
cashflow,002604.SZ,0,100,47,True,0.0996631999987585,pass
income,002605.SZ,0,100,51,True,0.08757429999968736,pass
balancesheet,002605.SZ,0,100,64,True,0.06355180000173277,pass
cashflow,002605.SZ,0,100,48,True,0.11916550000023562,pass
income,002606.SZ,0,100,50,True,0.1100341000019398,pass
balancesheet,002606.SZ,0,100,67,True,0.07957879999958095,pass
cashflow,002606.SZ,0,100,47,True,0.08483089999936055,pass
income,002607.SZ,0,100,51,True,0.08815889999823412,pass
balancesheet,002607.SZ,0,100,64,True,0.0918677999979991,pass
cashflow,002607.SZ,0,100,49,True,0.08213819999946281,pass
income,002608.SZ,0,100,52,True,0.08071529999870108,pass
balancesheet,002608.SZ,0,100,64,True,0.08238349999737693,pass
cashflow,002608.SZ,0,100,47,True,0.08567559999937657,pass
income,002609.SZ,0,100,51,True,0.07968400000027032,pass
balancesheet,002609.SZ,0,100,68,True,0.09264279999842984,pass
cashflow,002609.SZ,0,100,48,True,0.08607549999942421,pass
income,002610.SZ,0,100,51,True,0.10826779999842984,pass
balancesheet,002610.SZ,0,100,64,True,0.07975290000103996,pass
cashflow,002610.SZ,0,100,49,True,0.10015500000008615,pass
income,002611.SZ,0,100,52,True,0.08388339999874006,pass
balancesheet,002611.SZ,0,100,66,True,0.08393810000052326,pass
cashflow,002611.SZ,0,100,50,True,0.08186709999790764,pass
income,002612.SZ,0,100,49,True,0.08513679999668966,pass
balancesheet,002612.SZ,0,100,64,True,0.08450920000177575,pass
cashflow,002612.SZ,0,100,46,True,0.08360280000124476,pass
income,002613.SZ,0,100,52,True,0.08061230000021169,pass
balancesheet,002613.SZ,0,100,65,True,0.08070560000123805,pass
cashflow,002613.SZ,0,100,49,True,0.08116529999824706,pass
income,002614.SZ,0,100,53,True,0.07762309999816353,pass
balancesheet,002614.SZ,0,100,68,True,0.08363700000336394,pass
cashflow,002614.SZ,0,100,51,True,0.0835162000003038,pass
income,002615.SZ,0,100,53,True,0.1156793000009202,pass
