parent_role,manifest_path,stage_id,artifact_id,artifact_status,lineage_status,direct_parent
split_001,E:/qlib_prj/qlib_baseline/outputs/research_lightgbm_v1/split_001/artifact_manifest.json,research_lightgbm_v1,research_lightgbm_v1:89bac687d4f64c29e34514844c8bf396d9f91170b84f9802a97ce14982bfa59f,pass,complete,True
remaining,E:/qlib_prj/qlib_baseline/outputs/research_lightgbm_v1/remaining/artifact_manifest.json,research_lightgbm_v1,research_lightgbm_v1:e1167fc2aef3c65f12a8addfbcfb1d55a62a2526fdcd36abd4ba123f7014cee9,pass,complete,True
