source_evidence,outer_split_id,method,importance_type,factor,feature_order,importance,selection_authority
split_001,split_001,lightgbm,split,alpha360_LOW1,25,221.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha360_VOLUME13,26,101.0,diagnostic_only
split_001,split_001,lightgbm,split,amount_cv_20,27,412.0,diagnostic_only
split_001,split_001,lightgbm,split,amount_std_20,28,624.0,diagnostic_only
split_001,split_001,lightgbm,split,corr_ret_amount_20,29,384.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha003,30,153.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha011,31,153.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha012,32,72.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha013,33,172.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha020,34,74.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha029,35,156.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha034,36,68.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha050,37,223.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha055,38,128.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha062,39,31.0,diagnostic_only
split_001,split_001,lightgbm,split,kunquant_alpha101_alpha094,40,227.0,diagnostic_only
split_001,split_001,lightgbm,split,ta_trend_mass_index,41,765.0,diagnostic_only
split_001,split_001,lightgbm,split,ta_volatility_bbhi,42,25.0,diagnostic_only
split_001,split_001,lightgbm,split,ta_volume_cmf,43,372.0,diagnostic_only
split_001,split_001,lightgbm,split,ta_volume_sma_em,44,534.0,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_CNTP10,0,0.0,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_CNTP5,1,0.0119107799837365,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_CORD10,2,0.019432189874351,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_CORD20,3,0.0725929746986366,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_CORD5,4,0.0,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_CORR5,5,0.0122106458293274,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_HIGH0,6,0.0271632701624184,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_IMAX10,7,0.1130535297561436,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_IMAX20,8,0.3084116096142679,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_IMAX60,9,0.1979062905302271,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_IMIN5,10,0.0072956101503223,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_KLEN,11,6.095687311375514,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_KLOW,12,0.1614212789572775,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_KUP,13,0.0594932390376925,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_LOW0,14,0.0091431597247719,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_MIN10,15,0.7237985989195295,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_STD10,16,1.2966016432037577,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_VMA60,17,0.1017277056816965,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_VSTD5,18,0.0024438900873064,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_VSUMD20,19,0.0469880003947764,diagnostic_only
remaining,split_002,lightgbm,gain,alpha158_VSUMD60,20,0.2141124573536217,diagnostic_only
remaining,split_002,lightgbm,gain,alpha360_HIGH34,21,5.119483593152836,diagnostic_only
remaining,split_002,lightgbm,gain,alpha360_LOW1,22,0.1049678375056828,diagnostic_only
remaining,split_002,lightgbm,gain,amount_cv_20,23,0.3767046129796654,diagnostic_only
