source_evidence,outer_split_id,method,model_binary_sha256,model_config_sha256,training_data_sha256,validation_search_sha256,fit_row_count,runtime_path
split_001,split_001,lightgbm,fcccff00d8577ba1fc7e77ad8afaab83fc39ae1ea53b9ec21995bb9ccb2d7bca,4d0d45d1dce879117c199516e7c82d3c5f1f0a4520cbce826492afc24c951dc2,7c18e0ee8574c95a6d8f129afa411d2c29c32761b2a8bd39c822ec5e1ece28b0,245e44e4598f4f48a5cb812cd025caff02749e814d49185bcaa30ec4866d4b73,1525954,E:/qlib_prj/qlib_baseline/outputs/research_lightgbm_v1/runtime/development/models/split_001_lightgbm.txt
remaining,split_002,lightgbm,a712f4b17af078c637dccda6e0ab196944c4df358f67403de5c2c11c484054e9,ccb6ad87835f6ecbb1dadb5a3f79305d19eaabb68a7356940d9e1ebdcf9762ce,3db5a32f7f837296947d58c8998707ac664d2b10cff8fc7d0f3010a4b5e7d8a7,64e43f5e6b7d3f802b3a1f683e30345caa9f5b48686a4d61c990f80da1d9c057,1765345,E:/qlib_prj/qlib_baseline/outputs/research_lightgbm_v1/runtime/remaining/models/split_002_lightgbm.txt
remaining,split_003,lightgbm,3511311115b47e2fb474480c473adc87dd68fcf2ff7c792eadfc409229eaa32b,5d9c2ada5a545096ed83ac9a07f316435d30871bcc5af950cf0a3cc5d51aceac,a512c2275fe1af7be6e979e6c0a47bb2735a3c696baf585df59418ba5deb1e61,5aa294cbd2f717857de0fae46dcbe9e1583ec7c3b36e5b8df3f641057c208d80,2012070,E:/qlib_prj/qlib_baseline/outputs/research_lightgbm_v1/runtime/remaining/models/split_003_lightgbm.txt
