instrument,fill_count,first_approximation_date,last_approximation_date,executed_shares,gross_value,cash_fee
SH600811,2,2025-04-15,2025-04-15,1039816.8273649903,373959.73029167764,302.90738153625887
SZ000413,4,2024-08-15,2024-08-16,995472.5373139572,367956.52449854865,304.3965366394088
SZ002308,2,2024-08-23,2024-08-23,693919.0110769926,256493.3020218033,207.75957463766068
