dataset,revision_group_count,same_day_multirow_group_count,selected_update_flag_one_count,first_availability,last_availability
balancesheet,127497,48588,65855,2018-01-03,2026-08-28
cashflow,128591,58453,115060,2018-01-03,2026-08-28
income,129175,50430,111434,2018-01-03,2026-08-28
