factor,lineage_status,economic_family,source,defined,materializable,coverage_qualified,research_usable,temporarily_blocked,valid_count,row_count,coverage,qualified_month_fraction,unique_values,zero_fraction_of_finite,mean,std,min,q01,median,q99,max,inf_count,block_reason,temporal_gap_candidate_count
alpha158_BETA10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2583956,2587671,0.9985643460857273,1.0,2541483,2.515522710139027e-05,-0.000562948520490596,0.01074993785532043,-0.599430501461029,-0.02941612908616662,-0.0005186487105675042,0.0291917174123228,0.16683275997638702,0,,0
alpha158_BETA20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584114,2587671,0.9986254048524715,1.0,2542860,1.5479193255405914e-06,-0.0005142593879084419,0.007455849096793349,-0.5514011979103088,-0.020297549944370986,-0.0004202269046800211,0.018883811514824746,0.086905337870121,0,,0
alpha158_BETA30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584120,2587671,0.9986277235398163,1.0,2543214,3.8697893286689474e-07,-0.00047485627545249513,0.006056131497941959,-0.4851565361022949,-0.01616680931299925,-0.000398992546251975,0.014763935506343862,0.07656676322221756,0,,0
alpha158_BETA5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2583804,2587671,0.9985056060063277,1.0,2519755,0.001371234040972148,-0.0005744365028119787,0.015771366018552373,-0.39054596424102783,-0.04431574858725071,-0.0007030756096355617,0.04466208364814528,0.2452496886253357,0,,0
alpha158_BETA60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,2543476,0.0,-0.00039715612962273243,0.004239187839903616,-0.4025105834007263,-0.011146093159914017,-0.0003200385835953057,0.009571391250938203,0.024023639038205147,0,,0
alpha158_CNTD10,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,21,0.2194355464817591,-0.03443455595608513,0.2960508446884662,-1.0,-0.699999988079071,0.0,0.6000000238418579,1.0,0,,0
alpha158_CNTD20,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,41,0.14355379799054827,-0.0335745932969469,0.2073979232302495,-1.0,-0.5,0.0,0.44999998807907104,1.0,0,,0
alpha158_CNTD30,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,53,0.10975429256655889,-0.03292071102215927,0.16874014220275438,-1.0,-0.4000000059604645,-0.03333333507180214,0.36666667461395264,0.7333333492279053,0,,0
alpha158_CNTD5,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,11,0.03607181902181537,-0.0343686667642074,0.42760351236949146,-1.0,-1.0,-0.20000000298023224,1.0,1.0,0,,0
alpha158_CNTD60,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,71,0.06822080550425459,-0.03248806951009299,0.11850591124816733,-0.6499999761581421,-0.3166666626930237,-0.03333333507180214,0.23333333432674408,0.5333333611488342,0,,0
alpha158_CNTN10,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,11,0.0011029222803053402,0.5053553242538009,0.1512579829525873,0.0,0.20000000298023224,0.5,0.800000011920929,1.0,0,,0
